host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	register	owner_id	primary_governor_key	anchor_event_id	packet_event_ids	packet_count	action_root	action_slot_id	gdt584_rule_id	written_slot_count	carrier_slot_count	carrier_roots	carrier_slot_ids	gdt587_packet_rule_id	paragraph_boundary	gdt584_reader_clause_de	gdt587_reader_clause_de	reader_clause_changed	written_packet_slot_ids	gdt587_exact_host_trace_de	guard
1	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0001@3:CH	G407-E0001	G407-E0001	1	CH	RUNNING:G407-E0001@3	GDT582_RETAINED_NON_TARGET	4	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Entnimm das Arbeitsgut in Feinform und an der Hauptstelle	Entnimm das Arbeitsgut in Feinform und an der Hauptstelle	NO	RUNNING:G407-E0001@1|RUNNING:G407-E0001@2|RUNNING:G407-E0001@3|RUNNING:G407-E0001@4	[RUNNING:G407-E0001@1=LOCAL_CHAR_F:in Feinform|ACTION:G407-E0001@3:CH] [RUNNING:G407-E0001@2=A_ADDR:an der Hauptstelle|ACTION:G407-E0001@3:CH] [RUNNING:G407-E0001@3=CH:Entnimm|ACTION:G407-E0001@3:CH] [RUNNING:G407-E0001@4=Y:Arbeitsgut|ACTION:G407-E0001@3:CH]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
2	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0001@5:S	G407-E0001	G407-E0001	1	S	RUNNING:G407-E0001@5	S_SOURCE_SORT_OUT	1	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Sondere das Material aus	Sondere das Material aus	NO	RUNNING:G407-E0001@5	[RUNNING:G407-E0001@5=S:Sondere aus|ACTION:G407-E0001@5:S]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
3	G407-S001	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0002@2:K	G407-E0002	G407-E0002|G407-E0003	2	K	RUNNING:G407-E0002@2	GDT582_RETAINED_NON_TARGET	4	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Gib das Arbeitsgut zur Zielstelle oder ins Zielgefäß und von der Quelle oder aus dem Ausgangsgefäß zu	Gib das Arbeitsgut zur Zielstelle oder ins Zielgefäß und von der Quelle oder aus dem Ausgangsgefäß zu	NO	RUNNING:G407-E0002@1|RUNNING:G407-E0002@2|RUNNING:G407-E0002@3|RUNNING:G407-E0003@1	[RUNNING:G407-E0002@1=Y:Arbeitsgut|ACTION:G407-E0002@2:K] [RUNNING:G407-E0002@2=K:Gib zu|ACTION:G407-E0002@2:K] [RUNNING:G407-E0002@3=AL:zur Zielstelle oder ins Zielgefäß|ACTION:G407-E0002@2:K] [RUNNING:G407-E0003@1=AR:von der Quelle oder aus dem Ausgangsgefäß|ACTION:G407-E0002@2:K]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
4	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0004@2:T	G407-E0004	G407-E0004	1	T	RUNNING:G407-E0004@2	T_SOURCE_FIX	3	1	AIIN	RUNNING:G407-E0004@3	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Lege das Flüssigkeitsmaß an der Hauptstelle fest	Lege die Flüssigkeitsmenge an der Hauptstelle fest	YES	RUNNING:G407-E0004@1|RUNNING:G407-E0004@2|RUNNING:G407-E0004@3	[RUNNING:G407-E0004@1=A_ADDR:an der Hauptstelle|ACTION:G407-E0004@2:T] [RUNNING:G407-E0004@2=T:Lege fest|ACTION:G407-E0004@2:T] [RUNNING:G407-E0004@3=AIIN:Flüssigkeitsmenge|ACTION:G407-E0004@2:T]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
5	G407-S001	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0005@1:SH	G407-E0005	G407-E0005	1	SH	RUNNING:G407-E0005@1	SH_SOURCE_REST	1	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Lass das Arbeitsgut ruhen	Lass das Arbeitsgut ruhen	NO	RUNNING:G407-E0005@1	[RUNNING:G407-E0005@1=SH:Lass ruhen|ACTION:G407-E0005@1:SH]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
6	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	CONTROL:G407-E0005@2:OL	G407-E0005	G407-E0005	1	CONTROL	NONE	CONTROL_READER_REALIZATION	1	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Fahre im selben Arbeitsgang fort	Fahre im selben Arbeitsgang fort	NO	RUNNING:G407-E0005@2	[RUNNING:G407-E0005@2=OL:weiter im selben Arbeitsgang|CONTROL:G407-E0005@2:OL]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
7	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0006@1:SH	G407-E0006	G407-E0006	1	SH	RUNNING:G407-E0006@1	SH_SOURCE_REST	3	2	OR|Y	RUNNING:G407-E0006@2|RUNNING:G407-E0006@3	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Lass den Ansatz und das Arbeitsgut ruhen	Lass den Ansatz und das Arbeitsmaterial ruhen	YES	RUNNING:G407-E0006@1|RUNNING:G407-E0006@2|RUNNING:G407-E0006@3	[RUNNING:G407-E0006@1=SH:Lass ruhen|ACTION:G407-E0006@1:SH] [RUNNING:G407-E0006@2=OR:Ansatz|ACTION:G407-E0006@1:SH] [RUNNING:G407-E0006@3=Y:Arbeitsmaterial|ACTION:G407-E0006@1:SH]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
8	G407-S001	8	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0007@1:CH	G407-E0007	G407-E0007	1	CH	RUNNING:G407-E0007@1	GDT582_RETAINED_NON_TARGET	1	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Entnimm	Entnimm	NO	RUNNING:G407-E0007@1	[RUNNING:G407-E0007@1=CH:Entnimm|ACTION:G407-E0007@1:CH]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
9	G407-S001	9	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0007@2:T	G407-E0007	G407-E0007	1	T	RUNNING:G407-E0007@2	T_SOURCE_FIX	2	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Lege die Arbeitsbedingung auf Grad I fest	Lege die Arbeitsbedingung auf Grad I fest	NO	RUNNING:G407-E0007@2|RUNNING:G407-E0007@4	[RUNNING:G407-E0007@2=T:Lege fest|ACTION:G407-E0007@2:T] [RUNNING:G407-E0007@4=E:auf Grad I|ACTION:G407-E0007@2:T]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
10	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ACTION:G407-E0007@3:R	G407-E0007	G407-E0007	1	R	RUNNING:G407-E0007@3	GDT582_RETAINED_NON_TARGET	1	0	NONE	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	NONE	Kennzeichne oder prüfe	Kennzeichne oder prüfe	NO	RUNNING:G407-E0007@3	[RUNNING:G407-E0007@3=R:Kennzeichne oder prüfe|ACTION:G407-E0007@3:R]	FIXED_GDT584_GOVERNOR_PACKET__OCCURRENCE_NOUN_AND_PACKET_READER_ONLY
