candidate_local_card_ordinal	source_event_id	physical_page	register	locus	record_id	owner_de	surface	complete_slot_count	carrier_assignment_count	carrier_action_host_count	carrier_slot_ids	host_count	gdt584_polished_local_clause_de	gdt587_action_noun_local_clause_de	gdt587_named_carrier_primary_de	reader_changed	gdt587_exact_slot_trace_de	guard
1	P912-E1754	f67r2	CELESTIAL	f67r2.2	NOT_APPLICABLE	zwei lokale Himmelsraeder	eesydy	5	2	1	LOCAL_COMPONENT:P912-E1754@3|LOCAL_COMPONENT:P912-E1754@5	1	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1754@1=EE:auf Ringstufe II|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@2=S:Wähle aus|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@3=Y:Ringposition|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@4=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@5=Y:Ringposition|LOCAL_ACTION:P912-E1754@2:S]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
2	P912-E1759	f67r2	CELESTIAL	f67r2.4	NOT_APPLICABLE	zwei lokale Himmelsraeder	sykos	5	1	1	LOCAL_COMPONENT:P912-E1759@2	2	Wähle die Ringposition aus. Ordne in Eintragsform und an der seitlichen Ringstelle zu.	Wähle die Ringposition aus. Ordne in Eintragsform und an der seitlichen Ringstelle zu.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1759@1=S:Wähle aus|LOCAL_ACTION:P912-E1759@1:S] [LOCAL_COMPONENT:P912-E1759@2=Y:Ringposition|LOCAL_ACTION:P912-E1759@1:S] [LOCAL_COMPONENT:P912-E1759@3=K:Ordne zu|LOCAL_ACTION:P912-E1759@3:K] [LOCAL_COMPONENT:P912-E1759@4=O:in Eintragsform|LOCAL_ACTION:P912-E1759@3:K] [LOCAL_COMPONENT:P912-E1759@5=S_ADDR:an der seitlichen Ringstelle|LOCAL_ACTION:P912-E1759@3:K]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
3	P912-E1762	f67r2	CELESTIAL	f67r2.6	NOT_APPLICABLE	zwei lokale Himmelsraeder	dchetay	6	1	1	LOCAL_COMPONENT:P912-E1762@6	2	Lies auf Ringstufe I und an der unteren Ringstelle ab. Stelle die Ringposition an der oberen Ringstelle ein.	Lies auf Ringstufe I und an der unteren Ringstelle ab. Stelle die Ringposition an der oberen Ringstelle ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1762@1=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1762@2:CH] [LOCAL_COMPONENT:P912-E1762@2=CH:Lies ab|LOCAL_ACTION:P912-E1762@2:CH] [LOCAL_COMPONENT:P912-E1762@3=E:auf Ringstufe I|LOCAL_ACTION:P912-E1762@2:CH] [LOCAL_COMPONENT:P912-E1762@4=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1762@4:T] [LOCAL_COMPONENT:P912-E1762@5=A_ADDR:an der oberen Ringstelle|LOCAL_ACTION:P912-E1762@4:T] [LOCAL_COMPONENT:P912-E1762@6=Y:Ringposition|LOCAL_ACTION:P912-E1762@4:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
4	P912-E1769	f67r2	CELESTIAL	f67r2.10	NOT_APPLICABLE	zwei lokale Himmelsraeder	lkshy	4	1	1	LOCAL_COMPONENT:P912-E1769@4	2	Ordne über den Ringkontakt zu. Halte die Ringposition fest.	Ordne über den Ringkontakt zu. Halte die Ringposition fest.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1769@1=L:über den Ringkontakt|LOCAL_ACTION:P912-E1769@2:K] [LOCAL_COMPONENT:P912-E1769@2=K:Ordne zu|LOCAL_ACTION:P912-E1769@2:K] [LOCAL_COMPONENT:P912-E1769@3=SH:Halte die Position fest|LOCAL_ACTION:P912-E1769@3:SH] [LOCAL_COMPONENT:P912-E1769@4=Y:Ringposition|LOCAL_ACTION:P912-E1769@3:SH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
5	P912-E1840	f67r2	CELESTIAL	f67r2.37	NOT_APPLICABLE	zwei lokale Himmelsraeder	ytoaiin	4	2	1	LOCAL_COMPONENT:P912-E1840@1|LOCAL_COMPONENT:P912-E1840@4	1	Stelle die Ringposition und den Positionswert in Eintragsform ein.	Stelle die Ringposition auf den Positionswert in Eintragsform ein.	NOT_APPLICABLE	YES	[LOCAL_COMPONENT:P912-E1840@1=Y:Ringposition|LOCAL_ACTION:P912-E1840@2:T] [LOCAL_COMPONENT:P912-E1840@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1840@2:T] [LOCAL_COMPONENT:P912-E1840@3=O:in Eintragsform|LOCAL_ACTION:P912-E1840@2:T] [LOCAL_COMPONENT:P912-E1840@4=AIIN:Positionswert|LOCAL_ACTION:P912-E1840@2:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
6	P912-E1880	f67r2	CELESTIAL	f67r2.55	NOT_APPLICABLE	zwei lokale Himmelsraeder	ytodal	5	1	1	LOCAL_COMPONENT:P912-E1880@1	1	Stelle die Ringposition in Eintragsform, im zweiten Durchgang und über den Ringkontakt ein.	Stelle die Ringposition in Eintragsform, im zweiten Durchgang und über den Ringkontakt ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1880@1=Y:Ringposition|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@3=O:in Eintragsform|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@4=DA:im zweiten Durchgang|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@5=L:über den Ringkontakt|LOCAL_ACTION:P912-E1880@2:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
7	P912-E1888	f67r2	CELESTIAL	f67r2.59	NOT_APPLICABLE	zwei lokale Himmelsraeder	ytchodly	7	1	1	LOCAL_COMPONENT:P912-E1888@1	2	Stelle die Ringposition ein. Lies die Ringposition in Eintragsform, an der unteren Ringstelle und über den Ringkontakt ab.	Stelle die Ringposition ein. Lies die Ringposition in Eintragsform, an der unteren Ringstelle und über den Ringkontakt ab.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1888@1=Y:Ringposition|LOCAL_ACTION:P912-E1888@2:T] [LOCAL_COMPONENT:P912-E1888@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1888@2:T] [LOCAL_COMPONENT:P912-E1888@3=CH:Lies ab|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@4=O:in Eintragsform|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@5=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@6=L:über den Ringkontakt|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@7=Y:Ringposition|LOCAL_ACTION:P912-E1888@3:CH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
8	P912-E1889	f67r2	CELESTIAL	f67r2.60	NOT_APPLICABLE	zwei lokale Himmelsraeder	octhys	4	1	1	LOCAL_COMPONENT:P912-E1889@3	2	Wähle die Ringposition in Eintragsform aus. Verwende für den vorangehenden Arbeitsschritt lokale CTH-Karte.	Wähle die Ringposition in Eintragsform aus. Verwende für den vorangehenden Arbeitsschritt lokale CTH-Karte.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1889@1=O:in Eintragsform|LOCAL_ACTION:P912-E1889@4:S] [LOCAL_COMPONENT:P912-E1889@2=CTH:lokale CTH-Karte|LOCAL_CONTROL:P912-E1889@2:CTH] [LOCAL_COMPONENT:P912-E1889@3=Y:Ringposition|LOCAL_ACTION:P912-E1889@4:S] [LOCAL_COMPONENT:P912-E1889@4=S:Wähle aus|LOCAL_ACTION:P912-E1889@4:S]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
9	P912-E1890	f67r2	CELESTIAL	f67r2.61	NOT_APPLICABLE	zwei lokale Himmelsraeder	ytokar	4	1	1	LOCAL_COMPONENT:P912-E1890@1	2	Stelle die Ringposition ein. Trage von der Ausgangsposition ein.	Stelle die Ringposition ein. Trage von der Ausgangsposition ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1890@1=Y:Ringposition|LOCAL_ACTION:P912-E1890@2:T] [LOCAL_COMPONENT:P912-E1890@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1890@2:T] [LOCAL_COMPONENT:P912-E1890@3=OK:Trage ein|LOCAL_ACTION:P912-E1890@3:OK] [LOCAL_COMPONENT:P912-E1890@4=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E1890@3:OK]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
10	P912-E1976	f68r1	CELESTIAL	f68r1.14	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	otshey	4	1	1	LOCAL_COMPONENT:P912-E1976@4	2	Beginne danach den nächsten Arbeitsgang. Halte die Ringposition auf Ringstufe I fest.	Beginne danach den nächsten Arbeitsgang. Halte die Ringposition auf Ringstufe I fest.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1976@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1976@1:OT] [LOCAL_COMPONENT:P912-E1976@2=SH:Halte die Position fest|LOCAL_ACTION:P912-E1976@2:SH] [LOCAL_COMPONENT:P912-E1976@3=E:auf Ringstufe I|LOCAL_ACTION:P912-E1976@2:SH] [LOCAL_COMPONENT:P912-E1976@4=Y:Ringposition|LOCAL_ACTION:P912-E1976@2:SH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
