assignment_ordinal	carrier_slot_id	action_slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	owner	surface	slot_position	carrier_root	portable_carrier_core	primary_governor_key	action_root	gdt584_rule_id	carrier_root_signature	same_root_written_slot_count	gdt582_default_de	gdt584_base_lemma_de	gdt587_context_family	gdt587_lemma_de	gdt587_object_form_de	gdt587_genitive_form_de	gdt587_disposition	gdt587_rationale	gdt587_packet_rule_id	circularity_note	guard
1	RUNNING:G407-E0004@3	RUNNING:G407-E0004@2	RUNNING_ATOM	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	3	AIIN	WERT	ACTION:G407-E0004@2:T	T	T_SOURCE_FIX	AIIN	1	Flüssigkeitsmaß	Flüssigkeitsmaß	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	ACTION_NARROWED	resting and sorting select a working liquid; fixing selects its quantity	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
2	RUNNING:G407-E0006@2	RUNNING:G407-E0006@1	RUNNING_ATOM	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	2	OR	EINHEIT	ACTION:G407-E0006@1:SH	SH	SH_SOURCE_REST	Y+OR	1	Ansatz	Ansatz	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	BASE_RETAINED	the established source-register batch reading remains sufficient	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
3	RUNNING:G407-E0006@3	RUNNING:G407-E0006@1	RUNNING_ATOM	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	3	Y	POSTEN	ACTION:G407-E0006@1:SH	SH	SH_SOURCE_REST	Y+OR	1	Arbeitsgut	Arbeitsgut	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	ACTION_NARROWED	physical source actions select material; fixing retains the broader work item	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
4	RUNNING:G407-E0008@1	RUNNING:G407-E0007@5	RUNNING_ATOM	G407-E0008	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	1	Y	POSTEN	ACTION:G407-E0007@5:S	S	S_SOURCE_SORT_OUT	Y	1	Arbeitsgut	Arbeitsgut	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	ACTION_NARROWED	physical source actions select material; fixing retains the broader work item	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
5	RUNNING:G407-E0010@4	RUNNING:G407-E0010@1	RUNNING_ATOM	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	4	Y	POSTEN	ACTION:G407-E0010@1:SH	SH	SH_SOURCE_REST	Y	1	Arbeitsgut	Arbeitsgut	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	ACTION_NARROWED	physical source actions select material; fixing retains the broader work item	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
6	RUNNING:G407-E0011@2	RUNNING:G407-E0011@1	RUNNING_ATOM	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	2	OR	EINHEIT	ACTION:G407-E0011@1:S	S	S_SOURCE_SORT_OUT	Y+OR	1	Ansatz	Ansatz	SOURCE_BATCH	Ansatz	den Ansatz	des Ansatzes	BASE_RETAINED	the established source-register batch reading remains sufficient	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
7	RUNNING:G407-E0011@3	RUNNING:G407-E0011@1	RUNNING_ATOM	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	3	Y	POSTEN	ACTION:G407-E0011@1:S	S	S_SOURCE_SORT_OUT	Y+OR	1	Arbeitsgut	Arbeitsgut	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	ACTION_NARROWED	physical source actions select material; fixing retains the broader work item	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
8	RUNNING:G407-E0016@3	RUNNING:G407-E0016@2	RUNNING_ATOM	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	3	AIIN	WERT	ACTION:G407-E0016@2:T	T	T_SOURCE_FIX	AIIN	1	Flüssigkeitsmaß	Flüssigkeitsmaß	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	die Flüssigkeitsmenge	der Flüssigkeitsmenge	ACTION_NARROWED	resting and sorting select a working liquid; fixing selects its quantity	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
9	RUNNING:G407-E0021@1	RUNNING:G407-E0020@2	RUNNING_ATOM	G407-E0021	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	1	AIN	ANTEIL	ACTION:G407-E0020@2:T	T	T_SOURCE_FIX	AIN	1	Portion	Portion	SOURCE_PART	Teilmenge	die Teilmenge	der Teilmenge	ACTION_NARROWED	the part carrier is realized as a partial quantity in source operations	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
10	RUNNING:G407-E0022@2	RUNNING:G407-E0022@1	RUNNING_ATOM	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	2	Y	POSTEN	ACTION:G407-E0022@1:S	S	S_SOURCE_SORT_OUT	Y	1	Arbeitsgut	Arbeitsgut	SOURCE_ACTION_OBJECT	Arbeitsmaterial	das Arbeitsmaterial	des Arbeitsmaterials	ACTION_NARROWED	physical source actions select material; fixing retains the broader work item	DEFAULT_GDT584_OBJECT_COMPOSITION	EDITORIAL_ACTION_CONDITIONED_READING__NOT_INDEPENDENT_ROOT_CONFIRMATION	EXACT_CARRIER_SLOT_AND_ACTION_GOVERNOR__PORTABLE_ROOT_UNCHANGED__NO_NEW_PAGE_SURFACE_SEGMENT_OR_NAME
