audit_ordinal	statement_id	physical_page	register	carrier_assignment_count	reader_changed	manual_note	gdt586_reader_de	gdt587_reader_de	manual_disposition	guard
1	G407-S003	f1r	SOURCE_SECTION_T	4	YES	Source packet: Teilmenge belongs to working material; liquid is sorted separately.	"Setze an. Entnimm das Arbeitsgut in Arbeitsform. Beginne danach den nächsten Arbeitsgang.

Entnimm. Fahre im selben Arbeitsgang fort. Entnimm in Arbeitsform. Entnimm. Lege das Arbeitsgut und die Portion fest. Verwende für den vorangehenden Arbeitsschritt mit Vorbezug. Entnimm den Ansatz. Gib in Arbeitsform zu. Sondere das Flüssigkeitsmaß aus. Lass das Arbeitsgut in Arbeitsform ruhen. Sondere das Material aus. Entnimm in Feinform. Fahre im selben Arbeitsgang fort. Halte den Zustand in Arbeitsform. Schließe den Arbeitsgang."	"Setze an. Entnimm das Arbeitsgut in Arbeitsform. Beginne danach den nächsten Arbeitsgang.

Entnimm. Fahre im selben Arbeitsgang fort. Entnimm in Arbeitsform. Entnimm. Lege die Teilmenge des Arbeitsmaterials fest. Verwende für den vorangehenden Arbeitsschritt mit Vorbezug. Entnimm den Ansatz. Gib in Arbeitsform zu. Sondere die Arbeitsflüssigkeit aus. Lass das Arbeitsgut in Arbeitsform ruhen. Sondere das Material aus. Entnimm in Feinform. Fahre im selben Arbeitsgang fort. Halte den Zustand in Arbeitsform. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
2	G515-S037	f66r	SOURCE_SECTION_T	2	YES	Register sample read for noun distinction, packet coherence, and retained action.	"Bearbeite das Arbeitsgut. Bearbeite das Arbeitsgut zur Zielstelle oder ins Zielgefäß. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Entnimm. Entnimm. Bringe den Ansatz auf Grad I ein. Gib das Arbeitsgut an der Hauptstelle zu. Schließe den Arbeitsgang."	"Bearbeite das Arbeitsmaterial. Bearbeite das Arbeitsmaterial zur Zielstelle oder ins Zielgefäß. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Entnimm. Entnimm. Bringe den Ansatz auf Grad I ein. Gib das Arbeitsgut an der Hauptstelle zu. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
3	G515-S048	f66r	SOURCE_SECTION_T	3	NO	Register sample read for noun distinction, packet coherence, and retained action.	Entnimm. Gib das Arbeitsgut zu. Lass das Arbeitsgut auf Grad I und an der Arbeitsstelle ruhen. Gib das Arbeitsgut auf Grad I zu. Lass den Ansatz in Arbeitsform und über den Arbeitskontakt ruhen. Lass den Ansatz auf Grad I, an der Arbeitsstelle und zur Zielstelle oder ins Zielgefäß ruhen. Lass das Arbeitsgut auf Grad I ruhen. Schließe den Arbeitsgang.	Entnimm. Gib das Arbeitsgut zu. Lass das Arbeitsgut auf Grad I und an der Arbeitsstelle ruhen. Gib das Arbeitsgut auf Grad I zu. Lass den Ansatz in Arbeitsform und über den Arbeitskontakt ruhen. Lass den Ansatz auf Grad I, an der Arbeitsstelle und zur Zielstelle oder ins Zielgefäß ruhen. Lass das Arbeitsgut auf Grad I ruhen. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
4	G515-S059	f66r	SOURCE_SECTION_T	2	YES	Register sample read for noun distinction, packet coherence, and retained action.	Verwende für den vorangehenden Arbeitsschritt zur Zielstelle oder ins Zielgefäß. Sondere das Arbeitsgut auf der bezeichneten Stufe aus. Kennzeichne oder prüfe. Entnimm in Arbeitsform, auf Grad I und über den Arbeitskontakt. Gib zur Zielstelle oder ins Zielgefäß zu. Lass das Arbeitsgut in Arbeitsform, auf Grad I und an der Arbeitsstelle ruhen. Entnimm. Entnimm. Lege die Arbeitsbedingung auf Grad I fest. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt zur Zielstelle oder ins Zielgefäß. Sondere das Arbeitsmaterial auf der bezeichneten Stufe aus. Kennzeichne oder prüfe. Entnimm in Arbeitsform, auf Grad I und über den Arbeitskontakt. Gib zur Zielstelle oder ins Zielgefäß zu. Lass das Arbeitsmaterial in Arbeitsform, auf Grad I und an der Arbeitsstelle ruhen. Entnimm. Entnimm. Lege die Arbeitsbedingung auf Grad I fest. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
5	G407-S696	f95v	HERBAL	2	YES	Drying and grinding come from verbs; Y remains plain plant material.	"Beginne danach den nächsten Arbeitsgang.

Trockne die Pflanzencharge zur Zielstelle oder ins Auffanggefäß. Zerreibe die Pflanzencharge. Setze vom Ausgangsmaterial oder -gefäß an. Verwende für den vorangehenden Arbeitsschritt an der Pflanzen-Nebenstelle. Reguliere oder temperiere die Arbeitsbedingung. Entnimm in Zubereitungsform. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Trockne das Pflanzenmaterial zur Zielstelle oder ins Auffanggefäß. Zerreibe das Pflanzenmaterial. Setze vom Ausgangsmaterial oder -gefäß an. Verwende für den vorangehenden Arbeitsschritt an der Pflanzen-Nebenstelle. Reguliere oder temperiere die Arbeitsbedingung. Entnimm in Zubereitungsform. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
6	G407-S689	f95v	HERBAL	3	YES	Negative control: held OR is a plant unit, not automatically extract or vessel.	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Lass die Pflanzen- oder Arbeitseinheit im Auszug ziehen. Fahre im selben Arbeitsgang fort. Seihe den Auszug der Pflanzenportion ab. Fahre im selben Arbeitsgang fort. Halte den Zustand auf Grad I. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Lass die Pflanzeneinheit im Auszug ziehen. Fahre im selben Arbeitsgang fort. Seihe den Auszug aus der Pflanzenportion ab. Fahre im selben Arbeitsgang fort. Halte den Zustand auf Grad I. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
7	G407-S688	f95v	HERBAL	2	YES	Register sample read for noun distinction, packet coherence, and retained action.	"Verreibe oder mazeriere die Pflanzencharge im Auszug in Zubereitungsform, in Feinform und als neuer Pflanzenansatz. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	"Verreibe oder mazeriere das Pflanzenmaterial im Auszug in Zubereitungsform, in Feinform und als neuer Pflanzenansatz. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
8	G407-S699	f95v	HERBAL	2	YES	Register sample read for noun distinction, packet coherence, and retained action.	Setze an. Weiche die Pflanzencharge auf Grad I ein. Erwärme die Pflanzencharge. Halte anschließend auf Grad I warm. Schließe den Arbeitsgang.	Setze an. Weiche das Pflanzenmaterial auf Grad I ein. Erwärme das Pflanzenmaterial. Halte anschließend auf Grad I warm. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
9	G407-S047	f67r2	CELESTIAL	4	YES	Celestial packet: position, ring segment and position value are no longer equal objects.	Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt auf der Feinstufe und bei der g-Marke. Trage ein. Fahre im selben Arbeitsgang fort. Stelle die Ringposition, die Sektoreinheit und den Positionswert ein.	Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt auf der Feinstufe und bei der g-Marke. Trage ein. Fahre im selben Arbeitsgang fort. Stelle die Ringposition des Ringsegments auf den Positionswert ein.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
10	G407-S045	f67r2	CELESTIAL	1	NO	Register sample read for noun distinction, packet coherence, and retained action.	Wähle den Positionswert aus. Verwende für den vorangehenden Arbeitsschritt in Eintragsform. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort.	Wähle den Positionswert aus. Verwende für den vorangehenden Arbeitsschritt in Eintragsform. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
