cell_ordinal	register	gdt584_rule_id	carrier_root	portable_carrier_core	written_slot_count	exact_action_host_count	statement_or_record_count	layer_profile	carrier_root_signatures	selected_context_families	selected_lemmas_de	selected_object_forms_de	dispositions	example_carrier_slot_ids	guard
1	BIOLOGICAL	CHD_BIO_TREAT	Y	POSTEN	154	142	115	RUNNING_ATOM	Y|Y+OR|Y+AIN|Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz|Körper	den Stationsansatz|den Körper	BASE_RETAINED|PACKET_NARROWED	RUNNING:G407-E1425@3|RUNNING:G407-E1429@2|RUNNING:G407-E1437@2|RUNNING:G407-E1480@2|RUNNING:G407-E1484@2|RUNNING:G407-E1505@2|RUNNING:G407-E1557@2|RUNNING:G407-E1571@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
2	BIOLOGICAL	CHD_BIO_TREAT	AIIN	WERT	16	15	15	RUNNING_ATOM	Y+AIIN|AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	ACTION_NARROWED	RUNNING:G407-E1869@1|RUNNING:G407-E2044@2|RUNNING:G407-E2369@2|RUNNING:G407-E2424@2|RUNNING:G407-E2458@2|RUNNING:G407-E2502@2|RUNNING:G407-E2516@2|RUNNING:G407-E2610@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
3	BIOLOGICAL	CHD_BIO_TREAT	AIN	ANTEIL	8	7	7	RUNNING_ATOM	Y+AIN|AIN	BIOLOGICAL_PART_OR_PORTION	Teil|Anwendungsportion	den Teil|die Anwendungsportion	PACKET_NARROWED|BASE_RETAINED	RUNNING:G407-E1689@1|RUNNING:G407-E1894@2|RUNNING:G407-E2293@2|RUNNING:G407-E2294@1|RUNNING:G407-E2614@2|RUNNING:G407-E3313@2|RUNNING:G407-E3653@2|RUNNING:G407-E3686@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
4	BIOLOGICAL	CHD_BIO_TREAT	OR	EINHEIT	10	9	9	RUNNING_ATOM	Y+OR|OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	ACTION_NARROWED	RUNNING:G407-E1559@1|RUNNING:G407-E1619@1|RUNNING:G407-E1832@2|RUNNING:G407-E2187@3|RUNNING:G407-E2189@2|RUNNING:G407-E2359@2|RUNNING:G407-E2367@1|RUNNING:G407-E2542@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
5	BIOLOGICAL	SH_BIO_BATHE	Y	POSTEN	112	92	64	RUNNING_ATOM	Y+AIN|Y|Y+AIN+OR|Y+OR|Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz|Körper	den Stationsansatz|den Körper	BASE_RETAINED|PACKET_NARROWED	RUNNING:G407-E1433@3|RUNNING:G407-E1434@2|RUNNING:G407-E1452@4|RUNNING:G407-E1455@3|RUNNING:G407-E1457@3|RUNNING:G407-E1459@3|RUNNING:G407-E1506@3|RUNNING:G407-E1526@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
6	BIOLOGICAL	SH_BIO_BATHE	AIIN	WERT	11	11	11	RUNNING_ATOM	Y+AIIN|AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Badfüllung	die Badfüllung	ACTION_NARROWED	RUNNING:G407-E2405@2|RUNNING:G407-E2426@3|RUNNING:G407-E2509@2|RUNNING:G407-E2636@2|RUNNING:G407-E2648@2|RUNNING:G407-E2651@1|RUNNING:G407-E3183@1|RUNNING:G407-E3218@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
7	BIOLOGICAL	SH_BIO_BATHE	AIN	ANTEIL	6	6	6	RUNNING_ATOM	Y+AIN|Y+AIN+OR|AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	BASE_RETAINED	RUNNING:G407-E1432@1|RUNNING:G407-E1604@2|RUNNING:G407-E1649@1|RUNNING:G407-E1828@1|RUNNING:G407-E2779@2|RUNNING:G407-E3112@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
8	BIOLOGICAL	SH_BIO_BATHE	OR	EINHEIT	11	10	9	RUNNING_ATOM	OR|Y+AIN+OR|Y+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Badeinheit	die Badeinheit	ACTION_NARROWED	RUNNING:G407-E1503@3|RUNNING:G407-E1600@1|RUNNING:G407-E1611@4|RUNNING:G407-E1613@2|RUNNING:G407-E1654@5|RUNNING:G407-E1794@2|RUNNING:G407-E2479@1|RUNNING:G407-E2530@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
9	BIOLOGICAL	SH_REST_HOLD	Y	POSTEN	39	36	27	RUNNING_ATOM	Y|Y+AIIN|Y+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	BASE_RETAINED	RUNNING:G407-E1835@5|RUNNING:G407-E1839@5|RUNNING:G407-E1840@6|RUNNING:G407-E1857@1|RUNNING:G407-E1857@4|RUNNING:G407-E1866@2|RUNNING:G407-E1890@3|RUNNING:G407-E1939@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
10	BIOLOGICAL	SH_REST_HOLD	AIIN	WERT	1	1	1	RUNNING_ATOM	Y+AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	ACTION_NARROWED	RUNNING:G407-E2240@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
