page_ordinal	physical_page	registers	statement_count	local_card_count	carrier_assignment_count	carrier_action_host_count	changed_statement_count	changed_local_card_count	guard
1	f1r	SOURCE_SECTION_T	7	0	59	47	6	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
2	f10r	HERBAL	2	0	44	25	2	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
3	f11r	HERBAL	2	0	25	15	2	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
4	f13r	HERBAL	5	0	17	13	4	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
5	f17r	HERBAL	8	2	10	8	4	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
6	f18r	HERBAL	5	0	18	16	3	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
7	f24v	HERBAL	3	0	13	9	2	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
8	f55v	HERBAL	5	0	24	13	4	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
9	f56r	HERBAL	3	0	9	7	3	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
10	f67r2	CELESTIAL	11	64	53	36	5	1	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
11	f68r1	CELESTIAL	3	34	14	14	0	1	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
12	f71v	CELESTIAL	5	22	9	6	2	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
13	f72r	CELESTIAL	22	96	57	43	4	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
14	f75r	BIOLOGICAL	111	10	88	67	18	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
15	f76r	BIOLOGICAL	118	9	129	103	17	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
16	f77r	BIOLOGICAL	82	11	73	57	23	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
17	f81r	BIOLOGICAL	48	0	53	37	9	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
18	f81v	BIOLOGICAL	54	2	50	44	9	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
19	f82r	BIOLOGICAL	62	13	56	43	12	1	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
20	f83r	BIOLOGICAL	91	4	101	82	22	2	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
21	f88r	PHARMA	5	16	25	18	3	3	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
22	f88v	PHARMA	13	14	24	18	7	1	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
23	f89r	PHARMA	20	38	62	43	13	1	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
24	f95v	HERBAL	30	0	59	47	19	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
25	f4r	HERBAL	5	0	21	16	4	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
26	f20v	HERBAL	3	0	27	19	2	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
27	f31r	HERBAL	19	0	22	20	9	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
28	f66r	SOURCE_SECTION_T	51	51	59	50	19	3	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
29	f69v	CELESTIAL	0	140	21	16	0	1	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
30	f70v	CELESTIAL	0	218	21	21	0	0	NAVIGATION_PROFILE_ONLY__RUNNING_AND_LOCAL_UNITS_REMAIN_DISTINCT
