component	formula_statements	formula_occurrences	statement_ids	status
Y	7	27	B1-S002,B3-S021,B6-S001,H1-S001,H2-S001,H3-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
AIIN	7	11	B1-S002,B3-S021,B6-S001,H1-S001,H2-S001,H3-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
OL	6	12	B1-S002,B6-S001,H1-S001,H2-S001,H3-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
AL	5	13	B1-S002,B3-S021,B6-S001,H3-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
E	5	7	B1-S002,B3-S021,B6-S001,H1-S001,H2-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
OR	5	7	B1-S002,B6-S001,H1-S001,H2-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
CH	4	7	H1-S001,H2-S001,H3-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
OK	4	6	B1-S002,B3-S021,H1-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
CTH	3	7	B3-S021,H1-S001,H2-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
SH	3	6	B1-S002,B3-S021,H3-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
K	3	5	B1-S002,B6-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
O	3	4	H1-S001,H2-S001,H3-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
DY	3	3	B1-S002,B3-S021,H3-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
EE	3	3	B1-S002,B6-S001,H3-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
T	2	5	H1-S001,H3-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
AIN	2	3	B1-S002,B6-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
AIR	2	2	B1-S002,H1-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
AR	2	2	B1-S002,H1-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
CHD	2	2	B1-S002,B3-S021	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
L	2	2	B1-S002,B6-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
OT	2	2	H1-S001,H5-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
R	2	2	B1-S002,B6-S001	SHARED_COMPONENT_AXIS_NOT_A_NEW_MEANING
