local_ordinal	event_id	physical_page	locus	surface	owner_id	owner_de	content_role	local_recipe	controlled_order_reading_de	local_working_phrase_de	gdt538_surface_member	gdt538_recipe_match	gdt538_prose_phrase_applied	retention_reason	exact_recipe_roundtrip	guard
1	G515-E0254	f66r	f66r.1	rary	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	R+AR+Y	markieren → Ausgang → Posten.	Randkennung: markieren → Ausgang → Posten.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	R+AR+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
2	G515-E0255	f66r	f66r.2	rals	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	R+AL+S	markieren → Zielort → wählen.	Randkennung: markieren → Zielort → wählen.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	R+AL+S	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
3	G515-E0256	f66r	f66r.3	qor	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	OR	Einheit.	Randkennung: Einheit.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	OR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
4	G515-E0257	f66r	f66r.4	dary	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	DA+R+Y	[zweite Stufe] → markieren → Posten.	Randkennung: [zweite Stufe] → markieren → Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	DA+R+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
5	G515-E0258	f66r	f66r.5	ykeol	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	Y+K+E+OL	Posten → geben → [Grad I] → fortsetzen.	Randkennung: Posten → geben → [Grad I] → fortsetzen.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y+K+E+OL	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
6	G515-E0259	f66r	f66r.6	saly	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	S+AL+Y	wählen → Zielort → Posten.	Randkennung: wählen → Zielort → Posten.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	S+AL+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
7	G515-E0260	f66r	f66r.7	salf	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	S+AL+LOCAL_CHAR_F	wählen → Zielort → [hier: f-Kennmarke].	Randkennung: wählen → Zielort → [hier: f-Kennmarke].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	S+AL+LOCAL_CHAR_F	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
8	G515-E0261	f66r	f66r.8	fary	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	LOCAL_CHAR_F+AR+Y	[hier: f-Kennmarke] → Ausgang → Posten.	Randkennung: [hier: f-Kennmarke] → Ausgang → Posten.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_CHAR_F+AR+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
9	G515-E0262	f66r	f66r.9	qotesy	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	OT+E+S+Y	danach → [Grad I] → wählen → Posten.	Randkennung: danach → [Grad I] → wählen → Posten.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	OT+E+S+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
10	G515-E0263	f66r	f66r.10	ykaly	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	Y+K+AL+Y	Posten → geben → Zielort → Posten.	Randkennung: Posten → geben → Zielort → Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y+K+AL+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
11	G515-E0264	f66r	f66r.11	doly	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	LOCAL_NAME_CORE_D+OL+Y	[lokaler Namenkern d] → fortsetzen → Posten.	Randkennung: [lokaler Namenkern d] → fortsetzen → Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_NAME_CORE_D+OL+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
12	G515-E0265	f66r	f66r.12	saiin	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	S+AIIN	wählen → Wert.	Randkennung: wählen → Wert.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	S+AIIN	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
13	G515-E0266	f66r	f66r.13	qokal	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	OK+AL	setzen → Zielort.	Randkennung: setzen → Zielort.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	OK+AL	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
14	G515-E0267	f66r	f66r.14	qolsa	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	OL+S+A_ADDR	fortsetzen → wählen → [hier: A-Adresse].	Randkennung: fortsetzen → wählen → [hier: A-Adresse].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	OL+S+A_ADDR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
15	G515-E0268	f66r	f66r.15	raral	F66R_MARGIN_LABEL_ZONE	sichtbare Randkennungszone von f66r	MARGINAL_LABEL_CARD	R+AR+AL	markieren → Ausgang → Zielort.	Randkennung: markieren → Ausgang → Zielort.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	R+AR+AL	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
16	G515-E0269	f66r	f66r.16	y	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	Y	Posten.	Lokales Randzeichen: Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
17	G515-E0270	f66r	f66r.17	o	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	O	[Ausführung].	Lokales Randzeichen: [Ausführung].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	O	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
18	G515-E0271	f66r	f66r.18	s	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	S	wählen.	Lokales Randzeichen: wählen.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	S	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
19	G515-E0272	f66r	f66r.19	sh	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	SH	halten.	Lokales Randzeichen: halten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	SH	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
20	G515-E0273	f66r	f66r.20	y	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	Y	Posten.	Lokales Randzeichen: Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
21	G515-E0274	f66r	f66r.21	d	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	D_ADDR	[hier: D-Adresse].	Lokales Randzeichen: [hier: D-Adresse].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	D_ADDR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
22	G515-E0275	f66r	f66r.22	o	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	O	[Ausführung].	Lokales Randzeichen: [Ausführung].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	O	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
