local_surface_ordinal	surface	local_recipe	event_count	physical_pages	content_roles	controlled_order_reading_de	local_surface_default_de	reading_variant_count	lock_scope
1	c	LOCAL_C	1	f66r	MARGINAL_SIGN_CARD	[lokales c-Zeichen].	Lokales Randzeichen: [lokales c-Zeichen].	1	LOCAL_RECORD_ONLY
2	f	LOCAL_CHAR_F	4	f66r	MARGINAL_SIGN_CARD	[hier: f-Kennmarke].	Lokales Randzeichen: [hier: f-Kennmarke].	1	LOCAL_RECORD_ONLY
3	fary	LOCAL_CHAR_F+AR+Y	1	f66r	MARGINAL_LABEL_CARD	[hier: f-Kennmarke] → Ausgang → Posten.	Randkennung: [hier: f-Kennmarke] → Ausgang → Posten.	1	LOCAL_RECORD_ONLY
4	otcheo	OT+CH+E+O	1	f66r	LATE_ADDITION_CARD	danach → nehmen → [Grad I] → [Ausführung].	Später Zusatz: danach → nehmen → [Grad I] → [Ausführung].	1	LOCAL_RECORD_ONLY
5	p	P	1	f66r	MARGINAL_SIGN_CARD	einsetzen.	Lokales Randzeichen: einsetzen.	1	LOCAL_RECORD_ONLY
6	qolsa	OL+S+A_ADDR	1	f66r	MARGINAL_LABEL_CARD	fortsetzen → wählen → [hier: A-Adresse].	Randkennung: fortsetzen → wählen → [hier: A-Adresse].	1	LOCAL_RECORD_ONLY
7	qotesy	OT+E+S+Y	1	f66r	MARGINAL_LABEL_CARD	danach → [Grad I] → wählen → Posten.	Randkennung: danach → [Grad I] → wählen → Posten.	1	LOCAL_RECORD_ONLY
8	rals	R+AL+S	1	f66r	MARGINAL_LABEL_CARD	markieren → Zielort → wählen.	Randkennung: markieren → Zielort → wählen.	1	LOCAL_RECORD_ONLY
9	raral	R+AR+AL	1	f66r	MARGINAL_LABEL_CARD	markieren → Ausgang → Zielort.	Randkennung: markieren → Ausgang → Zielort.	1	LOCAL_RECORD_ONLY
10	rary	R+AR+Y	1	f66r	MARGINAL_LABEL_CARD	markieren → Ausgang → Posten.	Randkennung: markieren → Ausgang → Posten.	1	LOCAL_RECORD_ONLY
11	salf	S+AL+LOCAL_CHAR_F	1	f66r	MARGINAL_LABEL_CARD	wählen → Zielort → [hier: f-Kennmarke].	Randkennung: wählen → Zielort → [hier: f-Kennmarke].	1	LOCAL_RECORD_ONLY
12	saly	S+AL+Y	1	f66r	MARGINAL_LABEL_CARD	wählen → Zielort → Posten.	Randkennung: wählen → Zielort → Posten.	1	LOCAL_RECORD_ONLY
13	x	LOCAL_X	3	f66r	MARGINAL_SIGN_CARD	[lokaler X-Zeichen-/Namenskern].	Lokales Randzeichen: [lokaler X-Zeichen-/Namenskern].	1	LOCAL_RECORD_ONLY
14	ykeol	Y+K+E+OL	1	f66r	MARGINAL_LABEL_CARD	Posten → geben → [Grad I] → fortsetzen.	Randkennung: Posten → geben → [Grad I] → fortsetzen.	1	LOCAL_RECORD_ONLY
