role_ordinal	surface	final_working_recipe	event_count	physical_pages	event_ids	content_roles	observed_domain	corrected_lock_scope	gdt538_old_lock_scope	scope_changed_from_gdt538	canonical_workshop_phrase_de	controlled_order_reading_de	role_collision_count	guard
1	aiicthy	AIIN+CH+T+Y	1	f31r	G515-E0253	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Den Wert und den Posten nehmen und einstellen.	Wert → nehmen → einstellen → Posten.	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
2	akar	A_ADDR+K+AR	1	f66r	G515-E0411	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Hier; geben; vom Ausgang.	[hier: A-Adresse] → geben → Ausgang.	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
3	alkey	AL+K+E+Y	1	f66r	G515-E0537	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Am Zielort; den Posten geben; auf Grad I.	Zielort → geben → [Grad I] → Posten.	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
4	axor	A_ADDR+LOCAL_X+OR	1	f66r	G515-E0410	LOCAL_NAME_WITH_FUNCTION_SHELL_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Hier; mit lokalem X-Zeichen-/Namenskern; Einheit.	[hier: A-Adresse] → [lokaler X-Zeichen-/Namenskern] → Einheit.	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
5	c	LOCAL_C	1	f66r	G515-E0289	MARGINAL_SIGN_CARD	LOCAL_RECORD	LOCAL_RECORD_ONLY	PROSE_STREAM_ONLY	YES	Lokales c-Zeichen.	[lokales c-Zeichen].	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
6	chady	CH+A_ADDR+DY	1	f66r	G515-E0319	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Nehmen; hier; abschließen.	nehmen → [hier: A-Adresse] → [Schluss].	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
7	chap	CH+A_ADDR+P	1	f66r	G515-E0303	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Nehmen und einsetzen; hier.	nehmen → [hier: A-Adresse] → einsetzen.	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
8	chckhedy	CH+CH+K+E+DY	1	f66r	G515-E0516	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	nehmen → nehmen → geben → [Grad I] → [Schluss].	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
9	chcpheor	CH+CH+P+E+OR	1	f66r	G515-E0333	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Die Einheit nehmen, erneut nehmen und einsetzen; auf Grad I.	nehmen → nehmen → einsetzen → [Grad I] → Einheit.	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
10	chctho	CH+CH+T+O	1	f66r	G515-E0353	ORDERED_INSTRUCTION_CARD	PROSE_STREAM	PROSE_STREAM_ONLY	PROSE_STREAM_ONLY	NO	Nehmen, erneut nehmen und einstellen; zur Ausführung.	nehmen → nehmen → einstellen → [Ausführung].	0	OBSERVED_FOUR_PAGE_ROLE_ONLY__NO_FUTURE_ROLE_PREDICTION
