context_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	owner_de	locus	surface	content_role	gdt516_context_recipe	final_context_recipe	recipe_source	recipe_changed_after_gdt516	controlled_order_reading_de	gdt538_neutral_phrase_de	explicit_action_roots	inherited_action_root	inherited_action_source_event_id	explicit_argument_roots	inherited_argument_root	inherited_argument_source_event_id	ellipsis_status	contextual_clause_de	exact_recipe_roundtrip	same_statement_inheritance_only	cross_statement_inheritance	guard
1	G515-E0001	G515-S001	1	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	kodalchy	ORDERED_INSTRUCTION_CARD	K+O+D_ADDR+AL+CH+Y	K+O+D_ADDR+AL+CH+Y	GDT538_FINAL_SURFACE	NO	geben → [Ausführung] → [hier: D-Adresse] → Zielort → nehmen → Posten.	Den Posten geben und nehmen; zur Ausführung; hier; am Zielort.	K|CH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	K+O+D_ADDR+AL+CH+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
2	G515-E0002	G515-S001	2	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	chpady	ORDERED_INSTRUCTION_CARD	CH+P+A_ADDR+DY	CH+P+A_ADDR+DY	GDT538_FINAL_SURFACE	NO	nehmen → einsetzen → [hier: A-Adresse] → [Schluss].	Nehmen und einsetzen; hier; abschließen.	CH|P	NONE	NONE	NONE	Y	G515-E0001	INHERITED_ARGUMENT_ONLY	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	CH+P+A_ADDR+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
3	G515-E0003	G515-S002	1	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	sheol	ORDERED_INSTRUCTION_CARD	SH+E+OL	SH+E+OL	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Halte; auf Grad I; führe fort.	SH+E+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
4	G515-E0004	G515-S002	2	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	ol	ITINERARY_OR_ADDRESS_CARD	OL	OL	GDT516_CONTEXT_REPLAY	NO	fortsetzen.	NOT_IN_GDT538_159	NONE	SH	G515-E0003	NONE	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz halte; führe fort.	OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
5	G515-E0005	G515-S002	3	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	sheey	ORDERED_INSTRUCTION_CARD	SH+EE+Y	SH+EE+Y	GDT516_CONTEXT_REPLAY	NO	halten → [Grad II] → Posten.	NOT_IN_GDT538_159	SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den Pflanzenposten; auf Grad II.	SH+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
6	G515-E0006	G515-S002	4	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	qotey	ITINERARY_OR_ADDRESS_CARD	OT+E+Y	OT+E+Y	GDT516_CONTEXT_REPLAY	NO	danach → [Grad I] → Posten.	NOT_IN_GDT538_159	NONE	SH	G515-E0005	Y	NONE	NONE	INHERITED_ACTION_ONLY	Danach: im laufenden Satz halte den Pflanzenposten; auf Grad I.	OT+E+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
7	G515-E0007	G515-S002	5	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	doiin	LOCAL_CLASS_OR_NAME_CARD	D_ADDR+O+IIN	D_ADDR+O+IIN	GDT516_CONTEXT_REPLAY	NO	[hier: D-Adresse] → [Ausführung] → [Stufe].	NOT_IN_GDT538_159	NONE	SH	G515-E0005	NONE	Y	G515-E0006	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz halte den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	D_ADDR+O+IIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
8	G515-E0008	G515-S002	6	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	chor	ORDERED_INSTRUCTION_CARD	CH+OR	CH+OR	GDT516_CONTEXT_REPLAY	NO	nehmen → Einheit.	NOT_IN_GDT538_159	CH	NONE	NONE	OR	NONE	NONE	NO_INHERITANCE	Nimm die Arbeitseinheit.	CH+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
9	G515-E0009	G515-S002	7	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.1	ytoy	ORDERED_INSTRUCTION_CARD	Y+T+O+Y	Y+T+O+Y	GDT538_FINAL_SURFACE	NO	Posten → einstellen → [Ausführung] → Posten.	Beide Posten einstellen; zur Ausführung.	T	NONE	NONE	Y|Y	NONE	NONE	NO_INHERITANCE	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; zur Ausführung.	Y+T+O+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
10	G515-E0010	G515-S002	8	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	dchor	ORDERED_INSTRUCTION_CARD	D_ADDR+CH+OR	D_ADDR+CH+OR	GDT516_CONTEXT_REPLAY	NO	[hier: D-Adresse] → nehmen → Einheit.	NOT_IN_GDT538_159	CH	NONE	NONE	OR	NONE	NONE	NO_INHERITANCE	Nimm die Arbeitseinheit; an der bezeichneten Stelle.	D_ADDR+CH+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
11	G515-E0011	G515-S002	9	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH+OL	GDT516_CONTEXT_REPLAY	NO	halten → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	OR	G515-E0010	INHERITED_ARGUMENT_ONLY	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
12	G515-E0012	G515-S002	10	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH+OL	GDT516_CONTEXT_REPLAY	NO	halten → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	OR	G515-E0010	INHERITED_ARGUMENT_ONLY	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
13	G515-E0013	G515-S002	11	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	cthol	ORDERED_INSTRUCTION_CARD	CH+T+OL	CH+T+OL	GDT516_CONTEXT_REPLAY	NO	nehmen → einstellen → fortsetzen.	NOT_IN_GDT538_159	CH|T	NONE	NONE	NONE	OR	G515-E0010	INHERITED_ARGUMENT_ONLY	Nimm die Arbeitseinheit [wie zuvor] und stelle die Arbeitseinheit [wie zuvor] ein; führe fort.	CH+T+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
14	G515-E0014	G515-S002	12	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	shtchy	ORDERED_INSTRUCTION_CARD	SH+T+CH+Y	SH+T+CH+Y	GDT538_FINAL_SURFACE	NO	halten → einstellen → nehmen → Posten.	Den Posten halten, einstellen und nehmen.	SH|T|CH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den Pflanzenposten, stelle den Pflanzenposten ein und nimm den Pflanzenposten.	SH+T+CH+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
15	G515-E0015	G515-S002	13	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	chaiin	ORDERED_INSTRUCTION_CARD	CH+AIIN	CH+AIIN	GDT516_CONTEXT_REPLAY	NO	nehmen → Wert.	NOT_IN_GDT538_159	CH	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Nimm den Arbeitswert.	CH+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
16	G515-E0016	G515-S002	14	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	s	ORDERED_INSTRUCTION_CARD	S	S	GDT516_CONTEXT_REPLAY	NO	wählen.	NOT_IN_GDT538_159	S	NONE	NONE	NONE	AIIN	G515-E0015	INHERITED_ARGUMENT_ONLY	Wähle den Arbeitswert [wie zuvor].	S	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
17	G515-E0017	G515-S002	15	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	choraiin	ORDERED_INSTRUCTION_CARD	CH+OR+AIIN	CH+OR+AIIN	GDT538_FINAL_SURFACE	NO	nehmen → Einheit → Wert.	Die Einheit und den Wert nehmen.	CH	NONE	NONE	OR|AIIN	NONE	NONE	NO_INHERITANCE	Nimm die Arbeitseinheit und den Arbeitswert.	CH+OR+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
18	G515-E0018	G515-S002	16	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.2	chom	LOCAL_CLASS_OR_NAME_CARD	HO+M_LOCAL	HO+M_LOCAL	GDT516_CONTEXT_REPLAY	NO	[Klasse] → [hier: lokale m-Marke].	NOT_IN_GDT538_159	NONE	CH	G515-E0017	NONE	AIIN	G515-E0017	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz nimm den Arbeitswert [wie zuvor]; in der bezeichneten Klasse und an der bezeichneten Stelle.	HO+M_LOCAL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
19	G515-E0019	G515-S002	17	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	otchol	ORDERED_INSTRUCTION_CARD	OT+CH+OL	OT+CH+OL	GDT516_CONTEXT_REPLAY	NO	danach → nehmen → fortsetzen.	NOT_IN_GDT538_159	CH	NONE	NONE	NONE	AIIN	G515-E0017	INHERITED_ARGUMENT_ONLY	Danach: nimm den Arbeitswert [wie zuvor]; führe fort.	OT+CH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
20	G515-E0020	G515-S002	18	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	chol	ITINERARY_OR_ADDRESS_CARD	OL	OL	GDT516_CONTEXT_REPLAY	NO	fortsetzen.	NOT_IN_GDT538_159	NONE	CH	G515-E0019	NONE	AIIN	G515-E0017	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz nimm den Arbeitswert [wie zuvor]; führe fort.	OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
21	G515-E0021	G515-S002	19	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	chy	COORDINATE_OR_CATALOGUE_CARD	Y	Y	GDT516_CONTEXT_REPLAY	NO	Posten.	NOT_IN_GDT538_159	NONE	CH	G515-E0019	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz nimm den Pflanzenposten.	Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
22	G515-E0022	G515-S002	20	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	chaiin	ORDERED_INSTRUCTION_CARD	CH+AIIN	CH+AIIN	GDT516_CONTEXT_REPLAY	NO	nehmen → Wert.	NOT_IN_GDT538_159	CH	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Nimm den Arbeitswert.	CH+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
