definitive_bundle_id	bundle_id	record_id	physical_page	register	locus	owner_de	event_count	source_event_ids	surface_sequence	recipe_sequence	literal_working_reading_de	boundary_role	record_bundle_count	bundle_ordinal_in_record	local_best_models	gdt474_selected_model	active_model	active_model_source	gdt476_context_decided	model_changed_from_gdt474	coordinate_repair_count	instruction_repair_count	catalogue_repair_count	coordinate_bundle_reading_de	instruction_bundle_reading_de	catalogue_bundle_reading_de	active_bundle_reading_de	order_occurrence_count	order_root_sequence	state_operation_sequence	order_scope_trace_de	definitive_bundle_reading_de	all_three_alternative_readings_retained	root_meaning_change	learned_name_change	claim_status
G479-B001	G474-B001	G475-R001	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	2	P1003-E0079|P1003-E0080	oteeeon|oiil	OT / NONE	DANACH · [PFLANZENNAME:eeeon] / [PFLANZENNAME:oiil]	PAGE_START	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	2	0	1. Adressspur: danach → Pflanzenname »eeeon«. 2. Adressspur: Pflanzenname »oiil«.	1. Danach beziehe den Pflanzeneintrag »eeeon«. 2. Verwende den Pflanzeneintrag »oiil«.	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	1	OT	START_FRESH_SIBLING	OT:danach Pflanze »eeeon«	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B002	G474-B002	G475-R002	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	2	P1003-E0595|P1003-E0596	char|arom	AR / AR	AUSGANG / AUSGANG · [STERNSTELLENNAME:om]	PAGE_START	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	2	0	1. Adressspur: Ausgangsposition. 2. Adressspur: Ausgangsposition → Sternstelle »om«.	1. Beziehe den Eintrag von der Ausgangsposition. 2. Beziehe den Sternstelleneintrag »om« von der Ausgangsposition.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	0	NONE	NONE	NONE	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B003	G474-B003	G475-R003	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0597	chfaly	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	UNMARKED_NEW_LOCUS	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: Sternstelle »chf« → Zielposition → Positionsposten.	Beziehe den Sternstelleneintrag »chf« und den Positionsposten zur Zielposition.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	0	NONE	NONE	NONE	Sternstelle »chf« — Zielzuordnung, Postenangabe.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B004	G474-B004	G475-R004	f71v	CELESTIAL	f71v.4	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0598	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → weiter → Ausgangsposition.	Weiter setze den Eintrag von der Ausgangsposition.	Eintrag »okolar« — Setzvermerk, Fortsetzungsvermerk, Ausgangszuordnung.	Weiter setze den Eintrag von der Ausgangsposition.	1	OL	KEEP_ACTIVE_UNIT	OL:Setzen in Ausgang weiterführen	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B005	G474-B005	G475-R005	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0599	otchody	OT	DANACH · [STERNSTELLENNAME:chody]	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: danach → Sternstelle »chody«.	Danach beziehe den Sternstelleneintrag »chody«.	Sternstelle »chody« — Folgevermerk.	Sternstelle »chody« — Folgevermerk.	1	OT	START_FRESH_SIBLING	OT:danach Sternstelle »chody«	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B006	G474-B006	G475-R006	f71v	CELESTIAL	f71v.6	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0600	alcphy	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	2	0	3	Adressspur: Zielposition → Entnahmepunkt → Einsatzstelle → Positionsposten.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	Eintrag »alcphy« — Zielzuordnung, Entnahmevermerk, Einsatzvermerk, Postenangabe.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	0	NONE	NONE	NONE	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B007	G474-B007	G475-R007	f71v	CELESTIAL	f71v.7	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0601	otaiin	OT+AIIN	DANACH · WERT	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Positionswert.	Danach beziehe den Positionswert.	Eintrag »otaiin« — Folgevermerk, Wertangabe.	Adressspur: danach → Positionswert.	1	OT	START_FRESH_SIBLING	OT:danach Wert	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B008	G474-B008	G475-R008	f71v	CELESTIAL	f71v.8	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0602	okaraiin	OK+AR+AIIN	SETZEN · AUSGANG · WERT	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Ausgangsposition → Positionswert.	Setze den Positionswert von der Ausgangsposition.	Eintrag »okaraiin« — Setzvermerk, Ausgangszuordnung, Wertangabe.	Setze den Positionswert von der Ausgangsposition.	0	NONE	NONE	NONE	Setze den Positionswert von der Ausgangsposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B009	G474-B009	G475-R009	f71v	CELESTIAL	f71v.9	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	3	P1003-E0603|P1003-E0604|P1003-E0605	otar|ar|aly	OT+AR / AR / AL+Y	DANACH · AUSGANG / AUSGANG / ZIELORT · POSTEN	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	3	3	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Beziehe den Eintrag von der Ausgangsposition. 3. Beziehe den Positionsposten zur Zielposition.	1. Eintrag »otar« — Folgevermerk, Ausgangszuordnung. 2. Eintrag »ar« — Ausgangszuordnung. 3. Eintrag »aly« — Zielzuordnung, Postenangabe.	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	1	OT	START_FRESH_SIBLING	OT:danach Ausgang	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B010	G474-B010	G475-R010	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	3	P1003-E0606|P1003-E0607|P1003-E0608	opalar|am|dan	AL+AR / AM_ADDR / AIN	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG / HIER / ANTEIL	UNMARKED_NEW_LOCUS	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	3	1	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	1. Beziehe den Sternstelleneintrag »op« zur Zielposition und von der Ausgangsposition. 2. Beziehe den Eintrag an der bezeichneten Stelle. 3. Beziehe den Sektoranteil.	1. Sternstelle »op« — Zielzuordnung, Ausgangszuordnung. 2. Eintrag »am« — Hier-Vermerk. 3. Eintrag »dan« — Anteilsangabe.	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	0	NONE	NONE	NONE	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
