definitive_record_id	record_id	physical_page	register	page_record_ordinal	record_start_role	bundle_count	bundle_ids	locus_sequence	surface_sequence	active_model_sequence	model_change_count	context_decided_tie_count	order_occurrence_count	order_scope_trace_de	definitive_record_reading_de	event_count	all_events_have_default	claim_status
G479-R001	G475-R001	f17r	HERBAL	1	PAGE_START	1	G474-B001	f17r.13	oteeeon|oiil	CATALOGUE	0	0	1	OT:danach Pflanze »eeeon«	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	2	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R002	G475-R002	f71v	CELESTIAL	1	PAGE_START	1	G474-B002	f71v.2	char|arom	CATALOGUE	0	0	0	NONE	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	2	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R003	G475-R003	f71v	CELESTIAL	2	UNMARKED_NEW_LOCUS	1	G474-B003	f71v.3	chfaly	CATALOGUE	0	0	0	NONE	Sternstelle »chf« — Zielzuordnung, Postenangabe.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R004	G475-R004	f71v	CELESTIAL	3	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	G474-B004	f71v.4	okolar	INSTRUCTION	0	0	1	OL:Setzen in Ausgang weiterführen	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R005	G475-R005	f71v	CELESTIAL	4	EXPLICIT_NEXT_SIBLING_OT	1	G474-B005	f71v.5	otchody	CATALOGUE	0	0	1	OT:danach Sternstelle »chody«	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R006	G475-R006	f71v	CELESTIAL	5	UNMARKED_NEW_LOCUS	1	G474-B006	f71v.6	alcphy	INSTRUCTION	0	0	0	NONE	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R007	G475-R007	f71v	CELESTIAL	6	EXPLICIT_NEXT_SIBLING_OT	1	G474-B007	f71v.7	otaiin	COORDINATE	0	0	1	OT:danach Wert	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R008	G475-R008	f71v	CELESTIAL	7	UNMARKED_NEW_LOCUS	1	G474-B008	f71v.8	okaraiin	INSTRUCTION	0	0	0	NONE	Setze den Positionswert von der Ausgangsposition.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R009	G475-R009	f71v	CELESTIAL	8	EXPLICIT_NEXT_SIBLING_OT	1	G474-B009	f71v.9	otar|ar|aly	COORDINATE	0	0	1	OT:danach Ausgang	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.	3	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R010	G475-R010	f71v	CELESTIAL	9	UNMARKED_NEW_LOCUS	1	G474-B010	f71v.10	opalar|am|dan	COORDINATE	0	0	0	NONE	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	3	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R011	G475-R011	f71v	CELESTIAL	10	UNMARKED_NEW_LOCUS	1	G474-B011	f71v.11	opalor|ar	CATALOGUE	0	0	0	NONE	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.	2	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R012	G475-R012	f71v	CELESTIAL	11	UNMARKED_NEW_LOCUS	1	G474-B012	f71v.13	ofaom	CATALOGUE	0	0	0	NONE	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R013	G475-R013	f71v	CELESTIAL	12	EXPLICIT_NEXT_SIBLING_OT	1	G474-B013	f71v.14	otalody	CATALOGUE	0	0	1	OT:danach Zielort	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R014	G475-R014	f71v	CELESTIAL	13	EXPLICIT_NEXT_SIBLING_OT	1	G474-B014	f71v.15	otalaiin	COORDINATE	0	0	1	OT:danach Zielort	Adressspur: danach → Zielposition → Positionswert. Reihenfolge konkret: OT — danach Zielort.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R015	G475-R015	f71v	CELESTIAL	14	EXPLICIT_NEXT_SIBLING_OT	1	G474-B015	f71v.16	otar|shar	INSTRUCTION	0	0	1	OT:danach Ausgang	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Halte den Eintrag von der Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.	2	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
G479-R016	G475-R016	f71v	CELESTIAL	15	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	G474-B016	f71v.17	sholshdy	INSTRUCTION	0	0	1	OL:Halten in Halten weiterführen	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge konkret: OL — Halten in Halten weiterführen.	1	YES	DEFINITIVE_LOCAL_MICRORECORD_WORKING_READING__NO_PLAINTEXT_CLAIM
