event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	operation_roots	atomic_reading_de	operation_order	form_owner_boundary_status
E001	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC001	dchey	CH+E+Y	CH	ENTNEHMEN · KURZ · DIES	CH	UNCHANGED
E006	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	CH	ENTNEHMEN · WASSER	CH	UNCHANGED
E007	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	CH	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	CH	UNCHANGED
E008	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	OK+Y	OK	ANSETZEN · DIES	OK	UNCHANGED
E011	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	OK+Y	OK	ANSETZEN · DIES	OK	UNCHANGED
E012	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	CH	DANACH · ENTNEHMEN · WEITER	CH	UNCHANGED
E015	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	CH	DIES · ENTNEHMEN · KURZ · ANSATZ	CH	UNCHANGED
E024	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	CH	DANACH · ENTNEHMEN · ANSATZ	CH	UNCHANGED
E032	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC023	oykchor	O+Y+K+OR	K	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	K	UNCHANGED
E036	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC024	kaiiin	K+IIN	K	ZUGEBEN · ARBEITSSTUFE	K	UNCHANGED
