exact_card_id	semantic_family	component_recipe	operation_roots	reading_de	registered_surfaces	events	composition_status
PROC001	SEM001	CH+E+Y	CH	ENTNEHMEN · KURZ · DIES	dchey	1	SINGLE_OPERATION_ROOT
PROC006	SEM006	CH+AIR	CH	ENTNEHMEN · WASSER	chair	1	SINGLE_OPERATION_ROOT
PROC007	SEM007	OT+Y+T+CH+OL	CH	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	otytchol	1	SINGLE_OPERATION_ROOT
PROC008	SEM008	OK+Y	OK	ANSETZEN · DIES	choky|oky|qoky	10	SINGLE_OPERATION_ROOT
PROC011	SEM008	OK+Y	OK	ANSETZEN · DIES	chokchy|okchy|qokchy	3	SINGLE_OPERATION_ROOT
PROC012	SEM011	OT+CH+OL	CH	DANACH · ENTNEHMEN · WEITER	qotchol	1	SINGLE_OPERATION_ROOT
PROC015	SEM014	Y+CH+E+OR	CH	DIES · ENTNEHMEN · KURZ · ANSATZ	ycheor	1	SINGLE_OPERATION_ROOT
PROC020	SEM019	OT+CH+OR	CH	DANACH · ENTNEHMEN · ANSATZ	otchor|qotchor	2	SINGLE_OPERATION_ROOT
PROC023	SEM022	O+Y+K+OR	K	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	oykchor	1	SINGLE_OPERATION_ROOT
PROC024	SEM023	K+IIN	K	ZUGEBEN · ARBEITSSTUFE	kaiiin	1	SINGLE_OPERATION_ROOT
PROC025	SEM024	CH+O+AIIN	CH	ENTNEHMEN · ARBEITSGANG · SOLLMASS	chodaiin	1	SINGLE_OPERATION_ROOT
PROC032	SEM031	T+CH+O+DY	CH	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	tchody	1	SINGLE_OPERATION_ROOT
PROC035	SEM034	K+Y	K	ZUGEBEN · DIES	kchy	1	SINGLE_OPERATION_ROOT
PROC037	SEM036	OK+OL	OK	ANSETZEN · WEITER	okchol	1	SINGLE_OPERATION_ROOT
PROC160	SEM036	OK+OL	OK	ANSETZEN · WEITER	qokol	1	SINGLE_OPERATION_ROOT
PROC038	SEM037	OK+AIIN	OK	ANSETZEN · SOLLMASS	okaiin|qokaiin	9	SINGLE_OPERATION_ROOT
PROC039	SEM038	Y+K+AIN	K	DIES · ZUGEBEN · PORTION	ykain	1	SINGLE_OPERATION_ROOT
PROC040	SEM039	Y+K+AN	K	DIES · ZUGEBEN · NACHGABE	ykan	1	SINGLE_OPERATION_ROOT
PROC042	SEM041	CHD+Y	CHD	UMSETZEN · DIES	chdy|chedy	11	SINGLE_OPERATION_ROOT
PROC133	SEM041	CHD+Y	CHD	UMSETZEN · DIES	chedchy	1	SINGLE_OPERATION_ROOT
PROC044	SEM043	Y+K+AIIN	K	DIES · ZUGEBEN · SOLLMASS	ykaiin	1	SINGLE_OPERATION_ROOT
PROC045	SEM044	CH+E+O+AR	CH	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	cheoar	1	SINGLE_OPERATION_ROOT
PROC048	SEM047	OK+AL	OK	ANSETZEN · ZIELSTELLE	okal|qokal	6	SINGLE_OPERATION_ROOT
PROC051	SEM050	HO+CH+OR	CH	ZUTAT · ENTNEHMEN · ANSATZ	chochor	1	SINGLE_OPERATION_ROOT
PROC054	SEM053	K+OL	K	ZUGEBEN · WEITER	kchol	1	SINGLE_OPERATION_ROOT
PROC057	SEM056	CH+EE+CKH+O+DY	CH	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	cheeckhody	1	SINGLE_OPERATION_ROOT
PROC059	SEM058	K+E+Y	K	ZUGEBEN · KURZ · DIES	kchey	1	SINGLE_OPERATION_ROOT
PROC060	SEM059	OK+OK+Y	OK	ANSETZEN · ANSETZEN · DIES	qokokchy	1	SINGLE_OPERATION_ROOT
PROC061	SEM060	OK+CH+E+O	OK+CH	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	chokcheo	1	MULTI_OPERATION
PROC062	SEM061	K+AL	K	ZUGEBEN · ZIELSTELLE	kchal	1	SINGLE_OPERATION_ROOT
PROC063	SEM062	K+HO+AR	K	ZUGEBEN · ZUTAT · QUELLE	kchoar	1	SINGLE_OPERATION_ROOT
PROC066	SEM064	K+E+OL	K	ZUGEBEN · KURZ · WEITER	keol	1	SINGLE_OPERATION_ROOT
PROC067	SEM065	OK+E+DY	OK	ANSETZEN · KURZ · SCHLUSS	qokedy	8	SINGLE_OPERATION_ROOT
PROC068	SEM066	K+AIR	K	ZUGEBEN · WASSER	kair	1	SINGLE_OPERATION_ROOT
PROC069	SEM067	K+AIN	K	ZUGEBEN · PORTION	chkain|kain	3	SINGLE_OPERATION_ROOT
PROC070	SEM068	OL+K+AIN	K	WEITER · ZUGEBEN · PORTION	olkain|qolkain	2	SINGLE_OPERATION_ROOT
PROC074	SEM072	OK+EE+AL	OK	ANSETZEN · LANG · ZIELSTELLE	qokeedal	1	SINGLE_OPERATION_ROOT
PROC076	SEM074	CHD+DY	CHD	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	4	SINGLE_OPERATION_ROOT
PROC094	SEM074	CHD+DY	CHD	UMSETZEN · SCHLUSS	dchdy	1	SINGLE_OPERATION_ROOT
PROC077	SEM075	SH+K+CHD+DY	K+CHD	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	sshkchdy	1	MULTI_OPERATION
PROC079	SEM077	OL+CHD+DY	CHD	WEITER · UMSETZEN · SCHLUSS	olchedy|qolchedy	3	SINGLE_OPERATION_ROOT
PROC080	SEM078	OK+AIN	OK	ANSETZEN · PORTION	okain|qokain	7	SINGLE_OPERATION_ROOT
PROC082	SEM080	OK+CHD+DY	OK+CHD	ANSETZEN · UMSETZEN · SCHLUSS	qokchdy	3	MULTI_OPERATION
PROC091	SEM080	OK+CHD+DY	OK+CHD	ANSETZEN · UMSETZEN · SCHLUSS	okchedy|qokchedy	2	MULTI_OPERATION
PROC085	SEM083	OK+E+Y	OK	ANSETZEN · KURZ · DIES	okey|qokey	2	SINGLE_OPERATION_ROOT
PROC088	SEM086	L+CHD+AL	CHD	WEITERLEITEN · UMSETZEN · ZIELSTELLE	lchedal	1	SINGLE_OPERATION_ROOT
PROC092	SEM089	OK+EE+Y	OK	ANSETZEN · LANG · DIES	okeey|qokeey	7	SINGLE_OPERATION_ROOT
PROC100	SEM096	OK+EE+DY	OK	ANSETZEN · LANG · SCHLUSS	qokeedy	10	SINGLE_OPERATION_ROOT
PROC102	SEM098	L+CHD	CHD	WEITERLEITEN · UMSETZEN	lched	1	SINGLE_OPERATION_ROOT
PROC104	SEM100	OK+AL+Y	OK	ANSETZEN · ZIELSTELLE · DIES	qokaly	1	SINGLE_OPERATION_ROOT
PROC113	SEM108	OK+AR	OK	ANSETZEN · QUELLE	qokar	1	SINGLE_OPERATION_ROOT
PROC116	SEM110	L+CH+Y	CH	WEITERLEITEN · ENTNEHMEN · DIES	lchy	1	SINGLE_OPERATION_ROOT
PROC119	SEM113	OK+EEE+DY	OK	ANSETZEN · VOLL · SCHLUSS	qokeeedy	1	SINGLE_OPERATION_ROOT
PROC120	SEM114	L+CHD+DY	CHD	WEITERLEITEN · UMSETZEN · SCHLUSS	lchedy	8	SINGLE_OPERATION_ROOT
PROC123	SEM117	L+CHD+AR	CHD	WEITERLEITEN · UMSETZEN · QUELLE	lchedar	1	SINGLE_OPERATION_ROOT
PROC124	SEM118	CH+E+S	CH	ENTNEHMEN · KURZ · TEIL	ches	1	SINGLE_OPERATION_ROOT
PROC125	SEM119	P+CHD+DY	CHD	EINFUELLEN · UMSETZEN · SCHLUSS	pchedy	1	SINGLE_OPERATION_ROOT
PROC130	SEM124	L+O+CHD+DY	CHD	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	lochedy	1	SINGLE_OPERATION_ROOT
PROC134	SEM127	P+CHD+AL	CHD	EINFUELLEN · UMSETZEN · ZIELSTELLE	pchedal	1	SINGLE_OPERATION_ROOT
PROC136	SEM129	SH+E+CTH+CHD+Y	CHD	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	shecthedchy	1	SINGLE_OPERATION_ROOT
PROC138	SEM131	OK+AIR	OK	ANSETZEN · WASSER	okair	1	SINGLE_OPERATION_ROOT
PROC141	SEM134	OK+SH+E+DY	OK	ANSETZEN · HALTEN · KURZ · SCHLUSS	qokshedy	1	SINGLE_OPERATION_ROOT
PROC144	SEM137	AL+CHD+DY	CHD	ZIELSTELLE · UMSETZEN · SCHLUSS	dalchdy	1	SINGLE_OPERATION_ROOT
PROC145	SEM138	OT+CHD+DY	CHD	DANACH · UMSETZEN · SCHLUSS	otchedy|qotchedy	2	SINGLE_OPERATION_ROOT
PROC166	SEM138	OT+CHD+DY	CHD	DANACH · UMSETZEN · SCHLUSS	otchdy	1	SINGLE_OPERATION_ROOT
PROC150	SEM143	CHD+AIR	CHD	UMSETZEN · WASSER	schedair	1	SINGLE_OPERATION_ROOT
PROC151	SEM144	CHD+AIN	CHD	UMSETZEN · PORTION	chedain	1	SINGLE_OPERATION_ROOT
PROC155	SEM148	OK+Y+LD+DY	OK	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	qokylddy	1	SINGLE_OPERATION_ROOT
PROC158	SEM150	OK+EE+OL	OK	ANSETZEN · LANG · WEITER	okeeol	1	SINGLE_OPERATION_ROOT
PROC159	SEM151	L+K+E+DY	K	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	lkedy	1	SINGLE_OPERATION_ROOT
PROC163	SEM154	CH+CKH+AL	CH	ENTNEHMEN · DURCHLASS · ZIELSTELLE	chckhal	1	SINGLE_OPERATION_ROOT
PROC165	SEM156	K+AR	K	ZUGEBEN · QUELLE	skar	1	SINGLE_OPERATION_ROOT
PROC168	SEM158	CHD+AL	CHD	UMSETZEN · ZIELSTELLE	chdal	1	SINGLE_OPERATION_ROOT
PROC171	SEM161	E+K+E+Y	K	KURZ · ZUGEBEN · KURZ · DIES	qekey	1	SINGLE_OPERATION_ROOT
