exact_card_id	semantic_family	component_recipe	reading_de	operation_roots	registered_surfaces	events	semantic_status
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	CH	dchey	1	UNCHANGED__PARADIGM_CONFIRMED
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	NONE	cthoor	1	UNCHANGED
PROC003	SEM003	AR	QUELLE	NONE	char|dar|sar	5	UNCHANGED
PROC004	SEM004	T+Y	ANWENDEN · DIES	NONE	chety|chty	2	UNCHANGED
PROC005	SEM005	OS	FACH	NONE	os	1	UNCHANGED
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	CH	chair	1	UNCHANGED__PARADIGM_CONFIRMED
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	CH	otytchol	1	UNCHANGED__PARADIGM_CONFIRMED
PROC008	SEM008	OK+Y	ANSETZEN · DIES	OK	choky|oky|qoky	10	UNCHANGED__PARADIGM_CONFIRMED
PROC011	SEM008	OK+Y	ANSETZEN · DIES	OK	chokchy|okchy|qokchy	3	UNCHANGED__PARADIGM_CONFIRMED
PROC009	SEM009	AIIN	SOLLMASS	NONE	aiin|chaiin|daiin|saiin|taiin	20	UNCHANGED
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	NONE	etyd	1	UNCHANGED
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	CH	qotchol	1	UNCHANGED__PARADIGM_CONFIRMED
PROC013	SEM012	OL	WEITER	NONE	cheol|chol|ol|qol|sol|tol	19	UNCHANGED
PROC115	SEM012	OL	WEITER	NONE	ls	1	UNCHANGED
PROC014	SEM013	CTH+Y	BEREITEN · DIES	NONE	checthy|cthy|shcthy	7	UNCHANGED
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	CH	ycheor	1	UNCHANGED__PARADIGM_CONFIRMED
PROC016	SEM015	OR	ANSATZ	NONE	chor|or|shor|sor	7	UNCHANGED
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	NONE	cthaiin	1	UNCHANGED
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	NONE	qoctholy	1	UNCHANGED
PROC019	SEM018	Y	DIES	NONE	chey|chy|dy|shy|sy|y	18	UNCHANGED
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	CH	otchor|qotchor	2	UNCHANGED__PARADIGM_CONFIRMED
PROC021	SEM020	OT+OL	DANACH · WEITER	NONE	otol	1	UNCHANGED
PROC022	SEM021	OL+OR	WEITER · ANSATZ	NONE	cholor|olor	2	UNCHANGED
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	K	oykchor	1	UNCHANGED__PARADIGM_CONFIRMED
PROC024	SEM023	K+IIN	ZUGEBEN · ARBEITSSTUFE	K	kaiiin	1	UNCHANGED__PARADIGM_CONFIRMED
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	CH	chodaiin	1	UNCHANGED__PARADIGM_CONFIRMED
