frame	frame_reading_de	operation	operation_reading_de	component_recipe	exact_cards	events	card_ids	event_ids	composed_reading_de
AIN	PORTION	OK	ANSETZEN	OK+AIN	1	7	PROC080	E127,E169,E198,E200,E288,E341,E352	ANSETZEN · PORTION
AIN	PORTION	K	ZUGEBEN	K+AIN	1	3	PROC069	E107,E257,E354	ZUGEBEN · PORTION
AIN	PORTION	CHD	UMSETZEN	CHD+AIN	1	1	PROC151	E303	UMSETZEN · PORTION
AIR	WASSER	OK	ANSETZEN	OK+AIR	1	1	PROC138	E260	ANSETZEN · WASSER
AIR	WASSER	K	ZUGEBEN	K+AIR	1	1	PROC068	E103	ZUGEBEN · WASSER
AIR	WASSER	CH	ENTNEHMEN	CH+AIR	1	1	PROC006	E006	ENTNEHMEN · WASSER
AIR	WASSER	CHD	UMSETZEN	CHD+AIR	1	1	PROC150	E300	UMSETZEN · WASSER
AL	ZIELSTELLE	OK	ANSETZEN	OK+AL	1	6	PROC048	E069,E104,E152,E172,E186,E241	ANSETZEN · ZIELSTELLE
AL	ZIELSTELLE	K	ZUGEBEN	K+AL	1	1	PROC062	E093	ZUGEBEN · ZIELSTELLE
AL	ZIELSTELLE	CHD	UMSETZEN	CHD+AL	1	1	PROC168	E368	UMSETZEN · ZIELSTELLE
AR	QUELLE	OK	ANSETZEN	OK+AR	1	1	PROC113	E191	ANSETZEN · QUELLE
AR	QUELLE	K	ZUGEBEN	K+AR	1	1	PROC165	E360	ZUGEBEN · QUELLE
E+Y	KURZ·DIES	OK	ANSETZEN	OK+E+Y	1	2	PROC085	E142,E220	ANSETZEN · KURZ·DIES
E+Y	KURZ·DIES	K	ZUGEBEN	K+E+Y	1	1	PROC059	E089	ZUGEBEN · KURZ·DIES
E+Y	KURZ·DIES	CH	ENTNEHMEN	CH+E+Y	1	1	PROC001	E001	ENTNEHMEN · KURZ·DIES
OL	WEITER	OK	ANSETZEN	OK+OL	2	2	PROC037,PROC160	E053,E346	ANSETZEN · WEITER
OL	WEITER	K	ZUGEBEN	K+OL	1	1	PROC054	E079	ZUGEBEN · WEITER
Y	DIES	OK	ANSETZEN	OK+Y	3	14	PROC008,PROC011,PROC060	E008,E011,E081,E085,E090,E091,E095,E140,E188,E195,E247,E251,E298,E323	ANSETZEN · DIES
Y	DIES	K	ZUGEBEN	K+Y	1	1	PROC035	E049	ZUGEBEN · DIES
Y	DIES	CHD	UMSETZEN	CHD+Y	2	12	PROC042,PROC133	E062,E123,E145,E240,E244,E252,E287,E304,E319,E328,E342,E372	UMSETZEN · DIES
