event_id	record	statement_id	family	surface	joint_tuple_id	previous_value_de	following_value_de	referent_class	selected_card_value_de
E008	H1	H1-S001	OKY	oky	276a7c2d74d1143446f4	auffangen	Sollmaß	USE_JUST_CREATED_EXTRACT	verwende dies
E011	H1	H1-S002	OKCHY	qokchy	9ad66e67803a12e745de	Aussagebeginn	anwärmen	NEW_ITEM_AT_STATEMENT_START	nimm dies
E081	H5	H5-S001	OKY	choky	276a7c2d74d1143446f4	Folgeansatz	Stelle	USE_INHERITED_PREPARATION	verwende dies
E085	H5	H5-S002	OKY	choky	276a7c2d74d1143446f4	waschen	auftragen; Schluss	USE_JUST_WASHED_ITEM	verwende dies
E091	H5	H5-S004	OKCHY	okchy	9ad66e67803a12e745de	Aussagebeginn	Auszug zugeben	NEW_ITEM_AT_STATEMENT_START	nimm dies
E095	H5	H5-S005	OKCHY	chokchy	9ad66e67803a12e745de	Zutat	Gebrauchsauszug	TAKE_EXPLICIT_INGREDIENT	nimm dies
E140	B1	B1-S011	OKY	qoky	276a7c2d74d1143446f4	durch den Durchlass führen	Aussageende	USE_AFTER_PASSAGE	verwende dies
E188	B2	B2-S006	OKY	qoky	276a7c2d74d1143446f4	über der Stelle	Aussageende	USE_AT_END_OF_PLACEMENT	verwende dies
E195	B2	B2-S010	OKY	qoky	276a7c2d74d1143446f4	länger ansetzen	erste Öffnung	USE_AFTER_LONG_CONTACT	verwende dies
E247	B3	B3-S009	OKY	qoky	276a7c2d74d1143446f4	Aussagebeginn	Aussageende	USE_OWNER_SUPPLIED_ITEM	verwende dies
E251	B3	B3-S011	OKY	qoky	276a7c2d74d1143446f4	aufstreichen	den laufenden Posten umsetzen oder durcharbeiten	USE_AFTER_APPLICATION	verwende dies
E298	B3	B3-S030	OKY	qoky	276a7c2d74d1143446f4	Aussagebeginn	Sollmaß	USE_OWNER_SUPPLIED_ITEM	verwende dies
E323	B4	B4-S003	OKY	qoky	276a7c2d74d1143446f4	länger ansetzen	fortsetzen	USE_IN_RUNNING_SEQUENCE	verwende dies
