surface	exact_tuple_id	selected_concrete_default_German	anonymous_workshop_role	events	hand_1_events	hand_2_events	selection_reason	meaning_status
daiin	2f1c5e56e8f0ff459065	ein vorgeschriebenes Maß	PARAMETER	20	6	14	R1/R2/R3/R4 consensus	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
chol	dcda95c81a5460feb191	mit der vorigen Zubereitung weiter	BACK_REFERENCE	19	3	16	R1/R2/R3/R4 consensus	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
dy	b921a237be883a820352	diese aktive Portion	CURRENT_ITEM	18	8	10	medical concrete value over generic current-unit rival	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
dal	dd0ecaf5e27d81befffc	an die bezeichnete Zielstelle führen	DESTINATION	10	1	9	all four roles remove independent APPLY meaning	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
oky	276a7c2d74d1143446f4	die aktive Portion verwenden	EXECUTE_USE	10	3	7	shared action separated from DAL destination	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
chor	7a4bb8136330ee4e6e56	die bereitete Arbeitsflüssigkeit	WORKING_MATERIAL	7	4	3	medical concrete value with generic material rival	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
cthy	e0b630cb1b5df5e7105b	sobald die Zubereitung gebrauchsfertig ist	READINESS_GATE	7	3	4	medical realization of shared state gate	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
char	4d4559019a961b834aa1	daraus, aus demselben Ansatz	SAME_SOURCE	5	2	3	replaces modern-sounding separate charge	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
shey	b5df9126607030b95175	bis die Flüssigkeit klar abläuft	VISIBLE_THRESHOLD	4	1	3	strongest R2 medical card; generic pass-gate rival retained	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
cholor	dec401773c1f0347793d	aus dem vorigen Ansatz entnehmen	PRIOR_SOURCE_WITHDRAWAL	2	1	1	weakest card but all roles retain explicit prior-source value	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
chty	80ebbbbf238eee9f0aef	gleichmäßig bearbeiten	PROCESS_TO_UNIFORMITY	2	1	1	broadens narrow homogenize/mix	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
otchey	faf321940aed922846a9	nimm den bezeichneten Anteil	TAKE_SELECTED_PART	2	1	1	three roles remove unsupported FINAL value	CREATIVE_V39_DEFAULT_NOT_DECIPHERMENT
