exact_tuple_id	canonical_surface	R2_lead_default_German	rival_1_German	rival_2_German	R2_confidence	medical_reason	strongest_contradiction
2f1c5e56e8f0ff459065	daiin	in der angegebenen oder üblichen Menge	eine volle Maßeinheit	wiederhole dieselbe Menge	0.66	Mengenangaben sind in Arznei- und Baderezepten gewöhnlich; die Karte steht neben Portionen, Zutaten und Anwendungen.	Sie ist ebenso oft feldmedial wie am Rand und kann deshalb auch ein allgemeiner Parameter- oder Referenzwert statt einer eigentlichen Mengenphrase sein.
dcda95c81a5460feb191	chol	gib von der vorigen Zubereitung dazu	danach oder ferner	mit dem üblichen Lösungsmittel	0.50	Ein Rückbezug auf den vorher bereiteten Stoff ist in langen Rezepten plausibel und erklärt die Wiederaufnahme nach einem abgeschlossenen Teilschritt.	Die Karte kommt innerhalb desselben Feldes mehrfach vor und steht einmal allein; ohne lokal sichtbaren Ansatz ist ein konkreter Vorbereitungsbezug nicht immer auflösbar.
b921a237be883a820352	dy	diese abgemessene Portion	eine Dosis davon	hier oder jetzt als deiktischer Arbeitszeiger	0.54	Kurze deiktische Mengenphrasen passen zu Rezepten, in denen Stoff und Maß zuvor genannt oder durch das Bild vorausgesetzt werden.	Auf f10r.6 erscheinen drei Realisierungen derselben Karte in einem einzigen Feld; dreimal dieselbe Portion zu nennen wäre in normaler Rezeptprosa auffällig redundant.
dd0ecaf5e27d81befffc	dal	bringe es an die vorgesehene Anwendungsstelle	gieße es in die nächste Öffnung oder Schale	lege oder binde es auf	0.52	Eine zielgerichtete Applikationskarte funktioniert sowohl bei Pflanzenmitteln als auch bei lokalen Bädern und Spülungen.	Sie folgt auf f56r unmittelbar der ebenfalls als Verwendung gelesenen Karte oky und kommt im Badeabschnitt auch feldinitial vor; die frühere Behauptung „in der Zeichnung bezeichnet“ ist nicht tragfähig.
276a7c2d74d1143446f4	oky	verwende diese Portion nun	trage sie äußerlich auf	nimm oder verabreiche sie	0.60	Eine allgemeine Verwendungsanweisung erklärt Kräuterpflaster, Bad, Spülung und fertige Portion, ohne die Applikationsart zu früh festzulegen.	Die Karte steht häufig am Feldende oder allein und könnte ein formaler Vollzugs-/Abschlusswert sein; „äußerlich auftragen“ wäre für alle Badevorkommen zu eng.
7a4bb8136330ee4e6e56	chor	die bereitete Arbeitsflüssigkeit	der abgekochte Sud	das Bade- oder Spülwasser	0.58	Eine neutrale Arbeitsflüssigkeit ist im Kräuter- wie Badebereich sinnvoll und kann Sud, Auszug, Wasch- oder Badewasser bezeichnen.	Auf f10r.9 stehen zwei Realisierungen unmittelbar nebeneinander; zwei identische Substantive wären ohne Koordination oder Kasusfunktion unnatürlich.
e0b630cb1b5df5e7105b	cthy	sobald die Zubereitung gebrauchsfertig ist	bis die Zubereitung fertig gereift ist	während sie noch warm ist	0.58	Bereitschafts- und Temperaturbedingungen sind in Arzneirezepten gewöhnlich und die Karte tritt nach Zubereitungsschritten wie auch vor Anwendung auf.	Sie steht auf f10r.5 als Feldschluss und anderswo medial; das kann ebenso ein Abschlusszustand oder eine allgemeine Fortsetzungsmarke sein.
4d4559019a961b834aa1	char	mit der bereits angesetzten Mischung	im selben Gefäß	davon oder aus derselben Quelle	0.44	Ein knapper Rückbezug auf einen vorhandenen Ansatz verhindert, dass Zutaten oder Flüssigkeiten erneut ausgeschrieben werden müssen.	Auf f10r.2 folgt die Karte direkt auf das Waschen der Wurzel, bevor eine Mischung eindeutig eingeführt ist; „dieselbe Charge“ klingt hier nach moderner Werkstattverwaltung.
b5df9126607030b95175	shey	bis die Flüssigkeit klar abläuft	bis die behandelte Stelle sauber ist	seihe klar ab	0.72	Der stärkste medizinische Kandidat: f11r verbindet ihn ausdrücklich mit Pressen, zweitem Seihen und Abkühlen; die Badefelder verbinden ihn mit Spülen und Abfluss.	Nur vier Ereignisse tragen die Klasse; in Badefeldern könnte „sauber gespült“ statt optischer Flüssigkeitsklarheit gemeint sein.
dec401773c1f0347793d	cholor	vom vorigen Ansatz	der Rest des vorigen Ansatzes	danach oder in Fortsetzung	0.28	Ein ausführlicher Vorbezugswert könnte den Anfang eines neuen Arbeitsschritts mit der vorherigen Charge verbinden.	Es gibt nur zwei Ereignisse, und eines liegt zwischen mehreren chol/chor-Karten; die medizinische Spezifikation ist nahezu vollständig aus der angenommenen Ähnlichkeit zu chol abgeleitet.
80ebbbbf238eee9f0aef	chty	mische oder verarbeite es gründlich	zerreibe es fein	halte es im gleichen Zustand oder warte	0.38	Ein generischer Bearbeitungsimperativ passt sowohl zur Wurzelzubereitung als auch zum Temperieren einer Badearbeit.	Auf f10r.2 folgt danach erst „zu grobem Pulver reduzieren“, auf f83r.24 folgen Zeit und unteres Becken; „bis homogen“ ist für beide Reihen zu präzise.
faf321940aed922846a9	otchey	nimm davon einen Anteil	nimm den zuletzt genannten Teil	nimm den bezeichneten Pflanzenteil	0.56	Beide Vorkommen sind feldinitial; auf f56r folgt ein Pflanzenteil mit Menge, auf f83r Temperieren und Anwendung. Das stützt einen TAKE-Kopf.	„final“ und „bezeichnet“ sind nicht unabhängig belegt; die Karte könnte ebenso eine neue Teilanweisung oder ein Auswahlzeichen eröffnen.
