field_no	card_no	surface	selected_concrete_default_German	desired_position	observed_position_support	position_attested
1	1	otchey	nimm den bezeichneten Anteil	FIRST	2	TRUE
1	2	daiin	ein vorgeschriebenes Maß	LAST	5	TRUE
2	1	chol	mit der vorigen Zubereitung weiter	FIRST	3	TRUE
2	2	chor	die bereitete Arbeitsflüssigkeit	MIDDLE	5	TRUE
2	3	char	daraus, aus demselben Ansatz	MIDDLE	3	TRUE
2	4	chty	gleichmäßig bearbeiten	MIDDLE	2	TRUE
2	5	shey	bis die Flüssigkeit klar abläuft	LAST	1	TRUE
3	1	cholor	aus dem vorigen Ansatz entnehmen	FIRST	1	TRUE
3	2	dy	diese aktive Portion	MIDDLE	13	TRUE
3	3	cthy	sobald die Zubereitung gebrauchsfertig ist	MIDDLE	6	TRUE
3	4	oky	die aktive Portion verwenden	MIDDLE	6	TRUE
3	5	dal	an die bezeichnete Zielstelle führen	LAST	2	TRUE
