exact_tuple_id	attested_surfaces	default_German	rival_1_German	rival_2_German	workshop_instruction	R1_revision
2f1c5e56e8f0ff459065	daiin|taiin|chaiin|aiin|saiin	EIN VORGESCHRIEBENES MASS	IN DER VORGESCHRIEBENEN WEISE	EIN ARBEITSGANG / EINE EINHEIT	Setze die Karte bei der festgelegten Portion oder Menge; Bild oder Artikel liefert die Maßeinheit.	REVISED_FROM_ADVERBIAL_MEASURE_TO_CONCRETE_MEASURE_PACKET
dcda95c81a5460feb191	chol|ol|qol|sol|tol|cheol	MIT DER VORIGEN ZUBEREITUNG	DANACH / ALS NÄCHSTES	DASSELBE WIEDERHOLEN	Nimm den unmittelbar vorher eingeführten Ansatz wieder auf.	DEFAULT_RETAINED
b921a237be883a820352	dy|chy|shy|y|sy|chey	DIESE PORTION	DIESER GEGENWÄRTIGE GEGENSTAND	JETZT / IN DIESEM SCHRITT	Zeige auf den im laufenden Feld bereits genannten Anteil.	DEFAULT_RETAINED
dd0ecaf5e27d81befffc	dal|al|sal|chal|cheal|tal	BRINGE ES AN DIE BEZEICHNETE STELLE	FÜHRE ES NACH UNTEN / ZUM AUSLASS	WENDE ES AM GEZEIGTEN KÖRPERORT AN	Führe den Ansatz an den durch Bild oder laufendes Gefäßschema bestimmten Zielort.	REVISED_FROM_NARROW_APPLICATION_TO_LOCATION_DIRECTED_TRANSFER
276a7c2d74d1143446f4	oky|choky|qoky	WENDE DIESE PORTION AN	GEBRAUCHE DIESEN ANSATZ	SETZE DEN VORHERIGEN ARBEITSGANG FORT	Vollziehe den vorgesehenen Gebrauch der vorbereiteten Portion.	DEFAULT_NARROWED_TO_IMPERATIVE
7a4bb8136330ee4e6e56	chor|shor|or|sor	DER ZUBEREITETE SUD / DIE ARBEITSFLÜSSIGKEIT	DIE ZUBEREITETE MISCHUNG	DAS GEGENWÄRTIGE ARBEITSMATERIAL	Bezeichne den flüssigen oder gießfähigen Arbeitsansatz, nicht die abgebildete Pflanze selbst.	DEFAULT_RETAINED
e0b630cb1b5df5e7105b	cthy|shcthy|checthy	SOBALD DER ANSATZ BEREIT IST	DANN / IM NÄCHSTEN ZUSTAND	BIS DER ANSATZ BEREIT IST	Setze die Karte am Übergang vom Bereiten zum nächsten Vollzug.	DEFAULT_RETAINED_WITH_ASPECT_CLARIFICATION
4d4559019a961b834aa1	char|dar|sar	DARAUS, AUS DEMSELBEN ANSATZ	DANACH	AUS DERSELBEN ZUTAT	Greife auf den eben genannten Ansatz zurück, ohne ihn neu zu benennen.	REVISED_FROM_NEW_BATCH_TO_ANAPHORIC_SOURCE
b5df9126607030b95175	shey|cheey	BIS DIE FLÜSSIGKEIT KLAR LÄUFT	BIS ZUM SICHTBAREN ENDPUNKT	KLÄREN / ABSEIHEN	Beende die Bearbeitung am sichtbaren Klarheitszustand.	DEFAULT_RETAINED
dec401773c1f0347793d	cholor|olor	AUS DEM VORHERIGEN ANSATZ	WIEDERHOLE DIE VORIGE ZUBEREITUNG	DER VORHERIGE ARBEITSGANG	Eröffne einen neuen Schritt mit ausdrücklich wiederaufgenommenem Voransatz.	DEFAULT_RETAINED
80ebbbbf238eee9f0aef	chty|chety	BEARBEITE ES GLEICHMÄSSIG	RÜHRE ES GLEICHMÄSSIG	BIS ES GLEICHMÄSSIG / BEREIT IST	Halte Mischen oder Bearbeiten bis zu einem gleichmäßigen Zustand an.	DEFAULT_RETAINED_WITH_IMPERATIVE_WORDING
faf321940aed922846a9	otchey	NIMM DEN BEZEICHNETEN TEIL	NIMM DEN LETZTEN ANTEIL	NIMM DEN AUSGEWÄHLTEN REST	Beginne das Feld mit dem aus Bild oder Voransatz ausgewählten Teil.	REVISED_REMOVED_UNSUPPORTED_FINALITY
