surface	exact_tuple_id	selected_concrete_default	rival_1	rival_2	decision	correction_reason
daiin	2f1c5e56e8f0ff459065	according to the entered standard measure	write the next quantity	at the marked degree	RETAIN_NARROWED	Portable across both hands and all three registers; quantity is plausible but a numeral is not identified.
chol	dcda95c81a5460feb191	continue with the preceding preparation	in the same vessel	under the same active relation	RETAIN_AS_REFERENCE	Many wrapper surfaces recur across both hands; the safest concrete value is carried preparation reference rather than conjunction.
dy	b921a237be883a820352	this active portion or item	the current process state	the current register entry	RETAIN_BROADENED	Repeated inside fields across both hands; portion remains useful but item must stay available outside medical liquid contexts.
dal	dd0ecaf5e27d81befffc	at the indicated target or place	apply it at the pictured place	at the second outlet	REVISE_REMOVE_ACTION	Placement is portable; the verb APPLY was doing unsupported work and should be supplied by an adjacent action card.
oky	276a7c2d74d1143446f4	use or apply the active portion	take the active portion	confirm the current item	RETAIN	Its distribution supports an action on the current item better than a pure location or state.
chor	7a4bb8136330ee4e6e56	the prepared working material or liquid	the prepared decoction	the current vessel contents	REVISE_BROADEN	Crosses Herbal and Biological contexts; DECOCTION is too narrow for the shared card.
cthy	e0b630cb1b5df5e7105b	when the required state has been reached	when the preparation is ready	at the specified time	REVISE_STATE_GENERIC	Readiness is plausible but the shared value should name a state gate rather than one recipe-specific condition.
char	4d4559019a961b834aa1	continue from the same prepared batch	repeat the same operation	from the same previous source	RETAIN_AS_CONTINUATION	Its wrapper variants span hands and support inherited material more directly than a new ingredient.
shey	b5df9126607030b95175	until the required clarity or completion threshold	until the liquid runs clear	until the process becomes stable	REVISE_THRESHOLD	The visible-liquid reading works locally; the shared card needs a slightly broader observable completion threshold.
cholor	dec401773c1f0347793d	take or continue from the preceding batch	through the preceding vessel	continue the same relation	RETAIN_BROADENED	Two cross-hand examples license a carried source reference but not a specific vessel.
chty	80ebbbbf238eee9f0aef	work it to a uniform state	mix it evenly	maintain it until ready	RETAIN	Both occurrences are medial process conditions and agree with a homogeneous-state operation.
otchey	faf321940aed922846a9	take the carried-over final indicated share	begin the next assigned item	take the final portion	REVISE_CARRYOVER	Both occurrences are field-first; carried-over final share reconciles FIRST placement with a final-part value.
