rank	exact_tuple_id	canonical_surface	concrete_default_de	functional_type	medical_rival_de	generic_control_rival_de	selected_reason	medical_specificity	status
1	2f1c5e56e8f0ff459065	daiin	in der im Artikel festgesetzten Menge	PARAMETER_VALUE	in der üblichen Arzneimenge	unter derselben Sollzahl oder Einstellung	20 Ereignisse in beiden Händen; verbindet Zutaten, Portionen, Öffnungen und Gefäßschritte, ohne selbst Stoff oder Handlung zu benennen	LOW	REVISED_DEFAULT
2	dcda95c81a5460feb191	chol	mit dem unmittelbar vorher bereitgestellten Ansatz	BACK_REFERENCE_INPUT	mit der vorigen Arzneizubereitung	den vorherigen Auftrag oder Kontrollzustand wieder aufnehmen	19 Ereignisse; häufig medial, aber auch Feldanfang und einmal allein; passt besser als Eingangsverweis denn als bestimmte Flüssigkeit	LOW	REVISED_DEFAULT
3	b921a237be883a820352	dy	die jetzt bearbeitete Einheit	CURRENT_UNIT_POINTER	diese Arzneiportion	dieser gegenwärtige Posten oder Arbeitsgang	18 Ereignisse; erscheint zwischen Operationen und auch am Feldende; ein deiktischer Einheitspointer erklärt beides besser als eine reine Schlussmarke	LOW	REVISED_DEFAULT
4	dd0ecaf5e27d81befffc	dal	an die durch Bild oder Register bezeichnete Zielstelle leiten	DESTINATION_ASSIGNMENT	auf die dargestellte Körperstelle auftragen	der bezeichneten Station, Öffnung oder Ablage zuweisen	10 Ereignisse von f56r bis zu den Gefäßseiten; Zielzuweisung bleibt ausführbar, ohne jede Stelle zum Körperteil zu erklären	MEDIUM	REVISED_DEFAULT
5	276a7c2d74d1143446f4	oky	den gegenwärtigen Posten ausführen oder in Gebrauch geben	EXECUTE_RELEASE	diese Portion anwenden	diesen Arbeitsposten freigeben oder als ausgeführt behandeln	10 Ereignisse in Herbal und Biological und in fast jeder Feldposition; die breite Vollzugslesung ist tragfähiger als ausschließlich AUFTRAGEN	LOW	REVISED_DEFAULT
6	7a4bb8136330ee4e6e56	chor	der gegenwärtige gebrauchsfertige Ansatz	WORKING_STOCK	der bereitete Sud oder die Arzneiflüssigkeit	der fertig eingerichtete Arbeitsbestand oder Eingangsposten	7 Ereignisse ausschließlich am Feldanfang oder medial; es verhält sich wie ein referierbarer Arbeitsgegenstand, nicht wie ein Abschluss	MEDIUM	REVISED_DEFAULT
7	e0b630cb1b5df5e7105b	cthy	sobald der vorgeschriebene Arbeitszustand erreicht ist	READINESS_GATE	sobald die Zubereitung gebrauchsfertig ist	nach bestandener Zustandskontrolle	7 Ereignisse überwiegend medial, einmal terminal; der konditionale Zustandsübergang trägt Herbal- wie Gefäßkontexte	LOW	REVISED_DEFAULT
8	4d4559019a961b834aa1	char	aus derselben laufenden Charge	SAME_BATCH_SOURCE	von derselben Arzneizubereitung	unter unveränderter Quelle oder Einstellung	5 Ereignisse als Zwischen- oder Schlussverweis; SAME bleibt nützlich, aber BATCH ist nur die praktischste konkrete Füllung	LOW	REVISED_DEFAULT
9	b5df9126607030b95175	shey	bis die Sichtkontrolle einen klaren oder freien Durchgang zeigt	INSPECTION_GATE	bis die Flüssigkeit klar abläuft	bis der Lauf frei beziehungsweise der Prüfzustand erfüllt ist	4 Ereignisse in Herbal und Gefäßmaterial, an Anfang, Mitte und Ende; ein sichtbarer Freigabezustand erklärt mehr als chemische Klarheit allein	MEDIUM	REVISED_DEFAULT
10	dec401773c1f0347793d	cholor	aus dem zuvor zurückgestellten Ansatz entnehmen	PRIOR_BATCH_WITHDRAWAL	von der vorigen Arzneicharge nehmen	aus dem vorherigen Arbeitslos oder Registerposten übernehmen	Nur 2 Ereignisse, aber beide feldfrüh; die gegenüber chol stärkere ENTNAHME-Lesung hält die beiden Karten funktional unterscheidbar	LOW	REVISED_DEFAULT
11	80ebbbbf238eee9f0aef	chty	bis zu einem gleichförmigen Arbeitszustand bearbeiten	HOMOGENIZE_STATE	gleichmäßig verrühren	abarbeiten, bis die Kontrollwerte übereinstimmen	Nur 2 ausschließlich mediale Ereignisse; Zustandsherstellung ist enger und ausführbarer als ein bedeutungsarmes WEITER	MEDIUM	REVISED_DEFAULT
12	faf321940aed922846a9	otchey	das zuletzt bezeichnete Teilstück auswählen und entnehmen	FINAL_DESIGNATED_SELECTION	die zuletzt bezeichnete Arzneiportion nehmen	den letzten markierten Posten oder Ausgang übernehmen	Nur 2, beide feldinitial; Auswahl eines schon adressierten Outputs erklärt die initiale Stellung und die anschließende weitere Bestimmung	LOW	REVISED_DEFAULT
