case_id	template_left_position	template_right_position	surface_bigram	card_bigram	source_occurrences	source_hits	source_attested
C1	1	2	qokaiin os	PROC038|PROC005	0	NONE	NO
C1	2	3	os lsho	PROC005|PROC084	0	NONE	NO
C1	3	4	lsho qokal	PROC084|PROC048	0	NONE	NO
C1	4	5	qokal shey	PROC048|PROC031	0	NONE	NO
C1	5	6	shey shedy	PROC031|PROC078	0	NONE	NO
C2	1	2	cthy cthaiin	PROC014|PROC017	0	NONE	NO
C2	2	3	cthaiin qoctholy	PROC017|PROC018	1	H2-S001:E018	YES
C2	3	4	qoctholy ches	PROC018|PROC124	0	NONE	NO
C2	4	5	ches qokal	PROC124|PROC048	0	NONE	NO
C2	5	6	qokal qokeeedy	PROC048|PROC119	0	NONE	NO
C3	1	2	cfhy cphy	PROC028|PROC030	0	NONE	NO
C3	2	3	cphy qokaiin	PROC030|PROC038	0	NONE	NO
C3	3	4	qokaiin qokal	PROC038|PROC048	0	NONE	NO
C3	4	5	qokal shey	PROC048|PROC031	0	NONE	NO
C3	5	6	shey shedy	PROC031|PROC078	0	NONE	NO
C4	1	2	qokaiin qokain	PROC038|PROC080	0	NONE	NO
C4	2	3	qokain ykan	PROC080|PROC040	0	NONE	NO
C4	3	4	ykan qokal	PROC040|PROC048	0	NONE	NO
C4	4	5	qokal qokylddy	PROC048|PROC155	0	NONE	NO
C4	5	6	qokylddy talam	PROC155|PROC043	0	NONE	NO
C5	1	2	cho qokaiin	PROC052|PROC038	0	NONE	NO
C5	2	3	qokaiin kchoar	PROC038|PROC063	0	NONE	NO
C5	3	4	kchoar chodaly	PROC063|PROC053	0	NONE	NO
C5	4	5	chodaly daiiin	PROC053|PROC169	0	NONE	NO
C5	5	6	daiiin shedy	PROC169|PROC078	0	NONE	NO
