case_id	template_position	surface	card_no	source_event_occurrences	source_statements	source_statement_ids
C1	1	qokaiin	PROC038	9	8	B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021|H4-S001
C1	2	os	PROC005	1	1	H1-S001
C1	3	lsho	PROC084	1	1	B1-S012
C1	4	qokal	PROC048	6	6	B1-S002|B1-S016|B2-S004|B2-S006|B3-S006|H4-S004
C1	5	shey	PROC031	4	4	B2-S010|B2-S012|B4-S015|H3-S001
C1	6	shedy	PROC078	12	12	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016
C2	1	cthy	PROC014	7	6	B3-S021|B3-S026|B3-S034|H1-S002|H2-S001|H3-S004
C2	2	cthaiin	PROC017	1	1	H2-S001
C2	3	qoctholy	PROC018	1	1	H2-S001
C2	4	ches	PROC124	1	1	B2-S016
C2	5	qokal	PROC048	6	6	B1-S002|B1-S016|B2-S004|B2-S006|B3-S006|H4-S004
C2	6	qokeeedy	PROC119	1	1	B2-S012
C3	1	cfhy	PROC028	1	1	H3-S001
C3	2	cphy	PROC030	1	1	H3-S001
C3	3	qokaiin	PROC038	9	8	B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021|H4-S001
C3	4	qokal	PROC048	6	6	B1-S002|B1-S016|B2-S004|B2-S006|B3-S006|H4-S004
C3	5	shey	PROC031	4	4	B2-S010|B2-S012|B4-S015|H3-S001
C3	6	shedy	PROC078	12	12	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016
C4	1	qokaiin	PROC038	9	8	B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021|H4-S001
C4	2	qokain	PROC080	7	6	B1-S006|B2-S003|B2-S011|B3-S026|B4-S011|B4-S015
C4	3	ykan	PROC040	1	1	H4-S001
C4	4	qokal	PROC048	6	6	B1-S002|B1-S016|B2-S004|B2-S006|B3-S006|H4-S004
C4	5	qokylddy	PROC155	1	1	B4-S004
C4	6	talam	PROC043	1	1	H4-S002
C5	1	cho	PROC052	4	3	H5-S001|H5-S003|H5-S005
C5	2	qokaiin	PROC038	9	8	B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021|H4-S001
C5	3	kchoar	PROC063	1	1	H5-S005
C5	4	chodaly	PROC053	1	1	H5-S001
C5	5	daiiin	PROC169	1	1	B5-S003
C5	6	shedy	PROC078	12	12	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016
