model	source_group_id	edition	locus	page	kind	source_group_index	source_group_count	paragraph_start	paragraph_end	left_separator	right_separator	ivtff_group_raw	gloss	role
R	ZL3b|f77r.1|G001	ZL3b	f77r.1	f77r	L	1	1	0	0	LINE_START	LINE_END	darchdar	⟦darchdar⟧	UNREAD
R	ZL3b|f77r.2|G001	ZL3b	f77r.2	f77r	L	1	1	0	0	LINE_START	LINE_END	olkchs	⟦olkchs⟧	UNREAD
R	ZL3b|f77r.3|G001	ZL3b	f77r.3	f77r	L	1	1	0	0	LINE_START	LINE_END	otedy	Mündung	PLACE
R	ZL3b|f77r.4|G001	ZL3b	f77r.4	f77r	L	1	1	0	0	LINE_START	LINE_END	otork	⟦otork⟧	UNREAD
R	ZL3b|f77r.5|G001	ZL3b	f77r.5	f77r	L	1	1	0	0	LINE_START	LINE_END	otol	⟦otol⟧	UNREAD
R	ZL3b|f77r.6|G001	ZL3b	f77r.6	f77r	L	1	1	0	0	LINE_START	LINE_END	dchdy	⟦dchdy⟧	UNREAD
R	ZL3b|f77r.7|G001	ZL3b	f77r.7	f77r	L	1	1	0	0	LINE_START	LINE_END	soral	⟦soral⟧	UNREAD
R	ZL3b|f77r.8|G001	ZL3b	f77r.8	f77r	L	1	1	0	0	LINE_START	LINE_END	dotedy	⟦dotedy⟧	UNREAD
R	ZL3b|f77r.9|G001	ZL3b	f77r.9	f77r	P	1	9	1	0	LINE_START	UNCERTAIN_SMALL_SPACE	poldarais	⟦poldarais⟧	UNREAD
R	ZL3b|f77r.9|G002	ZL3b	f77r.9	f77r	P	2	9	1	0	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	ol	⟦ol⟧	UNREAD
R	ZL3b|f77r.9|G003	ZL3b	f77r.9	f77r	P	3	9	1	0	DEFINITE_SPACE	DEFINITE_SPACE	qokol	⟦qokol⟧	UNREAD
R	ZL3b|f77r.9|G004	ZL3b	f77r.9	f77r	P	4	9	1	0	DEFINITE_SPACE	DEFINITE_SPACE	chey	wenn	CONDITION
