master_card_id	atomic_value_de	also_in_H3	H3_events	B2_events	B4_events	bridge_role
MC002	lange einwirken	NO	NONE	175|194|205	317|322	SHARED_APPLICATION_PROCEDURE
MC017	Anteil zugeben	NO	NONE	169|198|200	341|352	SHARED_APPLICATION_PROCEDURE
MC026	einsetzen	NO	NONE	188|195	323	SHARED_APPLICATION_PROCEDURE
MC039	Sollmaß	YES	51	207|217	332|338	PRODUCT_IDENTITY_BRIDGE
MC082	lange einwirken; Schluss	NO	NONE	171|201|213|224|227	315|329	SHARED_APPLICATION_PROCEDURE
MC119	Klarauszug	YES	44	197|203	353	PRODUCT_IDENTITY_BRIDGE
MC123	dies	YES	48|50|55	170|208	349	PRODUCT_IDENTITY_BRIDGE
MC128	kurz absetzen; Schluss	NO	NONE	192	325|336|347|361	SHARED_APPLICATION_PROCEDURE
MC154	dorthin	NO	NONE	214	359	SHARED_APPLICATION_PROCEDURE
MC155	abführen; Schluss	NO	NONE	210	345|357	SHARED_APPLICATION_PROCEDURE
