statement_id	page	boundary_from_previous	owner_trace	visible_surface_sequence	atomic_card_chain_de	fluent_procedure_de	terminal_status
B4-S004	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	qokylddy	Festsetzen; Schluss	Fixiere die Arbeitsstelle und schließe die Einrichtung ab.	TERMINAL
B4-S005	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	dain chedy qokeedy	Einlage | überführen | lange einwirken; Schluss	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.	TERMINAL
B4-S006	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	shckhedy	durchlassen; Schluss	Lasse den Posten einmal durch die vorbereitete Einlage; schließe den ersten Durchgang.	TERMINAL
B4-S007	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	shckhedy	durchlassen; Schluss	Lasse denselben Posten ein zweites Mal durch; schließe den zweiten Durchgang.	TERMINAL
B4-S008	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	saiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | Langhalt | kurz einwirken; Schluss	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.	TERMINAL
B4-S009	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	shedy	kurz absetzen; Schluss	Lasse den Posten kurz absetzen und schließe den Schritt.	TERMINAL
B4-S010	f83r	FRESH_AFTER_CLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	oldy	fertig	Markiere den so behandelten Posten als fertig.	TERMINAL
B4-S011	f83r	OWNER_RESET	linke offene Fransen-/Unterlaufstation	saiin cheky okeeol okain chdy sol lkedy	Sollmaß | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | Kurzabzug; Schluss	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	TERMINAL
B4-S012	f83r	FRESH_AFTER_CLOSE	linke offene Fransen-/Unterlaufstation	lchedy	abführen; Schluss	Führe den verbleibenden Posten ab und schließe den Schritt.	TERMINAL
B4-S013	f83r	FRESH_AFTER_CLOSE	linke offene Fransen-/Unterlaufstation	qokol shedy	Weiter einsetzen | kurz absetzen; Schluss	Setze die Weiterfraktion ein, lasse sie kurz absetzen und schließe den Schritt.	TERMINAL
B4-S014	f83r	FRESH_AFTER_CLOSE	linke offene Fransen-/Unterlaufstation	or chey qockhey dairydy	Ansatz | dies | Kurzdurchgang | Laufschluss	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.	TERMINAL
B4-S015	f83r	FRESH_AFTER_CLOSE	linke offene Fransen-/Unterlaufstation -> rechte S-Lauf-/Mehrarmknotenstation	qokain shey kain chckhal solkey lchedy	Anteil zugeben | Klarauszug | Anteil | Zielpassage | Kurzsammlung | abführen; Schluss	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	TERMINAL
B4-S016	f83r	FRESH_AFTER_CLOSE	rechte S-Lauf-/Mehrarmknotenstation	qolkain dal skar shedy	weiterer Anteil | dorthin | Quellausguss | kurz absetzen; Schluss	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.	TERMINAL
