event_serial	statement_id	page	visible_owner	visible_surface	master_card_id	atomic_card_value_de	event_position_in_clause	terminal_status	complete_clause_translation_de
326	B4-S004	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	qokylddy	MC164	Festsetzen; Schluss	1/1	TERMINAL	Fixiere die Arbeitsstelle und schließe die Einrichtung ab.
327	B4-S005	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	dain	MC059	Einlage	1/3	NONCLOSE	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.
328	B4-S005	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	chedy	MC074	überführen	2/3	NONCLOSE	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.
329	B4-S005	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	qokeedy	MC082	lange einwirken; Schluss	3/3	TERMINAL	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.
330	B4-S006	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	shckhedy	MC143	durchlassen; Schluss	1/1	TERMINAL	Lasse den Posten einmal durch die vorbereitete Einlage; schließe den ersten Durchgang.
331	B4-S007	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	shckhedy	MC143	durchlassen; Schluss	1/1	TERMINAL	Lasse denselben Posten ein zweites Mal durch; schließe den zweiten Durchgang.
332	B4-S008	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	saiin	MC039	Sollmaß	1/4	NONCLOSE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.
333	B4-S008	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	cheeky	MC032	länger bearbeiten	2/4	NONCLOSE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.
334	B4-S008	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	sheey	MC095	Langhalt	3/4	NONCLOSE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.
335	B4-S008	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	qokedy	MC083	kurz einwirken; Schluss	4/4	TERMINAL	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.
336	B4-S009	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	shedy	MC128	kurz absetzen; Schluss	1/1	TERMINAL	Lasse den Posten kurz absetzen und schließe den Schritt.
337	B4-S010	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	oldy	MC019	fertig	1/1	TERMINAL	Markiere den so behandelten Posten als fertig.
338	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	saiin	MC039	Sollmaß	1/7	NONCLOSE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
339	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	cheky	MC147	kurz wärmen	2/7	NONCLOSE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
340	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	okeeol	MC150	Langfortsetzung	3/7	NONCLOSE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
341	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	okain	MC017	Anteil zugeben	4/7	NONCLOSE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
342	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	chdy	MC074	überführen	5/7	NONCLOSE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
343	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	sol	MC153	weiter	6/7	NONCLOSE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
344	B4-S011	f83r	linke offene Fransen-/Unterlaufstation	lkedy	MC124	Kurzabzug; Schluss	7/7	TERMINAL	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.
345	B4-S012	f83r	linke offene Fransen-/Unterlaufstation	lchedy	MC155	abführen; Schluss	1/1	TERMINAL	Führe den verbleibenden Posten ab und schließe den Schritt.
346	B4-S013	f83r	linke offene Fransen-/Unterlaufstation	qokol	MC024	Weiter einsetzen	1/2	NONCLOSE	Setze die Weiterfraktion ein, lasse sie kurz absetzen und schließe den Schritt.
347	B4-S013	f83r	linke offene Fransen-/Unterlaufstation	shedy	MC128	kurz absetzen; Schluss	2/2	TERMINAL	Setze die Weiterfraktion ein, lasse sie kurz absetzen und schließe den Schritt.
348	B4-S014	f83r	linke offene Fransen-/Unterlaufstation	or	MC080	Ansatz	1/4	NONCLOSE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.
349	B4-S014	f83r	linke offene Fransen-/Unterlaufstation	chey	MC123	dies	2/4	NONCLOSE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.
350	B4-S014	f83r	linke offene Fransen-/Unterlaufstation	qockhey	MC165	Kurzdurchgang	3/4	NONCLOSE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.
351	B4-S014	f83r	linke offene Fransen-/Unterlaufstation	dairydy	MC091	Laufschluss	4/4	TERMINAL	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.
352	B4-S015	f83r	linke offene Fransen-/Unterlaufstation	qokain	MC017	Anteil zugeben	1/6	NONCLOSE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.
353	B4-S015	f83r	linke offene Fransen-/Unterlaufstation	shey	MC119	Klarauszug	2/6	NONCLOSE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.
354	B4-S015	f83r	linke offene Fransen-/Unterlaufstation	kain	MC105	Anteil	3/6	NONCLOSE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.
355	B4-S015	f83r	linke offene Fransen-/Unterlaufstation	chckhal	MC022	Zielpassage	4/6	NONCLOSE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.
356	B4-S015	f83r	rechte S-Lauf-/Mehrarmknotenstation	solkey	MC050	Kurzsammlung	5/6	NONCLOSE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.
357	B4-S015	f83r	rechte S-Lauf-/Mehrarmknotenstation	lchedy	MC155	abführen; Schluss	6/6	TERMINAL	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.
358	B4-S016	f83r	rechte S-Lauf-/Mehrarmknotenstation	qolkain	MC097	weiterer Anteil	1/4	NONCLOSE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.
359	B4-S016	f83r	rechte S-Lauf-/Mehrarmknotenstation	dal	MC154	dorthin	2/4	NONCLOSE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.
360	B4-S016	f83r	rechte S-Lauf-/Mehrarmknotenstation	skar	MC089	Quellausguss	3/4	NONCLOSE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.
