source_id	candidate_ids	source_level	bibliographic_reference	historical_object_date	locator	evidence_paraphrase	short_excerpt	url	limitation
S01	LATIN_COMMON;NOTARIAL_LEGAL;MERCHANT_ACCT	university palaeography tutorial	University of Zurich, Ad fontes, Abbreviations	high and late Middle Ages	sections Methods and Forms, web lines 456-480	Distinguishes syllabic shortening, suspension, contraction and special signs; nasal/r marks have contextual expansions; common marks form prefixes and suffixes; business writing uses coin, measure and weight signs.	"no uniform system of abbreviations"	https://www.adfontes.uzh.ch/en/tutorium/schriften-lesen/abkuerzungen	Modern synthesis; explicitly warns of regional and scribal variation.
S02	LATIN_COMMON	peer-reviewed manuscript case study	Joanna Grzybowska, The use of abbreviations by superscript letter in an early fifteenth-century manuscript of the Wycliffite Bible, Linguistics Beyond And Within 4 (2018), 51-62, DOI 10.31743/lingbaw.5665	Dresd.Od.83, ca. 1400	pp. 52-53, 56-61	A period manuscript has context-sensitive truncation/contraction signs; four superscript letters encode seven sequences; one mark is word-final only; the study separates whole-word abbreviations from sequence abbreviations.	"four different superscript letters ... seven different sequences of letters"	https://doi.org/10.31743/lingbaw.5665	One English biblical manuscript, not a technical or cipher corpus.
S03	NOTARIAL_LEGAL	university terminological reference	Universitat de Barcelona, UBTERM, notae iuris	late-medieval use of an older legal tradition	definition and note	Legal technical abbreviations combine simple/syllabic suspension, contraction, Tironian-derived signs and conventional signs; examples distinguish cum, post, beneficio, omnia, per and pro.	"simple and syllabic suspension ... contraction"	https://www.ub.edu/ubterm/terme/notae-iuris/	Defines the tradition broadly and does not quantify a late-medieval local inventory.
S04	MEDICAL_RECIPE	peer-reviewed corpus study	Isabel De la Cruz-Cabanillas and Irene Diego-Rodríguez, Abbreviations in Medieval Medical Manuscripts, SELIM 23 (2019), 163-183	medical writing from late 14th through 15th century	pp. 169-180, especially 169-170, 173-180	Contraction is common; bars add nasal/final material; brevigraphs encode per/par/pre/pro, r-clusters and s-endings; medical-only signs cover Recipe, ana and multiple weights/measures.	"per, par, pre or pro ... -er/-re, -ir/-ri, and -ur"	https://reunido.uniovi.es/index.php/SELIM/article/view/13301	Most analyzed witnesses are fifteenth-century and several postdate 1450.
S05	GREEK_TACHY	peer-reviewed study of a dated manuscript	T. W. Allen, Fourteenth-Century Tachygraphy, Journal of Hellenic Studies 11 (1890), 286-293, DOI 10.2307/623435	Vatican Regina 181, 1364	article extract and p. 290 note 1	A dated medical manuscript switches from ordinary script into shorthand, contains continuous shorthand passages and ends with a formal table of signs and interpretations; listed interpretations include syllables/short words.	"a formal table of tachygraphical and other signs, with their interpretations"	https://doi.org/10.2307/623435	Old but primary-manuscript-based study; accessible extract is insufficient for exact capacity.
S06	DIPLOMATIC_NOM	archival historical-cryptology study	Ekaterina Domnina, Nicodemo Tranchedini's Diplomatic Cipher: New Evidence, HistoCrypt 2018, pp. 3-7	ciphertext attributed to 1440s; parallel deciphering 11 March 1454	pp. 4-5	Reports an early mixed nomenclator as 81 signs divided into 36 letters, 4 doubles, 1 null, 30 syllables and 11 words; later key has 253 signs divided 55/12/8/65/113; values evolved.	"81 signs: 36 for letters, 4 for double letters, 1 for nulls"	https://ep.liu.se/ecp/149/007/ecp18149007.pdf	The early category counts arithmetically total 82, not the claimed 81; 1454 is just outside the strict window and the inventory is incomplete.
S07	ALCHEMY_LATIN	peer-reviewed historical survey	Barbara Obrist, Visualization in Medieval Alchemy, HYLE 9.2 (2003), 131-170	Latin-Western evidence 12th-15th century	pp. 134-136	Greek alchemy used symbolic signs, but in the Latin West they remained sporadic; early-fifteenth-century examples mix planetary, magical, dot/circle and alphabetic signs; local vocabularies and secrecy prevailed.	"remained sporadic in the Latin West"	https://hyle.org/journal/issues/9-2/obrist.pdf	Survey addresses visualization broadly, not a statistical sign inventory.
S08	ALCHEMY_LATIN	primary digitized manuscript catalogue	Science History Institute, Alchemical Miscellany, MS 2	ca. 1450-1475, Northern Italy	catalogue description and 188 manuscript images	A heavily used Latin/Italian practical and theoretical alchemical miscellany contains recipes for mercury/alcohol and instrument drawings, confirming mixed prose, recipe and image practice near the boundary date.	"practical and theoretical alchemical texts"	https://digital.sciencehistory.org/works/3arao9u	Likely starts at or after 1450; it does not itself establish a compositional sign grammar.
S09	MENSURAL	peer-reviewed musicological study	Anna Maria Busse Berger, Notation mensuraliste et autres systèmes de mesure au XIVe siècle, Médiévales 32 (1997), 31-45, DOI 10.3406/medi.1997.1379	early 14th-century system	pp. 31-33	Five duration values are decomposed in two or three parts under signs placed at the beginning of pieces; rhythmic value is a function of symbol and mensural context.	"décomposée chacune des cinq différentes durées de notes"	https://www.persee.fr/doc/medi_0751-2708_1997_num_16_32_1379	Nonlinguistic output makes this a formal-control system only.
S10	MENSURAL	university music-notation tutorial	University of Basel, Ligatures as rhythmic figures	developed after 1250 and continued into later medieval notation	sections 4.6, lines 21-32	Ligature shape, initial stem, relative position and neighboring context jointly determine sequences of long, breve and semibreve values.	"read in the context of the neighbouring notes"	https://tales.nmc.unibas.ch/de/from-ink-to-sound-32/early-mensural-notation-190/ligatures-as-rhythmic-figures-the-pre-franconian-ligatures-969	Core examples are thirteenth-century antecedents, not a 1350-1450 linguistic code.
