record_unit_id	page	assigned_hand	event_count	statement_count	surface_stream	atomic_stream	identity_value_slot_boundary_preserved
H1	f10r	HAND_A_BARE	14	2	dchey cthoor dar chty os chair otytchol oky aiin etyd okchy qotchol ol cthy	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest → Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	YES
H2	f10r	HAND_A_BARE	24	3	ycheor cthy or cthaiin qoctholy y y aiin y otchor or otol ol olor ol aiin dar oykchor or or y kaiiin y chodaiin	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten → Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle → Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	YES
H3	f11r	HAND_B_Q_OPERATIONAL	17	4	tshol schoal cfhy shfydaiin cphy shey tchody shoyty dchol y kchy y aiin qotchy okchol cthy y	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss → Zutatfolgeteil → Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß → Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	YES
H4	f55v	HAND_C_S_ENTRY	18	4	okaiin saiin ykain ykan ody saiin chdy talam ykaiin cheoar cheeky oldy saiin okal oltchy sor sy orain	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss → Sollmaß → Umsetzen → Verwahren → Postensollmaß → Auszugnahme → Langwärme → Fortschluss → Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	YES
H5	f56r	HAND_D_EXPANDED	27	6	chochor cho chodaly chaiin cho kchol qotchor choky cheal schol choy choky cheeckhody sh cho kchey qokokchy chokchy chokcheo kchal cho chokchy kchoar sotodan otchey keol chaiin	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle → Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss → Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz → Einsetzen → Auszugzugabe → Zielbindung → Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen → Folgeposten → Kurzbindefortsetzung → Sollmaß	YES
B1	f81v	HAND_A_BARE	66	21	qokedy okaiin kair okal dar ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin chckhy dchedy ol sshkchdy chdy ol tedy olchedy okain chckhy dl ral qokchdy y ol cheky ol tedy qokedy qokedy chckhy oky lsho okey lshedy lshedy chdy qolky lchedal ol otar ytey okchedy okal okeey ol tedy al teol dchdy ly dsheol oiiin olkeedy tedy cheky shckhedy al	Kurzkontakt → Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen → Fortsetzung → Umsetzschluss → Umsetzen → Fortsetzung → Kurzabsetzung → weiterführen → Zugabe → durchleiten → Zusatz → Zielmarke → Neueinsatz → Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung → Kurzkontakt → Kurzkontakt → durchleiten → Einsetzen → Waschgang → Kurzkontakt → Waschgang → Waschgang → Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle → Kurzteil → Rücktransfer → Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung → Stelle → Kurzfortgang → Transfer → Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung → Kurzabsetzung → Kurzwärme → durchlassen → Stelle	YES
B2	f82r	HAND_B_Q_OPERATIONAL	62	22	dchedy qolchedy qokain y qokeedy qokal lcheckhy lched qokeey lcheckhedy qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy oteey qokal sheckhy qoky dshedy otaiin qokar tedy solshedy qokeey qoky ls shey qokain dar qokain qokeedy lchy shey qcthey qokeey lcheey aiin y qokeeedy lchedy lar tshey qokeedy al lchedar ches aiin oteey qokaiin qokey pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	überführen → weiterführen → Zugabe → Diesposten → Langkontakt → Zieleinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug → Zieleinsatz → Sollsammlung → durchleiten → Sollstellung → Sollstellung → Folgevorbereitung → Langwärmen → abziehen → Langfolge → Zieleinsatz → Kurzpassage → Einsetzen → Vorabsetzschluss → Folgemaß → Quelleinsatz → Kurzabsetzung → Folgeabsetzen → Langkontakt → Einsetzen → Auslass → Klarauszug → Zugabe → Quelle → Zugabe → Langkontakt → Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz → abführen → Quellabzug → Folgeklarlauf → Langkontakt → Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung → Zielkurzhalt → Zielschluss → Langkontakt → Absetzschluss → Langfolgestufe → Langkontakt → Abführung	YES
B3	f83r	HAND_D_EXPANDED	86	34	solkeedy qotal chkeedy chey chaiin chey lchedy qokaiin qotal char tchedy chedchy qokal qolchedy qokaiin chedy qokeedy lchedy choky pchedal otedy shecthedchy choky chedy chary chor cheedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo qokchedy qokeedy cheedy qokshedy cheal lchedy qokaiin checthy cheal chey chaiin shedal shecthy chey cheal checthy dalchdy qotchedy lchedy tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror solkeedy qoteedy qokeey qokedy cheol cheeety qokedy choky chaiin schedair qotchedy qokeedy chedain chedy qotedaiin sotaiin otedy ldy soiiin checthy chety sotaiin olsaly cheedy	Langsammlung → Folgeziel → Langwärmen → Diesposten → Sollmaß → Diesposten → abführen → Sollstellung → Folgeziel → Quelle → überführen → Postentransfer → Zieleinsatz → weiterführen → Sollstellung → Umsetzen → Langkontakt → abführen → Einsetzen → Zielzuführung → Kurzfolge → Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten → Ansatz → Kurzabsetzung → Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt → Laufeinsatz → Langabsetzen → abführen → Abzug → Rücktransfer → Langkontakt → Kurzabsetzung → Einsatzabsetzen → Stelle → abführen → Sollstellung → Bereit → Stelle → Diesposten → Sollmaß → Zielabsetzung → Kurzvorbereitung → Diesposten → Stelle → Bereit → Zieltransfer → Folgetransfer → abführen → überführen → Neueinsatz → Quelltransfer → Sollabsetzung → Umsetzen → Zugabe → Bereit → Zielbereitung → Langsammlung → Langfolgestufe → Langkontakt → Kurzkontakt → Fortsetzung → Vollteil → Kurzkontakt → Einsetzen → Sollmaß → Weiterlauf → Folgetransfer → Langkontakt → Anteilstransfer → Umsetzen → Kurzsoll → Folgemaß → Kurzfolge → abziehen → Arbeitsstufe → Bereit → Zerkleinern → Folgemaß → Zwischenziel → Kurzabsetzung	YES
B4	f83r	HAND_C_S_ENTRY	47	16	qokeedy qolchey okeey qokedy chdy otal otchey okeey oky sol shedy qokylddy dain chdy qokeedy shckhedy shckhedy saiin cheeky sheey qokedy shedy oldy saiin cheky okeeol okain chdy sol lkedy lchedy qokol shedy sor sy qockhey dairydy okain shey kain chckhal solkey lchedy olkain sal skar shedy	Langkontakt → Weiterposten → Langkontakt → Kurzkontakt → Umsetzen → Folgeziel → Folgeposten → Langkontakt → Einsetzen → Fortsetzung → Kurzabsetzung → befestigen → Einlage → Umsetzen → Langkontakt → durchlassen → durchlassen → Sollmaß → Langwärme → Langhalt → Kurzkontakt → Kurzabsetzung → Fortschluss → Sollmaß → Kurzwärme → Langfortsetzung → Zugabe → Umsetzen → Fortsetzung → Kurzabzugsschluss → abführen → Wiedereinsatz → Kurzabsetzung → Ansatz → Diesposten → Kurzdurchgang → Laufschluss → Zugabe → Klarauszug → Portion → Zielpassage → Kurzsammlung → abführen → Folgeportion → Stelle → Quellausguss → Kurzabsetzung	YES
B5	f83r	HAND_D_EXPANDED	11	3	otchdy qokchdy shedal cheal cheol lol chdal chaiin cheol daiiin chedy	Nachtransfer → Neueinsatz → Zielabsetzung → Stelle → Fortsetzung → Weiterabzug → Zieltransfer → Sollmaß → Fortsetzung → Endstufe → Umsetzen	YES
