edition	paragraph	target	form	meaning	row_status
ZL3b	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	erwärme erneut	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	kühle erneut	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	kühle erneut	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	erwärme erneut	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	erwärme erneut	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	erwärme erneut	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	kühle erneut	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	kühle erneut	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	erwärme erneut	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	erwärme erneut	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	erwärme erneut	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	kühle erneut	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	kühle erneut	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	erwärme erneut	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	erwärme erneut	recorded
