timing	chol	world	target	form	object	patient	axis	value	prior_index	prior_location	prior_kind	physical_value	evidence_status	row_status
O	D	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
I	D	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
O	H	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
I	H	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
O	D	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
I	D	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
O	H	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
I	H	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.20:3	thermal	warm	17	f17v.8:1	ACTION	hot	ASSUMED_EFFECT_APPLIED	recorded
O	D	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
O	D	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
I	D	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
I	D	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
O	H	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
O	H	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
I	H	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
I	H	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
O	D	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
O	D	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
I	D	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
I	D	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
O	H	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
O	H	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
I	H	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
I	H	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
O	D	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
O	D	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
I	D	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
I	D	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
O	H	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
O	H	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
I	H	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	7	f86v5.20:6	PROCESSED_NOMINAL	warm	INITIAL_CONSTRAINT	recorded
I	H	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	f86v5.22:1	thermal	warm	16	f86v5.22:1	PROCESSED_NOMINAL	warm	MATCH	recorded
O	D	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
I	D	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
O	H	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
I	H	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
O	D	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
I	D	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
O	H	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
I	H	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
O	D	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
I	D	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
O	H	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
I	H	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	f102v2.38:7	thermal	warm	32	f102v2.38:5	QUALITY	warm	INITIAL_CONSTRAINT	recorded
