edition	paragraph	locus	raw_line	row_status
ZL3b	f17v|f17v.1-f17v.23	f17v.1	pchodol chor pchy opydaiin odal dy	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.2	ycheey keeor cthodal okol odaiin okal	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.3	oldaig odaiin okal oldaiin chockhol olol	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.4	kchor fchol cphol olcheol ok[eee:eeee]y	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.5	ychol chol dolcheey tchol dar ckhy	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.6	oekor or okaiin or otaiin d	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.7	sor chkeey poiis cheor os s aiin	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.8	qokeey kchar ol dy choldaiin sy	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.9	ycheol shol kchol choltaiin ol	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.10	oytor okeor okar okol daiir a[r:m]	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.11	qokcheo qokoiir ctheol chol	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.12	oy choy keaiin chckhey ol chor	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.13	ykeor chol chol cthol chkor sheol	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.14	olo r okeeol chodaiin okeol tchory	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.15	ychor cthy che'eky cheo otor oteol	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.16	okcheol chol okeol cthol otcheolom	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.17	qoain [s:e']ar she dol qopchaiin cthor	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.18	otor cheeor ol chol dor chr or eees	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.19	dain chey qoaiin cthor cholchom	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.20	ykeey okeey cheor chol sho odaiin	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.21	oal sheor sholor or shecthy cpheor daiin	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.22	qokeee dar chey keeor cheeol ctheey cthy	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.23	chkeey okeor sh[a:o]r okeom	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.18	poldaiin shea teraiin otcho lkaiin os al ody qotar ytedy daiin	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.19	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
