timing	chol	world	target	form	object	patient	axis	value	later_index	later_kind	later_location	later_object	same_object	later_status	later_before	later_after	row_status
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	55	MATERIAL	f17v.20:3	f17v.7:4	False	SAME_FORM_REMENTION	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""hot""}"	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	56	ACTION	f17v.20:2	f17v.7:4	False	ASSUMED_EFFECT_APPLIED	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	57	ACTION	f17v.20:4	f17v.7:4	False	ASSUMED_EFFECT_APPLIED	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	58	MATERIAL	f17v.20:5	f17v.20:5	False	EXTERNAL_PORTION	{}	{}	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	59	MATERIAL	f17v.22:4	f17v.2:2	False	SAME_FORM_REMENTION	{}	{}	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	60	ACTION	f17v.22:3	f17v.2:2	False	NO_STATE_TRANSITION_MODELLED	{}	{}	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	61	MATERIAL	f17v.22:6	f17v.22:6	False	EXTERNAL_PORTION	{}	{}	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	62	MATERIAL	f17v.22:7	f17v.15:2	False	SAME_FORM_REMENTION	{}	{}	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	63	MATERIAL	f17v.23:2	f17v.10:2	False	SAME_FORM_REMENTION	"{""CONSTITUTION:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""warm""}"	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	64	BARE_NOMINAL	f17v.23:2	f17v.10:2	False	MATCH	"{""CONSTITUTION:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""warm""}"	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	65	ACTION	f17v.23:1	f17v.10:2	False	NO_STATE_TRANSITION_MODELLED	"{""CONSTITUTION:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""warm""}"	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	55	MATERIAL	f17v.20:3	f17v.7:4	False	SAME_FORM_REMENTION	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""hot""}"	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	56	ACTION	f17v.20:2	f17v.7:4	False	ASSUMED_EFFECT_APPLIED	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	57	ACTION	f17v.20:4	f17v.7:4	False	ASSUMED_EFFECT_APPLIED	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	58	MATERIAL	f17v.20:5	f17v.20:5	False	EXTERNAL_PORTION	{}	{}	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	59	MATERIAL	f17v.22:4	f17v.2:2	False	SAME_FORM_REMENTION	{}	{}	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	60	ACTION	f17v.22:3	f17v.2:2	False	NO_STATE_TRANSITION_MODELLED	{}	{}	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	61	MATERIAL	f17v.22:6	f17v.22:6	False	EXTERNAL_PORTION	{}	{}	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	62	MATERIAL	f17v.22:7	f17v.15:2	False	SAME_FORM_REMENTION	{}	{}	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	63	MATERIAL	f17v.23:2	f17v.10:2	False	SAME_FORM_REMENTION	"{""CONSTITUTION:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""warm""}"	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	64	BARE_NOMINAL	f17v.23:2	f17v.10:2	False	MATCH	"{""CONSTITUTION:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""warm""}"	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	65	ACTION	f17v.23:1	f17v.10:2	False	NO_STATE_TRANSITION_MODELLED	"{""CONSTITUTION:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""warm""}"	recorded
O	H	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	55	MATERIAL	f17v.20:3	f17v.7:4	False	SAME_FORM_REMENTION	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""hot""}"	recorded
O	H	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	56	ACTION	f17v.20:2	f17v.7:4	False	ASSUMED_EFFECT_APPLIED	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	recorded
O	H	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	57	ACTION	f17v.20:4	f17v.7:4	False	ASSUMED_EFFECT_APPLIED	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	recorded
