timing	chol	world	target	form	object	patient	axis	value	prior_index	prior_kind	prior_location	prior_form	prior_status	prior_assertion	prior_before	prior_after	prior_debts	row_status
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	45	MATERIAL	f17v.17:6	cthor	EXTERNAL_PORTION		{}	{}		recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	46	ACTION	f17v.17:3	she	NO_STATE_TRANSITION_MODELLED		{}	{}	UNREAD_BETWEEN:f17v.17:5	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	52	MATERIAL	f17v.19:4	cthor	SAME_FORM_REMENTION		{}	{}	SAME_FORM_IDENTITY_ASSUMED	recorded
O	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	53	ACTION	f17v.19:2	chey	NO_STATE_TRANSITION_MODELLED		{}	{}	UNREAD_BETWEEN:f17v.19:3	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	45	MATERIAL	f17v.17:6	cthor	EXTERNAL_PORTION		{}	{}		recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	46	ACTION	f17v.17:3	she	NO_STATE_TRANSITION_MODELLED		{}	{}	UNREAD_BETWEEN:f17v.17:5	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	52	MATERIAL	f17v.19:4	cthor	SAME_FORM_REMENTION		{}	{}	SAME_FORM_IDENTITY_ASSUMED	recorded
I	D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	53	ACTION	f17v.19:2	chey	NO_STATE_TRANSITION_MODELLED		{}	{}	UNREAD_BETWEEN:f17v.19:3	recorded
O	H	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	45	MATERIAL	f17v.17:6	cthor	EXTERNAL_PORTION		{}	{}		recorded
O	H	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	f17v.19:4	thermal	warm	46	ACTION	f17v.17:3	she	NO_STATE_TRANSITION_MODELLED		{}	{}	UNREAD_BETWEEN:f17v.17:5	recorded
