group_serial	page	locus	event_index	opaque_local_id	surface_display_only	canonical_namespace_id	local_image_owner	local_content_class	interface_role	instrument_reading_de	possible_condition_use_de	memory_atlas_rival_de	prose_dictionary_import	cross_section_pointer	orientation_or_rotation	f68_f69_key
1	f67r2	f67r2.1	1	A1:G001	ykshy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
2	f67r2	f67r2.1	2	A1:G002	s	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
3	f67r2	f67r2.1	3	A1:G003	aram	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
4	f67r2	f67r2.2	1	A1:G004	ykecho	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
5	f67r2	f67r2.2	2	A1:G005	ols	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
6	f67r2	f67r2.2	3	A1:G006	eesydy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
7	f67r2	f67r2.3	1	A1:G007	ey	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
8	f67r2	f67r2.3	2	A1:G008	shs	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
9	f67r2	f67r2.3	3	A1:G009	okar	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
10	f67r2	f67r2.4	1	A1:G010	shekchy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
11	f67r2	f67r2.4	2	A1:G011	sykos	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
12	f67r2	f67r2.5	1	A1:G012	ykeody	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
13	f67r2	f67r2.5	2	A1:G013	okchy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SELECTABLE_CELESTIAL_SLOT	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	NONE	NONE	NONE	NONE
