gdt461_label_id	source_event_id	physical_page	register	locus	owner_de	surface	content_class	prior_hybrid_status	revised_hybrid_status	prefix_stem	prefix_recipe	internal_occurrence_count	internal_stem_trace	suffix_stem	suffix_recipe	owner_family_stem_trace	known_function_character_count	remaining_learned_character_count	surface_character_count	known_function_fraction	ordered_function_recipe_trace	revised_short_default_de	strongest_rival	image_object_id	review_image_sha256
G461-L001	P1003-E0079	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	PICTURED_PLANT	FUNCTION_EDGE_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	ot	OT	0	NONE	NONE	NONE	NONE	2	5	7	0.285714	OT	DANACH · [PFLANZENNAME:eeeon]	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006106	eccb822a72a8c27045aefa4f19d558dba29ef046c1d8e3772c715a99ee7113b9
G461-L002	P1003-E0080	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	PICTURED_PLANT	WHOLE_LEARNED_LABEL	WHOLE_LEARNED_LABEL	NONE	NONE	0	NONE	NONE	NONE	NONE	0	4	4	0.000000	NONE	[PFLANZENNAME:oiil]	UNANALYZED_WHOLE_NOMENCLATOR_ENTRY	1006106	eccb822a72a8c27045aefa4f19d558dba29ef046c1d8e3772c715a99ee7113b9
G461-L003	P1003-E0596	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	arom	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	WHOLE_LEARNED_LABEL	NONE	NONE	0	NONE	NONE	NONE	NONE	0	4	4	0.000000	NONE	[STERNSTELLENNAME:arom]	UNANALYZED_WHOLE_NOMENCLATOR_ENTRY	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L004	P1003-E0597	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	chfaly	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	NONE	0	NONE	aly	AL+Y	NONE	3	3	6	0.500000	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L005	P1003-E0598	f71v	CELESTIAL	f71v.4	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	okolar	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	FULL_FUNCTION_FORMULA	ok	OK	1	2:ol=OL	ar	AR	NONE	6	0	6	1.000000	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	INTERNAL_RENDERER_COINCIDENCE	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L006	P1003-E0599	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	otchody	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	ot	OT	0	NONE	NONE	NONE	otch=STERNSTELLENFAMILIE	2	5	7	0.285714	OT	DANACH · [STERNSTELLENNAME:chody]	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L007	P1003-E0600	f71v	CELESTIAL	f71v.6	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	alcphy	STAR_BEARING_RING_POSITION	FULL_EDGE_FORMULA	FULL_FUNCTION_FORMULA	al	AL	0	NONE	cphy	CH+P+Y	NONE	6	0	6	1.000000	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L008	P1003-E0602	f71v	CELESTIAL	f71v.8	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	okaraiin	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	FULL_FUNCTION_FORMULA	ok	OK	1	2:ar=AR	aiin	AIIN	raii=STERNSTELLENFAMILIE|kar=STERNSTELLENFAMILIE|raiin=STERNSTELLENFAMILIE|kara=STERNSTELLENFAMILIE|okar=STERNSTELLENFAMILIE	8	0	8	1.000000	OK+AR+AIIN	SETZEN · AUSGANG · WERT	INTERNAL_RENDERER_COINCIDENCE	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L009	P1003-E0606	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalar	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	NONE	1	2:al=AL	ar	AR	ala=STERNSTELLENFAMILIE|pa=STERNSTELLENFAMILIE|alar=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE	4	2	6	0.666667	AL+AR	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	INTERNAL_RENDERER_COINCIDENCE	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G461-L010	P1003-E0609	f71v	CELESTIAL	f71v.11	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalor	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	NONE	0	NONE	alor	AL+OR	pa=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE	4	2	6	0.666667	AL+OR	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
