source_event_id	physical_page	surface	content_class	internal_stem_trace	new_owner_family_bridge	revised_hybrid_status	revised_short_default_de
P1003-E0080	f17r	oiil	PICTURED_PLANT	NONE	NONE	WHOLE_LEARNED_LABEL	[PFLANZENNAME:oiil]
P1003-E0596	f71v	arom	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:arom]
P1003-E0641	f71v	ofaom	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:ofaom]
P1008-E0128	f72r	chdaiirdainy	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:chdaiirdainy]
P1008-E0190	f72r	ofchdamy	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:ofchdamy]
P1008-E0353	f72r	osarsheeeo	STAR_BEARING_RING_POSITION	2:ar=AR|4:sh=SH	NONE	FUNCTION_SHELL_PLUS_LEARNED_CORE	[STERNSTELLENNAME:os] · AUSGANG · HALTEN · [STERNSTELLENNAME:eeeo]
P1008-E0356	f72r	opoiiinoin	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:opoiiinoin]
P1008-E0365	f72r	opoeey	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:opoeey]
P1008-E0415	f72r	of	STAR_BEARING_RING_POSITION	NONE	NONE	WHOLE_LEARNED_LABEL	[STERNSTELLENNAME:of]
P1008-E0453	f72r	yfary	STAR_BEARING_RING_POSITION	2:ar=AR	NONE	FUNCTION_SHELL_PLUS_LEARNED_CORE	[STERNSTELLENNAME:yf] · AUSGANG · [STERNSTELLENNAME:y]
P1008-E0457	f72r	octho	STAR_BEARING_RING_POSITION	1:cth=CH+T	NONE	FUNCTION_SHELL_PLUS_LEARNED_CORE	[STERNSTELLENNAME:o] · NEHMEN · EINSTELLEN · [STERNSTELLENNAME:o]
P1003-E0088	f77r	dotedy	BATH_OR_OUTLET_STATION	1:ot=OT	NONE	FUNCTION_SHELL_PLUS_LEARNED_CORE	[BADSTATIONSNAME:d] · DANACH · [BADSTATIONSNAME:edy]
P1003-E0417	f88v	arody	DRUG_OR_INGREDIENT_OBJECT	NONE	NONE	WHOLE_LEARNED_LABEL	[DROGENNAME:arody]
P1003-E0460	f88v	cheosdy	DRUG_OR_INGREDIENT_OBJECT	NONE	cheo=DROGENFAMILIE	OWNER_FAMILY_STEM_ONLY	cheo:DROGENFAMILIE · [DROGENNAME:cheosdy]
P1008-E1090	f89r	ykyd	DRUG_OR_INGREDIENT_OBJECT	NONE	NONE	WHOLE_LEARNED_LABEL	[DROGENNAME:ykyd]
P1008-E1175	f89r	ykocfhy	DRUG_OR_INGREDIENT_OBJECT	NONE	NONE	WHOLE_LEARNED_LABEL	[DROGENNAME:ykocfhy]
P1008-E1178	f89r	yddy	DRUG_OR_INGREDIENT_OBJECT	NONE	NONE	WHOLE_LEARNED_LABEL	[DROGENNAME:yddy]
P1008-E1296	f89r	korainy	DRUG_OR_INGREDIENT_OBJECT	NONE	NONE	WHOLE_LEARNED_LABEL	[DROGENNAME:korainy]
P1008-E1412	f89r	ytarem	DRUG_OR_INGREDIENT_OBJECT	2:ar=AR	NONE	FUNCTION_SHELL_PLUS_LEARNED_CORE	[DROGENNAME:yt] · AUSGANG · [DROGENNAME:em]
