internal_occurrence_id	source_event_id	physical_page	surface	prior_hybrid_status	internal_stem_id	internal_stem	component_recipe	literal_working_value_de	character_start_zero_based	character_end_exclusive	left_surface	right_surface	selection_rule
G461-O001	P1003-E0598	f71v	okolar	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I07	ol	OL	FORTSETZEN	2	4	ok	ar	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O002	P1003-E0602	f71v	okaraiin	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	2	4	ok	aiin	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O003	P1003-E0606	f71v	opalar	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I04	al	AL	ZIELORT	2	4	op	ar	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O004	P1003-E0646	f71v	sholshdy	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I07	ol	OL	FORTSETZEN	2	4	sh	shdy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O005	P1003-E0646	f71v	sholshdy	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I09	sh	SH	HALTEN	4	6	shol	dy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O006	P1008-E0127	f72r	oshodady	OWNER_FAMILY_STEM_ONLY	G461-I09	sh	SH	HALTEN	1	3	o	odady	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O007	P1008-E0132	f72r	okalam	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I04	al	AL	ZIELORT	2	4	ok	am	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O008	P1008-E0133	f72r	ytalshdy	OWNER_FAMILY_STEM_ONLY	G461-I04	al	AL	ZIELORT	2	4	yt	shdy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O009	P1008-E0133	f72r	ytalshdy	OWNER_FAMILY_STEM_ONLY	G461-I09	sh	SH	HALTEN	4	6	ytal	dy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O010	P1008-E0143	f72r	sharam	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	2	4	sh	am	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O011	P1008-E0171	f72r	ofaralar	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	2	4	of	alar	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O012	P1008-E0171	f72r	ofaralar	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I04	al	AL	ZIELORT	4	6	ofar	ar	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O013	P1008-E0191	f72r	oklairdy	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I01	air	AIR	BAHN	3	6	okl	dy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O014	P1008-E0192	f72r	okaram	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	2	4	ok	am	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O015	P1008-E0193	f72r	okairy	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I01	air	AIR	BAHN	2	5	ok	y	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O016	P1008-E0194	f72r	okealar	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I04	al	AL	ZIELORT	3	5	oke	ar	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O017	P1008-E0243	f72r	oteeary	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	4	6	otee	y	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O018	P1008-E0246	f72r	okaircham	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I01	air	AIR	BAHN	2	5	ok	cham	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O019	P1008-E0250	f72r	orary	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	2	4	or	y	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O020	P1008-E0280	f72r	ralal	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I04	al	AL	ZIELORT	1	3	r	al	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O021	P1008-E0287	f72r	okarcham	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I05	ar	AR	AUSGANG	2	4	ok	cham	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O022	P1008-E0350	f72r	olkalaiin	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I04	al	AL	ZIELORT	3	5	olk	aiin	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O023	P1008-E0353	f72r	osarsheeeo	WHOLE_LEARNED_LABEL	G461-I05	ar	AR	AUSGANG	2	4	os	sheeeo	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O024	P1008-E0353	f72r	osarsheeeo	WHOLE_LEARNED_LABEL	G461-I09	sh	SH	HALTEN	4	6	osar	eeeo	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O025	P1008-E0364	f72r	ofsholdy	OWNER_FAMILY_STEM_ONLY	G461-I09	sh	SH	HALTEN	2	4	of	oldy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O026	P1008-E0364	f72r	ofsholdy	OWNER_FAMILY_STEM_ONLY	G461-I07	ol	OL	FORTSETZEN	4	6	ofsh	dy	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O027	P1008-E0367	f72r	ykolairol	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I07	ol	OL	FORTSETZEN	2	4	yk	airol	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
G461-O028	P1008-E0367	f72r	ykolairol	FUNCTION_EDGE_PLUS_LEARNED_CORE	G461-I01	air	AIR	BAHN	4	7	ykol	ol	LONGEST_THEN_LEFTMOST_NONOVERLAPPING_INTERNAL_CHANNEL
