carrier	raw_complete	all28_stable_complete	core13	semantic_credit	component_export_credit	eody_raw_occurrences	eody_stable_occurrences	eody_stable_physical_folios	eol_raw_occurrences	eol_stable_occurrences	eol_stable_physical_folios	edy_raw_occurrences	edy_stable_occurrences	edy_stable_physical_folios	ol_raw_occurrences	ol_stable_occurrences	ol_stable_physical_folios	eligible_events	eody_eligible_events	eol_eligible_events	edy_eligible_events	ol_eligible_events
ach	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ade	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aiie	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
aiiin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
aiir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
al	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	6	0	0	0	0	0
alch	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	0	0	0	0
ale	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
alk	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
alke	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0
alt	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
apch	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	6	0	0	0	0	0
araiin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
arch	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arolke	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
arsh	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cfh	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	3	3	0	0	0	0	0
ch	1	1	1	0	0	69	54	34	142	118	64	470	296	61	343	303	116	528	47	79	207	195
chalke	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
chcfh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
chckh	0	0	0	0	0	2	2	2	0	0	0	9	6	6	4	2	2	0	0	0	0	0
chcph	0	0	0	0	0	0	0	0	0	0	0	4	2	2	1	1	1	0	0	0	0	0
chcth	0	0	0	0	0	0	0	0	0	0	0	6	5	5	1	0	0	0	0	0	0	0
chcthyk	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chd	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	0	0	0	0	0
chdykch	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
che	0	0	0	0	0	10	7	5	9	6	6	56	39	22	0	0	0	0	0	0	0	0
cheal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
checkh	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	0	0	0	0	0
checph	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
checth	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0
ched	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	0	0	0	0	0
chedalk	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
cheeo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
chefch	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chek	0	0	0	0	0	1	1	1	0	0	0	5	2	2	4	2	2	0	0	0	0	0
cheke	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	0	0	0	0
cheoarke	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
cheocth	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
cheodal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
cheodk	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cheok	0	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	0	0	0	0	0	0
cheolke	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0
cheor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
cheot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0
chep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
chepch	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0
chet	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0
cheyk	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
chfch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
chk	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	3	3	0	0	0	0	0
chkalar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chkalyk	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chkch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0
chke	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
chkor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
cho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
