row_type	carrier	surface_positive	surface_negative	events	positive_events	negative_events	physical_folios	score_channel	micro_auc	carrier_macro_auc	balanced_accuracy	balanced_log_loss	holdout	selection_credit	semantic_credit
CENSUS	cheol	cheol	NA	108	108	0	62	NA	NA	NA	NA	NA	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
CENSUS	otal	NA	otal	97	0	97	49	NA	NA	NA	NA	NA	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	TOPIC	0.668003054601	NA	0.600658648339	0.690128952993	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	TEMPLATE	0.594167621229	NA	0.552548682703	0.691567794012	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	FORM_REGIME	0.727281405116	NA	0.64743222604	0.690128784315	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	SLOT_HOLE	0.472890416189	NA	0.485538373425	0.693802044414	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	NUISANCE	0.734536082474	NA	0.651775486827	0.685564996272	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	AUGMENTED	0.708571974036	NA	0.631681939672	0.686213414616	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	UNION_NUISANCE	0.753054600993	NA	0.670580374189	0.689780267041	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	205	108	97	80	UNION_AUGMENTED	0.752481863307	NA	0.670580374189	0.689799852246	LEAVE_ONE_PHYSICAL_FOLIO_OUT	CALIBRATION_ONLY	0
