null_family	null_id	model_id	target_axis	carrier	section	language	hand	targetfree_line_length_bin	stratum_events	offset_mod_n	moved_labels	identity_labels	flipped_source_carriers
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	B	B	2	2	11	1	6	5	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	B	B	2	3	10	1	6	4	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	C	B	2	2	2	1	0	2	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	H	A	1	1	15	1	6	9	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	H	A	1	2	82	1	10	72	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	H	A	1	3	39	1	6	33	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	H	B	2	3	8	1	4	4	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	H	B	3	3	3	1	0	3	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	P	A	1	2	13	1	6	7	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	P	A	1	3	9	1	6	3	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	S	A	3	3	5	1	2	3	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	S	B	3	2	12	1	6	6	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	S	B	3	3	52	1	28	24	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	S	B	@	3	4	1	2	2	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	T	B	2	3	8	1	4	4	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	ch	T	B	5	2	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	B	B	2	2	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	H	A	1	1	11	1	2	9	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	H	A	1	2	26	1	2	24	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	H	A	1	3	6	1	0	6	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	P	A	1	2	3	1	2	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	P	A	1	3	4	1	2	2	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	cth	S	B	3	3	2	1	0	2	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	B	B	2	2	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	B	B	2	3	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	H	A	1	1	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	H	A	1	2	13	1	6	7	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	H	A	1	3	8	1	4	4	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	H	B	2	3	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	H	B	3	3	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	S	A	3	3	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	S	B	3	2	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	S	B	3	3	5	1	2	3	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	k	T	B	5	3	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	kch	B	B	2	3	1	0	0	1	NA
C01_TARGET_LABEL_ROTATION	K01	M01_L_TO_L	L	kch	H	A	1	1	2	1	0	2	NA
