row_type	model_id	score_channel	carrier	section	language	hand	targetfree_line_length_bin	events	positive_events	negative_events	comparable_pairs	concordance	pooled_pair_concordance_audit
SUMMARY	M01_L_TO_L	NUISANCE	ALL	ALL	ALL	ALL	ALL	914	273	641	2607	0.602787799665	0.584196394323
CARRIER	M01_L_TO_L	NUISANCE	ch	ALL	ALL	ALL	ALL	274	79	195	1522	0.564388961892	0.564388961892
CARRIER	M01_L_TO_L	NUISANCE	cth	ALL	ALL	ALL	ALL	53	6	47	41	0.609756097561	0.609756097561
CARRIER	M01_L_TO_L	NUISANCE	k	ALL	ALL	ALL	ALL	34	15	19	59	0.796610169492	0.796610169492
CARRIER	M01_L_TO_L	NUISANCE	kch	ALL	ALL	ALL	ALL	23	4	19	16	0.625	0.625
CARRIER	M01_L_TO_L	NUISANCE	ok	ALL	ALL	ALL	ALL	75	30	45	174	0.591954022989	0.591954022989
CARRIER	M01_L_TO_L	NUISANCE	ot	ALL	ALL	ALL	ALL	72	21	51	138	0.557971014493	0.557971014493
CARRIER	M01_L_TO_L	NUISANCE	pch	ALL	ALL	ALL	ALL	15	10	5	4	0.5	0.5
CARRIER	M01_L_TO_L	NUISANCE	qok	ALL	ALL	ALL	ALL	97	30	67	159	0.584905660377	0.584905660377
CARRIER	M01_L_TO_L	NUISANCE	qot	ALL	ALL	ALL	ALL	40	8	32	21	0.380952380952	0.380952380952
CARRIER	M01_L_TO_L	NUISANCE	sh	ALL	ALL	ALL	ALL	164	50	114	421	0.624703087886	0.624703087886
CARRIER	M01_L_TO_L	NUISANCE	t	ALL	ALL	ALL	ALL	37	11	26	36	0.666666666667	0.666666666667
CARRIER	M01_L_TO_L	NUISANCE	tch	ALL	ALL	ALL	ALL	16	6	10	4	0.5	0.5
CARRIER	M01_L_TO_L	NUISANCE	yt	ALL	ALL	ALL	ALL	14	3	11	12	0.833333333333	0.833333333333
STRATUM	M01_L_TO_L	NUISANCE	ch	B	B	2	2	11	8	3	24	0.583333333333	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	B	B	2	3	10	7	3	21	0.380952380952	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	H	A	1	1	15	3	12	36	0.638888888889	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	H	A	1	2	82	7	75	525	0.638095238095	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	H	A	1	3	39	3	36	108	0.425925925926	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	H	B	2	3	8	3	5	15	0.466666666667	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	P	A	1	2	13	5	8	40	0.575	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	P	A	1	3	9	4	5	20	0.8	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	S	A	3	3	5	3	2	6	0.666666666667	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	S	B	3	2	12	6	6	36	0.75	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	S	B	3	3	52	25	27	675	0.517037037037	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	S	B	@	3	4	2	2	4	0.5	NA
STRATUM	M01_L_TO_L	NUISANCE	ch	T	B	2	3	8	2	6	12	0.416666666667	NA
STRATUM	M01_L_TO_L	NUISANCE	cth	H	A	1	1	11	1	10	10	1	NA
STRATUM	M01_L_TO_L	NUISANCE	cth	H	A	1	2	26	1	25	25	0.36	NA
STRATUM	M01_L_TO_L	NUISANCE	cth	P	A	1	2	3	2	1	2	1	NA
