model_id	population	source_axis	target_axis	held_carrier	held_physical_folio	train_events	train_positive_events	train_negative_events	train_carriers	train_physical_folios	test_events	test_positive_events	test_negative_events	carrier_excluded	physical_folio_excluded	topic_vocabulary	template_vocabulary	form_vocabulary	slot_vocabulary	union_nuisance_vocabulary	union_augmented_vocabulary	fold_scoreable
M01_L_TO_L	CORE13	L	L	ch	f100r	636	191	445	12	153	3	1	2	1	1	1098	286	221	179	1605	1784	1
M01_L_TO_L	CORE13	L	L	ch	f100v	636	191	445	12	153	2	0	2	1	1	1099	284	221	179	1604	1783	1
M01_L_TO_L	CORE13	L	L	ch	f102r	630	187	443	12	153	2	0	2	1	1	1090	285	221	177	1596	1773	1
M01_L_TO_L	CORE13	L	L	ch	f102v	632	187	445	12	153	4	4	0	1	1	1087	283	221	175	1591	1766	1
M01_L_TO_L	CORE13	L	L	ch	f103r	633	189	444	12	153	1	1	0	1	1	1098	283	221	176	1602	1778	1
M01_L_TO_L	CORE13	L	L	ch	f103v	637	194	443	12	153	1	0	1	1	1	1101	287	221	178	1609	1787	1
M01_L_TO_L	CORE13	L	L	ch	f104r	637	194	443	12	153	3	2	1	1	1	1096	284	220	178	1600	1778	1
M01_L_TO_L	CORE13	L	L	ch	f104v	632	192	440	12	153	5	3	2	1	1	1088	284	221	175	1593	1768	1
M01_L_TO_L	CORE13	L	L	ch	f105r	635	192	443	12	153	1	0	1	1	1	1098	283	220	178	1601	1779	1
M01_L_TO_L	CORE13	L	L	ch	f106r	634	191	443	12	153	3	2	1	1	1	1098	286	221	177	1605	1782	1
M01_L_TO_L	CORE13	L	L	ch	f106v	635	192	443	12	153	1	1	0	1	1	1095	284	221	178	1600	1778	1
M01_L_TO_L	CORE13	L	L	ch	f107r	634	189	445	12	153	2	0	2	1	1	1095	285	221	178	1601	1779	1
M01_L_TO_L	CORE13	L	L	ch	f107v	628	190	438	12	153	9	2	7	1	1	1095	280	221	174	1596	1770	1
M01_L_TO_L	CORE13	L	L	ch	f108r	633	190	443	12	153	2	1	1	1	1	1100	286	221	178	1607	1785	1
