row_type	carrier	surface_positive	surface_negative	events	positive_events	negative_events	physical_folios	score_channel	micro_auc	carrier_macro_auc	balanced_accuracy	balanced_log_loss	holdout	selection_credit	semantic_credit
CENSUS	ch	chkol	chtal	8	3	5	8	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	cho	chokol	chotal	7	3	4	7	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	d	dkol	dtal	2	1	1	2	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	l	lkol	ltal	5	2	3	5	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	o	okol	otal	140	44	96	73	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	ol	olkol	oltal	4	2	2	4	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	qo	qokol	qotal	118	69	49	62	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	qoe	NA	qoetal	1	0	1	1	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
CENSUS	y	ykol	ytal	21	9	12	17	NA	NA	NA	NA	NA	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	TOPIC	0.671780607588	0.784068897274	0.657655699944	0.653652371652	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	TEMPLATE	0.523686383589	0.433004612229	0.512136555261	0.707634720634	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	FORM_REGIME	0.759268112478	0.827473270956	0.691512017037	0.673865842224	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	SLOT_HOLE	0.531465948107	0.508450770343	0.516623929767	0.697849954074	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	NUISANCE	0.719761832326	0.753729000693	0.677604415663	0.650272438506	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	AUGMENTED	0.715415706897	0.678824445141	0.669803120518	0.654065705976	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	UNION_NUISANCE	0.738624016689	0.825696832758	0.666108913903	0.666961819279	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
SCORE	ALL	NA	NA	306	133	173	109	UNION_AUGMENTED	0.738537094181	0.825933496409	0.665239688817	0.6670291371	COMPONENT_AND_FOLIO_HELD	CALIBRATION_ONLY	0
