scope	item	count	expected	status	raw_parsed	outside_strict	strict_parsed	rank_stable	unique_forced_lcs	own_family_singleton	rank_stable_rate_strict_prefilter	accepted_paragraphs	accepted_focal_lines	strict_candidate_physical_folios
ALLOWLIST	selectors	179	179	PASS										
GUARDED_SOURCE	lines	4137	4137	PASS										
GUARDED_SOURCE	tokens	32339	32339	PASS										
STRICT	paragraphs	665	665	PASS										
STRICT	lines	3807	3807	PASS										
STRICT	tokens	31938	31938	PASS										
CORE13	eligible_events	1777	1777	PASS										
ALL28	eligible_events	2208	2208	PASS										
Q152	exact_surfaces	152	152	PASS										
ED1	additional_observed_surfaces	1007	NA	AUDIT										
CORE13	L_FILTER_FUNNEL	914	914	PASS	1335	7	1328	1169	1154	914	0.880271084337	398	781	164
CORE13	DY_FILTER_FUNNEL	863	863	PASS	1834	9	1825	1124	1063	863	0.615890410959	354	717	96
ALL28	L_FILTER_FUNNEL	1091	1091	PASS	1541	8	1533	1352	1337	1091	0.881930854534	427	895	165
ALL28	DY_FILTER_FUNNEL	1117	1117	PASS	2262	12	2250	1395	1331	1117	0.62	405	879	105
