population	deck_id	events	nonempty_events	empty_events	feature_types	global_two_carrier_two_folio_supported_types	mean_features_per_event	max_features_per_event	feature_value
CORE13	TOPIC	1777	1751	26	5367	1617	37.0298255487	211	BINARY_PRESENCE
CORE13	TEMPLATE	1777	1681	96	3651	839	4.07090602138	11	BINARY_PRESENCE
CORE13	FORM_REGIME	1777	1777	0	250	236	72	72	BINARY_PRESENCE
CORE13	SLOT_HOLE	1777	1689	88	4111	509	3.41755768149	7	BINARY_PRESENCE
CORE13	RAW_SLOT	1777	1763	14	5674	636	4.6167698368	7	BINARY_PRESENCE
CORE13	POSITION	1777	1777	0	17	17	4	4	BINARY_PRESENCE
CORE13	MASK_STATUS	1777	1777	0	23	23	6	6	BINARY_PRESENCE
ALL28	TOPIC	2208	2182	26	5654	1723	37.634057971	211	BINARY_PRESENCE
ALL28	TEMPLATE	2208	2091	117	4306	1028	4.07925724638	11	BINARY_PRESENCE
ALL28	FORM_REGIME	2208	2208	0	250	237	72	72	BINARY_PRESENCE
ALL28	SLOT_HOLE	2208	2091	117	4870	622	3.33106884058	7	BINARY_PRESENCE
ALL28	RAW_SLOT	2208	2185	23	6797	779	4.52989130435	7	BINARY_PRESENCE
ALL28	POSITION	2208	2208	0	17	17	4	4	BINARY_PRESENCE
ALL28	MASK_STATUS	2208	2208	0	23	23	6	6	BINARY_PRESENCE
