event_id	record_unit_id	locus	statement_id	surface	joint_tuple_id	previous_value_de	selected_value_de	selected_parse	decision
E003	H1	f10r.2	H1-S001	char	4d4559019a961b834aa1	dasselbe	von dort	AR	PROMOTE_COMPONENT
E005	H1	f10r.2	H1-S001	os	df1098831679a8ad1b39	Gefäß	Gefäß	OS	KEEP_WHOLE
E031	H2	f10r.8	H2-S002	dar	4d4559019a961b834aa1	dasselbe	von dort	AR	PROMOTE_COMPONENT
E041	H3	f11r.1	H3-S001	cfhy	bdad9f9ea8b80f141496	auswringen	auswringen	CFHY	KEEP_WHOLE
E044	H3	f11r.1	H3-S001	shey	b5df9126607030b95175	Klarauszug	Klarauszug	WHOLE[cheey|shey]	KEEP_WHOLE
E063	H4	f55v.5	H4-S002	talam	e026af581c99322fbd46	verwahren	verwahren	TALAM	KEEP_WHOLE
E105	B1	f81v.2	B1-S002	sar	4d4559019a961b834aa1	dasselbe	von dort	AR	PROMOTE_COMPONENT
E197	B2	f82r.7	B2-S010	cheey	b5df9126607030b95175	Klarauszug	Klarauszug	WHOLE[cheey|shey]	KEEP_WHOLE
E199	B2	f82r.19	B2-S011	char	4d4559019a961b834aa1	dasselbe	von dort	AR	PROMOTE_COMPONENT
E203	B2	f82r.23	B2-S012	cheey	b5df9126607030b95175	Klarauszug	Klarauszug	WHOLE[cheey|shey]	KEEP_WHOLE
E216	B2	f82r.26	B2-S016	ches	db729b598e89e11452e0	teilen	teilen	WHOLE[ches]	KEEP_WHOLE
E238	B3	f83r.3	B3-S004	dar	4d4559019a961b834aa1	dasselbe	von dort	AR	PROMOTE_COMPONENT
E327	B4	f83r.27	B4-S005	dain	53cd0637c6820ba5e91f	Tuch	Portion	AIN	PROMOTE_COMPONENT
E353	B4	f83r.39	B4-S015	shey	b5df9126607030b95175	Klarauszug	Klarauszug	WHOLE[cheey|shey]	KEEP_WHOLE
E367	B5	f83r.48	B5-S003	lol	8c97dfde96fbc78e3355	warm	weiterfuehren	L+OL	PROMOTE_COMPONENT
E371	B5	f83r.49	B5-S003	daiiin	fcc1deda9e24ec268eb0	zweite Stufe	zweite Stufe	WHOLE[daiiin]	KEEP_WHOLE
E374	B6	f83r.52	B6-S001	qekey	43eb9aa12959b4d5cdc9	roh	dies kurz zuführen	E+K+E+Y	PROMOTE_COMPONENT
E379	B6	f83r.54	B6-S001	dain	53cd0637c6820ba5e91f	Tuch	Portion	AIN	PROMOTE_COMPONENT
