statement_id	register	record_unit_id	page	owner_zones	events	event_ids	component_chain	literal_reading_de
H1-S001	HERBAL	H1	f10r	F10R_PICTURED_PLANT	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	CH+E+Y > CTH+O+OR > AR > T+Y > OS > CH+AIR > OT+Y+T+CH+OL > OK+Y > AIIN > E+T+Y	dies kurz abziehen; Ansatz bereit; von dort; dies fuellen; Gefäß; Wasser abziehen; danach dies fuellen und weiter abziehen; verwende dies; Mass; dies kurz fuellen.
H1-S002	HERBAL	H1	f10r	F10R_PICTURED_PLANT	4	E011|E012|E013|E014	OK+Y > OT+CH+OL > OL > CTH+Y	dies ansetzen; danach weiter abziehen; fortsetzen; bereit.
H2-S001	HERBAL	H2	f10r	F10R_PICTURED_PLANT	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	Y+CH+E+OR > CTH+Y > OR > CTH+AIIN > O+CTH+OL+Y > Y > Y > AIIN > Y	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; dies bereit weiterführen; dies; dies; Mass; dies.
H2-S002	HERBAL	H2	f10r	F10R_PICTURED_PLANT	8	E024|E025|E026|E027|E028|E029|E030|E031	OT+CH+OR > OR > OT+OL > OL > OL+OR > OL > AIIN > AR	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; von dort.
H2-S003	HERBAL	H2	f10r	F10R_PICTURED_PLANT	7	E032|E033|E034|E035|E036|E037|E038	O+Y+K+OR > OR > OR > Y > K+IIN > Y > CH+O+AIIN	dies dem Ansatz zuführen; Ansatz; Ansatz; dies; bis zur Sollstufe zuführen; dies; auf Maß abziehen.
H3-S001	HERBAL	H3	f11r	F11R_PICTURED_PLANT	7	E039|E040|E041|E042|E043|E044|E045	T+SH+OL > SH+O+AL > CFHY > SH+Y+AIIN > P+Y > WHOLE[cheey|shey] > T+CH+O+DY	weiter gefuellt halten; an der Stelle halten; auswringen; dies bis zum Maß halten; dies hineinführen; Klarauszug; fuellen und abziehen; Schluss.
H3-S002	HERBAL	H3	f11r	F11R_PICTURED_PLANT	1	E046	SH+O+Y+T+Y	dies halten und fuellen.
H3-S003	HERBAL	H3	f11r	F11R_PICTURED_PLANT	5	E047|E048|E049|E050|E051	OL > Y > K+Y > Y > AIIN	fortsetzen; dies; dies zuführen; dies; Mass.
H3-S004	HERBAL	H3	f11r	F11R_PICTURED_PLANT	4	E052|E053|E054|E055	OT+Y > OK+OL > CTH+Y > Y	nächster Posten; weiter ansetzen; bereit; dies.
H4-S001	HERBAL	H4	f55v	F55V_PICTURED_PLANT	5	E056|E057|E058|E059|E060	OK+AIIN > AIIN > Y+K+AIN > Y+K+AIN > O+DY	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.
