small_value_de	cards	joint_tuple_ids	surfaces	events
Ansatz umsetzen; Schluss	2	87411f84689b4f93a303|07913ef9b1fb773cd325	qokchdy || okchedy|qokchedy	5
danach umsetzen; Schluss	2	4de12cf322dfb76ded1e|601b77449028deed39de	otchedy|qotchedy || otchdy	3
dies kurz fuellen	2	a6939862e33ece5a0483|a7af89ab31ce5e247395	etyd || ytey	2
dies kurz zuführen	2	b74e9e65637b7c8538dd|43eb9aa12959b4d5cdc9	kchey || qekey	2
dies länger wärmen	2	2c1a5fd92b9e3c762242|f0db6d30cd34f4cb2a4d	cheeky || chkeey	3
dies umsetzen	2	6f7ff8287eddf4da9fdb|5e8441397e7c0faf042b	chdy|chedy || chedchy	12
eine Portion davon zuführen	2	403c1592f918c8f23b88|d929a14ec45749b2e805	ykain || ykan	2
fortsetzen	2	dcda95c81a5460feb191|d665560c8ff80799a82c	cheol|chol|ol|qol|sol|tol || dchol|schol	21
nächster Posten	2	a48efd6c4491a046ba78|faf321940aed922846a9	qotchy || otchey	3
umsetzen; Schluss	2	259b2b3b0bf859882e2c|d225b7a7b95da7aee437	dchedy|schedy|tchedy || dchdy	5
weiterfuehren	2	0f18de177ed7c878bf95|8c97dfde96fbc78e3355	dl || lol	3
