global_running_ordinal	global_running_event_id	source_layer	source_event_id	source_replay_event_id	physical_page	source_panel	register	locus	source_order	source_statement_id	owner_de	surface	component_recipe	literal_core_reading_de	surface_status	admission_color
1	G407-E0001	GDT404_RANDOM4_RUNNING	G404-E0001	G404-E0001	f1r	f1r	SOURCE_SECTION_T	f1r.1	1	G404-S001	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	HIER · HIER · NEHMEN · AKTIVER POSTEN · WÄHLEN	NEW_MICROFORM_OLD_FACTORS	AMBER
2	G407-E0002	GDT404_RANDOM4_RUNNING	G404-E0002	G404-E0002	f1r	f1r	SOURCE_SECTION_T	f1r.1	2	G404-S001	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	AKTIVER POSTEN · GEBEN · ZIELORT	NEW_VISIBLE_COMPOSITION	GREEN
3	G407-E0003	GDT404_RANDOM4_RUNNING	G404-E0003	G404-E0003	f1r	f1r	SOURCE_SECTION_T	f1r.1	3	G404-S001	F1R_TEXT_BLOCK_A	ar	AR	AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN
4	G407-E0004	GDT404_RANDOM4_RUNNING	G404-E0004	G404-E0004	f1r	f1r	SOURCE_SECTION_T	f1r.1	4	G404-S001	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	HIER · EINSTELLEN · WERT	NEW_VISIBLE_COMPOSITION	GREEN
5	G407-E0005	GDT404_RANDOM4_RUNNING	G404-E0005	G404-E0005	f1r	f1r	SOURCE_SECTION_T	f1r.1	5	G404-S001	F1R_TEXT_BLOCK_A	shol	SH+OL	HALTEN · FORTSETZEN	EXACT_SURFACE_ONE_RECIPE	GREEN
6	G407-E0006	GDT404_RANDOM4_RUNNING	G404-E0006	G404-E0006	f1r	f1r	SOURCE_SECTION_T	f1r.1	6	G404-S001	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	HALTEN · EINHEIT · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
7	G407-E0007	GDT404_RANDOM4_RUNNING	G404-E0007	G404-E0007	f1r	f1r	SOURCE_SECTION_T	f1r.1	7	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	NEW_MICROFORM_OLD_FACTORS	AMBER
8	G407-E0008	GDT404_RANDOM4_RUNNING	G404-E0008	G404-E0008	f1r	f1r	SOURCE_SECTION_T	f1r.1	8	G404-S001	F1R_TEXT_BLOCK_A	y	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
9	G407-E0009	GDT404_RANDOM4_RUNNING	G404-E0009	G404-E0009	f1r	f1r	SOURCE_SECTION_T	f1r.1	9	G404-S001	F1R_TEXT_BLOCK_A	kor	K+OR	GEBEN · EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN
10	G407-E0010	GDT404_RANDOM4_RUNNING	G404-E0010	G404-E0010	f1r	f1r	SOURCE_SECTION_T	f1r.1	10	G404-S001	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
11	G407-E0011	GDT404_RANDOM4_RUNNING	G404-E0011	G404-E0011	f1r	f1r	SOURCE_SECTION_T	f1r.2	11	G404-S001	F1R_TEXT_BLOCK_A	sory	S+OR+Y	WÄHLEN · EINHEIT · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
12	G407-E0012	GDT404_RANDOM4_RUNNING	G404-E0012	G404-E0012	f1r	f1r	SOURCE_SECTION_T	f1r.2	12	G404-S001	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	NEHMEN · GEBEN · AUSGANG	NEW_VISIBLE_COMPOSITION	GREEN
13	G407-E0013	GDT404_RANDOM4_RUNNING	G404-E0013	G404-E0013	f1r	f1r	SOURCE_SECTION_T	f1r.2	13	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN
14	G407-E0014	GDT404_RANDOM4_RUNNING	G404-E0014	G404-E0014	f1r	f1r	SOURCE_SECTION_T	f1r.2	14	G404-S001	F1R_TEXT_BLOCK_A	y	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
15	G407-E0015	GDT404_RANDOM4_RUNNING	G404-E0015	G404-E0015	f1r	f1r	SOURCE_SECTION_T	f1r.2	15	G404-S001	F1R_TEXT_BLOCK_A	kair	K+AIR	GEBEN · LAUF	EXACT_SURFACE_ONE_RECIPE	GREEN
16	G407-E0016	GDT404_RANDOM4_RUNNING	G404-E0016	G404-E0016	f1r	f1r	SOURCE_SECTION_T	f1r.2	16	G404-S001	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	NEHMEN · EINSTELLEN · WERT	NEW_VISIBLE_COMPOSITION	GREEN
17	G407-E0017	GDT404_RANDOM4_RUNNING	G404-E0017	G404-E0017	f1r	f1r	SOURCE_SECTION_T	f1r.2	17	G404-S001	F1R_TEXT_BLOCK_A	shar	SH+AR	HALTEN · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN
