global_attachment_ordinal	global_attachment_id	source_layer	source_factorized_id	source_attachment_id	physical_page	register	source_statement_id	global_statement_id	source_event_id	global_running_event_id	surface	focus_core	focus_value_de	focus_family	focus_atom_ordinal	selector_rule	attachment_geometry	selected_action_source_event_id	resolved_action_source_event_id	selected_action_global_event_id	selected_action_atom_ordinal	action_core	action_value_de	head_kind	r_topology	duplicate_mode	duplicate_role	lookahead_cards	owner_boundary_crossed	statement_boundary_crossed	factorized_result
1	G407-A00001	GDT404_FACTORIZED	G404-A00001	G404-A00001	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0001	G407-E0001	fachys	Y	AKTIVER POSTEN	ARGUMENT	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0001	G404-E0001	G407-E0001	3	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
2	G407-A00002	GDT404_FACTORIZED	G404-A00002	G404-A00002	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0002	G407-E0002	ykal	Y	AKTIVER POSTEN	ARGUMENT	1	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	G404-E0002	G404-E0002	G407-E0002	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
3	G407-A00003	GDT404_FACTORIZED	G404-A00003	G404-A00003	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0002	G407-E0002	ykal	AL	ZIELORT	RELATION	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0002	G404-E0002	G407-E0002	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
4	G407-A00004	GDT404_FACTORIZED	G404-A00004	G404-A00004	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0003	G407-E0003	ar	AR	AUSGANG	RELATION	1	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	G404-E0002	G404-E0002	G407-E0002	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
5	G407-A00005	GDT404_FACTORIZED	G404-A00005	G404-A00005	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0004	G407-E0004	ataiin	AIIN	WERT	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0004	G404-E0004	G407-E0004	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
6	G407-A00006	GDT404_FACTORIZED	G404-A00006	G404-A00006	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0006	G407-E0006	shory	OR	EINHEIT	ARGUMENT	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0006	G404-E0006	G407-E0006	1	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
7	G407-A00007	GDT404_FACTORIZED	G404-A00007	G404-A00007	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0006	G407-E0006	shory	Y	AKTIVER POSTEN	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0006	G404-E0006	G407-E0006	1	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
8	G407-A00008	GDT404_FACTORIZED	G404-A00008	G404-A00008	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0007	G407-E0007	cthres	E	GRAD I	GRADE	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0007	G404-E0007	G407-E0007	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	R_POSITIONAL_TAIL	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
9	G407-A00009	GDT404_FACTORIZED	G404-A00009	G404-A00009	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0008	G407-E0008	y	Y	AKTIVER POSTEN	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0007	G404-E0007	G407-E0007	5	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
10	G407-A00010	GDT404_FACTORIZED	G404-A00010	G404-A00010	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0009	G407-E0009	kor	OR	EINHEIT	ARGUMENT	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0009	G404-E0009	G407-E0009	1	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
11	G407-A00011	GDT404_FACTORIZED	G404-A00011	G404-A00011	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0010	G407-E0010	sholdy	Y	AKTIVER POSTEN	ARGUMENT	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0010	G404-E0010	G407-E0010	1	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
12	G407-A00012	GDT404_FACTORIZED	G404-A00012	G404-A00012	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0011	G407-E0011	sory	OR	EINHEIT	ARGUMENT	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0011	G404-E0011	G407-E0011	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
13	G407-A00013	GDT404_FACTORIZED	G404-A00013	G404-A00013	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0011	G407-E0011	sory	Y	AKTIVER POSTEN	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0011	G404-E0011	G407-E0011	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
14	G407-A00014	GDT404_FACTORIZED	G404-A00014	G404-A00014	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0012	G407-E0012	ckhar	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0012	G404-E0012	G407-E0012	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
15	G407-A00015	GDT404_FACTORIZED	G404-A00015	G404-A00015	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0013	G407-E0013	or	OR	EINHEIT	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0012	G404-E0012	G407-E0012	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
16	G407-A00016	GDT404_FACTORIZED	G404-A00016	G404-A00016	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0014	G407-E0014	y	Y	AKTIVER POSTEN	ARGUMENT	1	INHERITED_ACTION_STACK	INHERITED_ACTION	G404-E0012	G404-E0012	G407-E0012	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
17	G407-A00017	GDT404_FACTORIZED	G404-A00017	G404-A00017	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0015	G407-E0015	kair	AIR	LAUF	RELATION	2	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0015	G404-E0015	G407-E0015	1	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
18	G407-A00018	GDT404_FACTORIZED	G404-A00018	G404-A00018	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0016	G407-E0016	chtaiin	AIIN	WERT	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0016	G404-E0016	G407-E0016	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
19	G407-A00019	GDT404_FACTORIZED	G404-A00019	G404-A00019	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0017	G407-E0017	shar	AR	AUSGANG	RELATION	2	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0017	G404-E0017	G407-E0017	1	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
