common_occurrence_serial	register	page	source_group_id	reading_unit_id	visible_owner	visible_surface	family_id	common_nucleus_de	register_expansion_de	selected_path_echo
C001	PROSE	f10r	E003	H1-S001	NOT_REQUIRED	char	F02_AR_SOURCE	VOM AUSGANG	aus dem Ansatz	NO
C002	PROSE	f10r	E005	H1-S001	NOT_REQUIRED	os	F17_OS_ENCLOSURE	UMSCHLIESSENDER TRÄGER	Mischgefäß	NO
C003	PROSE	f10r	E008	H1-S001	NOT_REQUIRED	oky	F07_OK_CURRENT_SET	AKTUELLEN POSTEN SETZEN	aktuellen Posten ansetzen	NO
C004	PROSE	f10r	E009	H1-S001	NOT_REQUIRED	daiin	F01_AIIN_VALUE	VORGABEWERT	Sollmaß	NO
C005	PROSE	f10r	E013	H1-S002	NOT_REQUIRED	chol	F08_OL_CONTINUE	FORTSETZEN	fortsetzen	NO
C006	PROSE	f10r	E020	H2-S001	NOT_REQUIRED	dy	F04_Y_CURRENT	AKTUELLER POSTEN	dieser Posten	YES
C007	PROSE	f10r	E021	H2-S001	NOT_REQUIRED	chy	F04_Y_CURRENT	AKTUELLER POSTEN	dieser Posten	NO
C008	PROSE	f10r	E026	H2-S002	NOT_REQUIRED	otol	F18_OT_FOLLOW	DANACH FORTSETZEN	danach fortsetzen	NO
C009	PROSE	f10r	E027	H2-S002	NOT_REQUIRED	chol	F08_OL_CONTINUE	FORTSETZEN	fortsetzen	NO
C010	PROSE	f10r	E029	H2-S002	NOT_REQUIRED	chol	F08_OL_CONTINUE	FORTSETZEN	fortsetzen	NO
C011	PROSE	f10r	E030	H2-S002	NOT_REQUIRED	daiin	F01_AIIN_VALUE	VORGABEWERT	Sollmaß	NO
C012	PROSE	f10r	E031	H2-S002	NOT_REQUIRED	dar	F02_AR_SOURCE	VOM AUSGANG	aus dem Ansatz	NO
C013	PROSE	f10r	E035	H2-S003	NOT_REQUIRED	chy	F04_Y_CURRENT	AKTUELLER POSTEN	dieser Posten	NO
