visible_surface	prose_master_card_id	family_id	family_name_de	common_nucleus_de	composition_de	prose_local_expansion_de	astro_local_expansions_de	prose_occurrence_count	astro_occurrence_count	astro_owner_count	fit_type	selected_path_echo	teaching_rule_de
aiin	MC039	F01_AIIN_VALUE	Vorgabewert	VORGABEWERT	AIIN mit Karten-/Rendererrahmen	Sollmaß	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_44: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_49: Sollwert oder Grad des bezeichneten Himmelsplatzes. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Sollwert oder Grad des bezeichneten Himmelsplatzes.	3	6	6	DIRECT_SHARED_OPERATION	YES	aiin heißt kurz VORGABEWERT; Besitzer und Register nennen den konkreten Gegenstand
char	MC055	F02_AR_SOURCE	vom Ausgang	VOM AUSGANG	AR mit Karten-/Rendererrahmen	aus dem Ansatz	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.	2	1	1	DIRECT_SHARED_OPERATION	NO	char heißt kurz VOM AUSGANG; Besitzer und Register nennen den konkreten Gegenstand
chdy	MC074	F09_CHD_TRANSFER	aktuellen Posten übertragen	AKTUELLEN POSTEN ÜBERTRAGEN	CHD-Transfer + aktuelle Y-Karte	laufenden Posten umsetzen	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: auf den bezeichneten Diagrammplatz uebertragen.	1	1	1	DIRECT_SHARED_OPERATION	NO	chdy heißt kurz AKTUELLEN POSTEN ÜBERTRAGEN; Besitzer und Register nennen den konkreten Gegenstand
cheal	MC154	F03_AL_TARGET	zum Ziel	ZUM ZIEL	AL mit Karten-/Rendererrahmen	dorthin	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.	1	1	1	DIRECT_SHARED_OPERATION	NO	cheal heißt kurz ZUM ZIEL; Besitzer und Register nennen den konkreten Gegenstand
cheey	MC119	F05_RELEASED_VALUE	freigegebener Wert	FREIGEGEBENER WERT	gelernte SHEY/CHEEY-Karte	klarer Auszug	Sternplatz A2_MIDDLE_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: abgelesener oder freigegebener Diagrammwert.	2	2	2	WORKSHOP_REGISTER_METAPHOR	YES	cheey heißt kurz FREIGEGEBENER WERT; Besitzer und Register nennen den konkreten Gegenstand
chey	MC123	F04_Y_CURRENT	aktueller Posten	AKTUELLER POSTEN	Y-Karte mit Karten-/Rendererrahmen	dieser Posten	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	7	4	3	DIRECT_SHARED_OPERATION	NO	chey heißt kurz AKTUELLER POSTEN; Besitzer und Register nennen den konkreten Gegenstand
cho	MC034	F06_HO_INPUT	Eingangsposten	EINGANGSPOSTEN	HO-Eingangskarte	Zutat	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Eingangsobjekt oder Eingangsbedingung.	2	2	2	DIRECT_SHARED_OPERATION	YES	cho heißt kurz EINGANGSPOSTEN; Besitzer und Register nennen den konkreten Gegenstand
choky	MC026	F07_OK_CURRENT_SET	aktuellen Posten setzen	AKTUELLEN POSTEN SETZEN	OK + aktuelle Y-Karte	aktuellen Posten ansetzen	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten setzen.	2	1	1	DIRECT_SHARED_OPERATION	NO	choky heißt kurz AKTUELLEN POSTEN SETZEN; Besitzer und Register nennen den konkreten Gegenstand
chol	MC153	F08_OL_CONTINUE	fortsetzen	FORTSETZEN	OL-Fortsetzung mit Rahmen	fortsetzen	Radstelle A3_LEFT_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen. || Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.	3	4	3	DIRECT_SHARED_OPERATION	NO	chol heißt kurz FORTSETZEN; Besitzer und Register nennen den konkreten Gegenstand
chy	MC123	F04_Y_CURRENT	aktueller Posten	AKTUELLER POSTEN	Y-Karte mit Karten-/Rendererrahmen	dieser Posten	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	3	2	2	DIRECT_SHARED_OPERATION	NO	chy heißt kurz AKTUELLER POSTEN; Besitzer und Register nennen den konkreten Gegenstand
