family_id	family_name_de	member_count	visible_members	composition_rule_de	shared_operation_de	prose_expansion_de	astro_expansion_de	apprentice_rule_de
F01_AIIN_VALUE	Vorgabewert	3	aiin;daiin;saiin	AIIN mit Karten-/Rendererrahmen	VORGABEWERT	Maß oder Sollwert	Grad oder Sollwert	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F02_AR_SOURCE	vom Ausgang	3	char;dar;sar	AR mit Karten-/Rendererrahmen	VOM AUSGANG	aus dem aktiven Ansatz	vom bezeichneten Ausgang	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F03_AL_TARGET	zum Ziel	3	cheal;dal;sal	AL mit Karten-/Rendererrahmen	ZUM ZIEL	dorthin	zum bezeichneten Zielplatz	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F04_Y_CURRENT	aktueller Posten	5	chey;chy;dy;sy;y	Y-Karte mit Karten-/Rendererrahmen	AKTUELLER POSTEN	dieses Material oder dieser Arbeitsposten	dieser lokale Diagrammposten	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F05_RELEASED_VALUE	freigegebener Wert	2	cheey;shey	gelernte SHEY/CHEEY-Karte	FREIGEGEBENER WERT	klarer oder ausgelesener Auszug	abgelesener oder freigegebener Wert	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F06_HO_INPUT	Eingangsposten	1	cho	HO-Eingangskarte	EINGANGSPOSTEN	Zutat	Eingangsobjekt oder Eingangsbedingung	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F07_OK_CURRENT_SET	aktuellen Posten setzen	3	choky;okchy;oky	OK + aktuelle Y-Karte	AKTUELLEN POSTEN SETZEN	Materialposten ansetzen	Diagrammposten setzen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F08_OL_CONTINUE	fortsetzen	3	chol;ol;tol	OL-Fortsetzung mit Rahmen	FORTSETZEN	Arbeitsgang fortsetzen	im selben Ring oder Band fortsetzen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F09_CHD_TRANSFER	aktuellen Posten übertragen	1	chdy	CHD-Transfer + aktuelle Y-Karte	AKTUELLEN POSTEN ÜBERTRAGEN	laufenden Stoffposten umsetzen	auf den bezeichneten Diagrammplatz übertragen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F10_DAIN_CARRIER	Abdeckträger	1	dain	gelernte DAIN-Karte	ABDECKTRÄGER	Tuch	Band-, Schleier- oder Abdeckträger	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F11_KCH_PROCESS	bearbeiten	2	kchey;kchy	KCH-Bearbeitung + optional Kurzgrad	BEARBEITEN	Material bearbeiten	Diagrammplatz bearbeiten	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F12_ODY_WITHDRAW	zurücknehmen	1	ody	gelernte ODY-Karte	ZURÜCKNEHMEN	zum Abkühlen aus dem Arbeitsgang nehmen	Diagrammposten zurücknehmen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F13_OK_AIN_ADD	gezählten Teil zugeben	1	okain	OK + AIN-Portion	GEZÄHLTEN TEIL ZUGEBEN	eine Portion zugeben	einen gezählten Teilwert zugeben	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F14_OK_AL_TARGET	am Ziel setzen	1	okal	OK + AL-Ziel	AM ZIEL SETZEN	dort ansetzen	am Zielplatz setzen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F15_OK_GRADE	Arbeitsgrad setzen	3	okeey;okey;qokeeedy	OK + E/EE/EEE-Grad + offene oder geschlossene Endkarte	ARBEITSGRAD SETZEN	kurz, länger oder vollständig ansetzen	kurze, lange oder vollständige Diagrammstufe setzen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F16_OR_SET	Ansatz oder Satz	3	olor;or;sor	OR-Ansatz, optional mit OL-Fortsetzung	ANSATZ ODER SATZ	Zubereitungsansatz	Bedingungs- oder Tabellensatz	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F17_OS_ENCLOSURE	umschließender Träger	1	os	gelernte OS-Karte	UMSCHLIESSENDER TRÄGER	Mischgefäß	umschließendes Diagrammfeld	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F18_OT_FOLLOW	Folgeposten	5	otar;otchdy;otchey;oteey;otol	OT-Folge + Quelle, Transfer, Posten, Grad oder Fortsetzung	FOLGEPOSTEN	nächster Arbeitsposten oder Folgegang	nächster Platz oder folgende Diagrammhandlung	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F19_OL_CLOSE	Fortsetzung schließen	1	oldy	OL-Fortsetzung + gelernte Schlusskarte	FORTSETZUNG SCHLIESSEN	Arbeitsfortsetzung abschließen	Eintrag nach Fortsetzung schließen	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
F20_SH_EE_HOLD	länger halten	1	sheey	SH-Halten/Ruhen + langer EE-Grad + aktuelle Karte	LÄNGER HALTEN	länger ruhen lassen	diese Position länger halten	zuerst gemeinsamen Kern lesen, dann Besitzer einsetzen
