condition_handle	page	locus	event_index	opaque_local_id	surface	component_parse	old_generic_reading_de	speakable_condition_word_de	workshop_scope	portable_workshop_reading_de	reading_source	local_expansion_de
C1@f67r2.1	f67r2	f67r2.1	1	A1:G001	ykshy	Y+K+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	PHASENPOSTEN EINTRAGEN	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · POSTEN	PORTABLE_COMPONENT_COMPOSITION	PHASENPOSTEN EINTRAGEN
C1@f67r2.1	f67r2	f67r2.1	2	A1:G002	s	S_LABEL	LOKALE_BEDINGUNGSKARTE	PHASENZEICHEN	LOCAL_CONDITION_WORD	PHASENZEICHEN	PORTABLE_COMPONENT_COMPOSITION	PHASENZEICHEN
C1@f67r2.1	f67r2	f67r2.1	3	A1:G003	aram	AR+AM_ADDR	VON · LOKALER_BEDINGUNGSKERN	VOM GEGENFELD	LOCAL_CONDITION_WORD	QUELLE · GEGENFELD	PORTABLE_COMPONENT_COMPOSITION	VOM GEGENFELD
C2@f67r2.15	f67r2	f67r2.15	1	A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	ASPEKTWEG SCHLIESSEN	LOCAL_CONDITION_WORD	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	PORTABLE_COMPONENT_COMPOSITION	ASPEKTWEG SCHLIESSEN
C3@f68r1.9	f68r1	f68r1.9	1	A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	STERNORT KURZ BEREITSETZEN	LOCAL_CONDITION_WORD	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	PORTABLE_COMPONENT_COMPOSITION	STERNORT KURZ BEREITSETZEN
C4@f69v.12	f69v	f69v.12	1	A3:G118	otody	OT+O+DY	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	MARKIERTEN 28ER-PLATZ SCHLIESSEN	LOCAL_CONDITION_WORD	DANACH · ARBEITSGANG · SCHLIESSEN	PORTABLE_COMPONENT_COMPOSITION	MARKIERTEN 28ER-PLATZ SCHLIESSEN
C5@f69v.2	f69v	f69v.2	1	A3:G041	yka	Y+K+A_ADDR	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTEPOSTEN EINTRAGEN	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · STELLE	PORTABLE_COMPONENT_COMPOSITION	FEUCHTEPOSTEN EINTRAGEN
C5@f69v.2	f69v	f69v.2	2	A3:G042	chol	OL	WEITER	FEUCHTELAGE FORTSETZEN	LOCAL_CONDITION_WORD	FORTSETZEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTELAGE FORTSETZEN
C5@f69v.2	f69v	f69v.2	3	A3:G043	ykar	Y+K+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	FEUCHTE VON DER QUELLE	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · QUELLE	PORTABLE_COMPONENT_COMPOSITION	FEUCHTE VON DER QUELLE
C5@f69v.2	f69v	f69v.2	4	A3:G044	dal	AL	AN	AN DER FEUCHTESTELLE	LOCAL_CONDITION_WORD	ZIELSTELLE	EXACT_SURFACE_BRIDGE	AN DER FEUCHTESTELLE
C5@f69v.2	f69v	f69v.2	5	A3:G045	ykady	Y+K+A_ADDR+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTEPOSTEN ABSCHLIESSEN	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · STELLE · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTEPOSTEN ABSCHLIESSEN
C5@f69v.2	f69v	f69v.2	6	A3:G046	iokeeor	NONE	LOKALE_BEDINGUNGSKARTE	WETTERZEICHEN	LOCAL_CONDITION_WORD	WETTERZEICHEN	LOCAL_WHOLE_WORD	WETTERZEICHEN
C5@f69v.2	f69v	f69v.2	7	A3:G047	cheey	WHOLE[cheey|shey]	LOKALE_BEDINGUNGSKARTE	FEUCHTE LANGE HALTEN	LOCAL_CONDITION_WORD	LANG HALTEN	EXACT_SURFACE_BRIDGE	FEUCHTE LANGE HALTEN
C5@f69v.2	f69v	f69v.2	8	A3:G048	choly	OL+Y	WEITER · DIESER_EINTRAG	FEUCHTELAGE FORTSETZEN	LOCAL_CONDITION_WORD	FORTSETZEN · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTELAGE FORTSETZEN
C5@f69v.2	f69v	f69v.2	9	A3:G049	ykeeal	Y+K+EE+AL	DIESER_EINTRAG · LAENGER · AN · LOKALER_BEDINGUNGSKERN	LAENGER AN DER FEUCHTESTELLE	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	PORTABLE_COMPONENT_COMPOSITION	LAENGER AN DER FEUCHTESTELLE
C5@f69v.2	f69v	f69v.2	10	A3:G050	cheo	CHEO	LOKALE_BEDINGUNGSKARTE	FEUCHTAUSZUG	LOCAL_CONDITION_WORD	AUSZUG	PORTABLE_COMPONENT_COMPOSITION	FEUCHTAUSZUG
C5@f69v.2	f69v	f69v.2	11	A3:G051	oaram	O+AR+AM_ADDR	VON · LOKALER_BEDINGUNGSKERN	VOM WETTERURSPRUNG	LOCAL_CONDITION_WORD	ARBEITSGANG · QUELLE · GEGENFELD	PORTABLE_COMPONENT_COMPOSITION	VOM WETTERURSPRUNG
C5@f69v.2	f69v	f69v.2	12	A3:G052	ockhy	O+CKH+Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTE DURCH DEN DURCHLASS	LOCAL_CONDITION_WORD	ARBEITSGANG · DURCHLASS · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTE DURCH DEN DURCHLASS
C5@f69v.2	f69v	f69v.2	13	A3:G053	sheey	SH+EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTE LAENGER HALTEN	LOCAL_CONDITION_WORD	LANG HALTEN	EXACT_SURFACE_BRIDGE	FEUCHTE LAENGER HALTEN
C5@f69v.2	f69v	f69v.2	14	A3:G054	aiin	AIIN	SOLLMASS	FEUCHTEMASS	LOCAL_CONDITION_WORD	MASS	PORTABLE_COMPONENT_COMPOSITION	FEUCHTEMASS
C5@f69v.2	f69v	f69v.2	15	A3:G055	y	Y	DIESER_EINTRAG	AKTUELLE FEUCHTELAGE	LOCAL_CONDITION_WORD	POSTEN	PORTABLE_COMPONENT_COMPOSITION	AKTUELLE FEUCHTELAGE
C5@f69v.2	f69v	f69v.2	16	A3:G056	daiial	NONE	LOKALE_BEDINGUNGSKARTE	FEUCHTESTUFE	LOCAL_CONDITION_WORD	FEUCHTESTUFE	LOCAL_WHOLE_WORD	FEUCHTESTUFE
C5@f69v.2	f69v	f69v.2	17	A3:G057	cheody	CHEO+Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTAUSZUG ABSCHLIESSEN	LOCAL_CONDITION_WORD	AUSZUG · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTAUSZUG ABSCHLIESSEN
C5@f69v.2	f69v	f69v.2	18	A3:G058	cheal	AL	AN	AN DER FEUCHTESTELLE	LOCAL_CONDITION_WORD	ZIELSTELLE	PORTABLE_COMPONENT_COMPOSITION	AN DER FEUCHTESTELLE
C5@f69v.2	f69v	f69v.2	19	A3:G059	yetey	Y+E+T+E+Y	DIESER_EINTRAG · KURZ · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	KURZE FEUCHTEPHASE	LOCAL_CONDITION_WORD	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	PORTABLE_COMPONENT_COMPOSITION	KURZE FEUCHTEPHASE
