component	portable_root_de	prose_marks	condition_marks	prose_examples	condition_examples	composition_rule
AIIN	MASS	36	1	daiin=EIN KLEINER SCHOEPFBECHER | qokaiin=ANSETZEN · EIN KLEINER SCHOEPFBECHER | daiin=EIN KLEINER SCHOEPFBECHER | daiin=EIN KLEINER SCHOEPFBECHER	aiin=FEUCHTEMASS	AIIN(X) TRAEGT MASS; BILD UND REGISTER LIEFERN DEN SACHBEREICH
AIR	LAUF	6	6	chair=ENTNEHMEN · WASSER | kair=WASSER ZUGEBEN | chair=ENTNEHMEN · WASSER | okair=WASSER ANSETZEN	airchy=LAUFFEUCHTE | doair=LICHTLAUF | dair=KOERPERLICHT | qotair=NAECHSTER LICHTLAUF	AIR(X) TRAEGT LAUF; BILD UND REGISTER LIEFERN DEN SACHBEREICH
AL	ZIELSTELLE	39	9	qokal=ANSETZEN · ZIELSTELLE | dal=ZIELSTELLE | sheckhal=KURZ AM ZIELDURCHLASS HALTEN | qokeedal=LAENGER AN DER ZIELSTELLE ANSETZEN	dal=AN DER FEUCHTESTELLE | ykeeal=LAENGER AN DER FEUCHTESTELLE | cheal=AN DER FEUCHTESTELLE | dal=AN DER FEUCHTESTELLE	AL(X) TRAEGT ZIELSTELLE; BILD UND REGISTER LIEFERN DEN SACHBEREICH
AR	QUELLE	13	10	char=QUELLE | char=QUELLE | otar=DANACH ZUR QUELLE | qokar=AUS DER QUELLE ANSETZEN	ykar=FEUCHTE VON DER QUELLE | oaram=VOM WETTERURSPRUNG | chear=KURZ VON DER FEUCHTEQUELLE | ykar=FEUCHTE VON DER QUELLE	AR(X) TRAEGT QUELLE; BILD UND REGISTER LIEFERN DEN SACHBEREICH
CH	ENTNEHMEN	17	5	dchey=ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN | chair=ENTNEHMEN · WASSER | otytchol=DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN | qotchol=DANACH · ENTNEHMEN · WEITER	chear=KURZ VON DER FEUCHTEQUELLE | ch=FEUCHTE ENTNEHMEN | dolchsody=ASPEKTWEG SCHLIESSEN | cheteeser=KURZ LANG KURZ PRUEFEN	CH(X) TRAEGT ENTNEHMEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
CHD	UMSETZEN	48	2	schedy=UMSETZEN · SCHLUSS | sshkchdy=NACHMISCHEN UND SCHLIESSEN | chedy=UMSETZEN · POSTEN | qolchedy=WEITER · UMSETZEN · SCHLUSS	chdy=KOERPERZUSTAND UMSETZEN | chda=KOERPERSTELLE UMSETZEN	CHD(X) TRAEGT UMSETZEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
CKH	DURCHLASS	14	1	sheckhal=KURZ AM ZIELDURCHLASS HALTEN | chckhy=DURCHLASS · POSTEN | chckhy=DURCHLASS · POSTEN | chckhy=DURCHLASS · POSTEN	ockhy=FEUCHTE DURCH DEN DURCHLASS	CKH(X) TRAEGT DURCHLASS; BILD UND REGISTER LIEFERN DEN SACHBEREICH
CTH	BEREIT	14	1	cthoor=BEREITEN · ARBEITSGANG · ANSATZ | checthy=BEREITEN · POSTEN | checthy=BEREITEN · POSTEN | octheol=KURZ BIS BEREIT WEITERARBEITEN	odchecthy=STERNORT KURZ BEREITSETZEN	CTH(X) TRAEGT BEREIT; BILD UND REGISTER LIEFERN DEN SACHBEREICH
DY	SCHLIESSEN	90	3	qokedy=ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS | schedy=UMSETZEN · SCHLUSS | sshkchdy=NACHMISCHEN UND SCHLIESSEN | shedy=STEHENLASSEN · SCHLUSS	ody=FEUCHTEGANG SCHLIESSEN | otody=MARKIERTEN 28ER-PLATZ SCHLIESSEN | dolchsody=ASPEKTWEG SCHLIESSEN	DY(X) TRAEGT SCHLIESSEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
E	KURZ	48	11	dchey=ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN | etyd=DEN POSTEN KURZ WEITERBEARBEITEN | qokedy=ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS | sheckhal=KURZ AM ZIELDURCHLASS HALTEN	yetey=KURZE FEUCHTEPHASE | yetey=KURZE FEUCHTEPHASE | chear=KURZ VON DER FEUCHTEQUELLE | ykey=FEUCHTE KURZ HALTEN	E(X) TRAEGT KURZ; BILD UND REGISTER LIEFERN DEN SACHBEREICH
EE	LANG	41	7	qokeedal=LAENGER AN DER ZIELSTELLE ANSETZEN | qokeey=ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN | olkeedy=SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS | cheey=HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	ykeeal=LAENGER AN DER FEUCHTESTELLE | sheey=FEUCHTE LAENGER HALTEN | ykeeody=FEUCHTE LANG HALTEN UND SCHLIESSEN | oteeal=LAENGER AN DER FOLGESTELLE	EE(X) TRAEGT LANG; BILD UND REGISTER LIEFERN DEN SACHBEREICH
HO	TEIL	5	1	chochor=PFLANZENZUTAT FUER DEN ANSATZ ENTNEHMEN | cho=PFLANZENZUTAT | chodaly=ZUTAT ZUR ZIELSTELLE BRINGEN | cho=PFLANZENZUTAT	cho=KOERPERTEIL	HO(X) TRAEGT TEIL; BILD UND REGISTER LIEFERN DEN SACHBEREICH
