exercise	page	statement_id	source_event	before_surfaces	after_surfaces	before_reading_de	after_reading_de	changed_surface_only	changed_meaning_only
S01	f10r	H2-S003	E038	oykchor shor chor chy kaiiin dy chodaiin	oykchor shor chor chy kaiiin dy chodain	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ; ANSATZ; ANSATZ; DIES; ZUGEBEN · ARBEITSSTUFE; DIES; ENTNEHMEN · ARBEITSGANG · SOLLMASS	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ; ANSATZ; ANSATZ; DIES; ZUGEBEN · ARBEITSSTUFE; DIES; ENTNEHMEN · ARBEITSGANG · PORTION	chodaiin→chodain	ENTNEHMEN · ARBEITSGANG · SOLLMASS→ENTNEHMEN · ARBEITSGANG · PORTION
S02	f83r	B3-S032	E303	chedain chedy qotedaiin otaiin otedy	chedaiin chedy qotedaiin otaiin otedy	UMSETZEN · PORTION; UMSETZEN · DIES; DANACH · KURZ · SOLLMASS; DANACH · SOLLMASS; DANACH · KURZ · SCHLUSS	UMSETZEN · SOLLMASS; UMSETZEN · DIES; DANACH · KURZ · SOLLMASS; DANACH · SOLLMASS; DANACH · KURZ · SCHLUSS	chedain→chedaiin	UMSETZEN · PORTION→UMSETZEN · SOLLMASS
S03	f10r	H2-S001	E018	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthain qoctholy dy chy taiin shy	DIES · ENTNEHMEN · KURZ · ANSATZ; BEREITEN · DIES; ANSATZ; BEREITEN · SOLLMASS; ARBEITSGANG · BEREITEN · WEITER · DIES; DIES; DIES; SOLLMASS; DIES	DIES · ENTNEHMEN · KURZ · ANSATZ; BEREITEN · DIES; ANSATZ; BEREITEN · PORTION; ARBEITSGANG · BEREITEN · WEITER · DIES; DIES; DIES; SOLLMASS; DIES	cthaiin→cthain	BEREITEN · SOLLMASS→BEREITEN · PORTION
S04	f83r	B3-S013	E257	qokaiin chkain shcthey qokedy	qokaiin chkaiin shcthey qokedy	ANSETZEN · SOLLMASS; ZUGEBEN · PORTION; BEREITEN · KURZ · DIES; ANSETZEN · KURZ · SCHLUSS	ANSETZEN · SOLLMASS; ZUGEBEN · SOLLMASS; BEREITEN · KURZ · DIES; ANSETZEN · KURZ · SCHLUSS	chkain→chkaiin	ZUGEBEN · PORTION→ZUGEBEN · SOLLMASS
S05	f81v	B1-S002	E107	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal sar ol kaiin olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · SOLLMASS; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	kain→kaiin	ZUGEBEN · PORTION→ZUGEBEN · SOLLMASS
S06	f83r	B3-S026	E286	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedar chldain chedy qokain checthy chealror solkeedy	LANG · QUELLE; LEITEN · SOLLMASS; UMSETZEN · DIES; ANSETZEN · PORTION; BEREITEN · DIES; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELSTELLE · LANG · SCHLUSS	LANG · QUELLE; LEITEN · PORTION; UMSETZEN · DIES; ANSETZEN · PORTION; BEREITEN · DIES; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELSTELLE · LANG · SCHLUSS	chldaiin→chldain	LEITEN · SOLLMASS→LEITEN · PORTION
S07	f81v	B1-S002	E108	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal sar ol kain olkaiin al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · SOLLMASS; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	olkain→olkaiin	WEITER · ZUGEBEN · PORTION→WEITER · ZUGEBEN · SOLLMASS
S08	f83r	B4-S016	E358	qolkain dal skar shedy	qolkaiin dal skar shedy	WEITER · ZUGEBEN · PORTION; ZIELSTELLE; ZUGEBEN · QUELLE; ABSETZEN · SCHLUSS	WEITER · ZUGEBEN · SOLLMASS; ZIELSTELLE; ZUGEBEN · QUELLE; ABSETZEN · SCHLUSS	qolkain→qolkaiin	WEITER · ZUGEBEN · PORTION→WEITER · ZUGEBEN · SOLLMASS
S09	f55v	H4-S004	E073	aiin okal oltchy or y orain	aiin okal oltchy or y oraiin	SOLLMASS; ANSETZEN · ZIELSTELLE; WEITER · ANWENDEN · DIES; ANSATZ; DIES; ANSATZ · PORTION	SOLLMASS; ANSETZEN · ZIELSTELLE; WEITER · ANWENDEN · DIES; ANSATZ; DIES; ANSATZ · SOLLMASS	orain→oraiin	ANSATZ · PORTION→ANSATZ · SOLLMASS
S10	f83r	B3-S032	E306	chedain chedy qotedaiin otaiin otedy	chedain chedy qotedaiin otain otedy	UMSETZEN · PORTION; UMSETZEN · DIES; DANACH · KURZ · SOLLMASS; DANACH · SOLLMASS; DANACH · KURZ · SCHLUSS	UMSETZEN · PORTION; UMSETZEN · DIES; DANACH · KURZ · SOLLMASS; DANACH · PORTION; DANACH · KURZ · SCHLUSS	otaiin→otain	DANACH · SOLLMASS→DANACH · PORTION
