exercise	hand	input_reading_de	selected_card	written_surface	readback_recipe	readback_reading_de	roundtrip	access
X01	HAND_1	ENTNEHMEN · ARBEITSGANG · PORTION	PRED_QTY_01	chodain	CH+O+AIN	ENTNEHMEN · ARBEITSGANG · PORTION	PASS	COPY_NEW_MASTER_CARD
X02	HAND_2	ENTNEHMEN · ARBEITSGANG · PORTION	PRED_QTY_01	chodain	CH+O+AIN	ENTNEHMEN · ARBEITSGANG · PORTION	PASS	COPY_NEW_MASTER_CARD
X03	HAND_1	UMSETZEN · SOLLMASS	PRED_QTY_02	chedaiin	CHD+AIIN	UMSETZEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X04	HAND_2	UMSETZEN · SOLLMASS	PRED_QTY_02	chedaiin	CHD+AIIN	UMSETZEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X05	HAND_1	BEREITEN · PORTION	PRED_QTY_03	cthain	CTH+AIN	BEREITEN · PORTION	PASS	COPY_NEW_MASTER_CARD
X06	HAND_2	BEREITEN · PORTION	PRED_QTY_03	cthain	CTH+AIN	BEREITEN · PORTION	PASS	COPY_NEW_MASTER_CARD
X07	HAND_1	ZUGEBEN · SOLLMASS	PRED_QTY_04	chkaiin	K+AIIN	ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X08	HAND_2	ZUGEBEN · SOLLMASS	PRED_QTY_04	chkaiin	K+AIIN	ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X09	HAND_1	ZUGEBEN · SOLLMASS	PRED_QTY_05	kaiin	K+AIIN	ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X10	HAND_2	ZUGEBEN · SOLLMASS	PRED_QTY_05	kaiin	K+AIIN	ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X11	HAND_1	LEITEN · PORTION	PRED_QTY_06	chldain	L+AIN	LEITEN · PORTION	PASS	COPY_NEW_MASTER_CARD
X12	HAND_2	LEITEN · PORTION	PRED_QTY_06	chldain	L+AIN	LEITEN · PORTION	PASS	COPY_NEW_MASTER_CARD
X13	HAND_1	WEITER · ZUGEBEN · SOLLMASS	PRED_QTY_07	olkaiin	OL+K+AIIN	WEITER · ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X14	HAND_2	WEITER · ZUGEBEN · SOLLMASS	PRED_QTY_07	olkaiin	OL+K+AIIN	WEITER · ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X15	HAND_1	WEITER · ZUGEBEN · SOLLMASS	PRED_QTY_08	qolkaiin	OL+K+AIIN	WEITER · ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X16	HAND_2	WEITER · ZUGEBEN · SOLLMASS	PRED_QTY_08	qolkaiin	OL+K+AIIN	WEITER · ZUGEBEN · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X17	HAND_1	ANSATZ · SOLLMASS	PRED_QTY_09	oraiin	OR+AIIN	ANSATZ · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X18	HAND_2	ANSATZ · SOLLMASS	PRED_QTY_09	oraiin	OR+AIIN	ANSATZ · SOLLMASS	PASS	COPY_NEW_MASTER_CARD
X19	HAND_1	DANACH · PORTION	PRED_QTY_10	otain	OT+AIN	DANACH · PORTION	PASS	COPY_NEW_MASTER_CARD
X20	HAND_2	DANACH · PORTION	PRED_QTY_10	otain	OT+AIN	DANACH · PORTION	PASS	COPY_NEW_MASTER_CARD
X21	HAND_1	DANACH · PORTION	PRED_QTY_11	sotain	OT+AIN	DANACH · PORTION	PASS	COPY_NEW_MASTER_CARD
X22	HAND_2	DANACH · PORTION	PRED_QTY_11	sotain	OT+AIN	DANACH · PORTION	PASS	COPY_NEW_MASTER_CARD
X23	HAND_1	DANACH · KURZ · PORTION	PRED_QTY_12	qotedain	OT+E+AIN	DANACH · KURZ · PORTION	PASS	COPY_NEW_MASTER_CARD
X24	HAND_2	DANACH · KURZ · PORTION	PRED_QTY_12	qotedain	OT+E+AIN	DANACH · KURZ · PORTION	PASS	COPY_NEW_MASTER_CARD
X25	HAND_1	HALTEN · DIES · PORTION	PRED_QTY_13	shfydain	SH+Y+AIN	HALTEN · DIES · PORTION	PASS	COPY_NEW_MASTER_CARD
X26	HAND_2	HALTEN · DIES · PORTION	PRED_QTY_13	shfydain	SH+Y+AIN	HALTEN · DIES · PORTION	PASS	COPY_NEW_MASTER_CARD
X27	HAND_1	SAMMELSTELLE · PORTION	PRED_QTY_14	solkain	SOLK+AIN	SAMMELSTELLE · PORTION	PASS	COPY_NEW_MASTER_CARD
X28	HAND_2	SAMMELSTELLE · PORTION	PRED_QTY_14	solkain	SOLK+AIN	SAMMELSTELLE · PORTION	PASS	COPY_NEW_MASTER_CARD
