predicted_card	source_event	source_recipe	source_surface	counterpart_recipe	quantity_value	predicted_surface	predicted_reading_de	hand_rule	status
PRED_QTY_01	E038	CH+O+AIIN	chodaiin	CH+O+AIN	PORTION	chodain	ENTNEHMEN · ARBEITSGANG · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_02	E303	CHD+AIN	chedain	CHD+AIIN	SOLLMASS	chedaiin	UMSETZEN · SOLLMASS	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_03	E018	CTH+AIIN	cthaiin	CTH+AIN	PORTION	cthain	BEREITEN · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_04	E257	K+AIN	chkain	K+AIIN	SOLLMASS	chkaiin	ZUGEBEN · SOLLMASS	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_05	E107	K+AIN	kain	K+AIIN	SOLLMASS	kaiin	ZUGEBEN · SOLLMASS	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_06	E286	L+AIIN	chldaiin	L+AIN	PORTION	chldain	LEITEN · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_07	E108	OL+K+AIN	olkain	OL+K+AIIN	SOLLMASS	olkaiin	WEITER · ZUGEBEN · SOLLMASS	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_08	E358	OL+K+AIN	qolkain	OL+K+AIIN	SOLLMASS	qolkaiin	WEITER · ZUGEBEN · SOLLMASS	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_09	E073	OR+AIN	orain	OR+AIIN	SOLLMASS	oraiin	ANSATZ · SOLLMASS	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_10	E306	OT+AIIN	otaiin	OT+AIN	PORTION	otain	DANACH · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_11	E190	OT+AIIN	sotaiin	OT+AIN	PORTION	sotain	DANACH · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_12	E305	OT+E+AIIN	qotedaiin	OT+E+AIN	PORTION	qotedain	DANACH · KURZ · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_13	E042	SH+Y+AIIN	shfydaiin	SH+Y+AIN	PORTION	shfydain	HALTEN · DIES · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
PRED_QTY_14	E178	SOLK+AIIN	solkaiin	SOLK+AIN	PORTION	solkain	SAMMELSTELLE · PORTION	BOTH_HANDS_COPY_ONE_NEW_MASTER_CARD	WORKSHOP_BOARD_ONLY__NOT_MANUSCRIPT_ATTESTED
