step	instruction_de
1	Setze den sichtbaren Besitzer aus Pflanze, Badestation oder Diagrammplatz.
2	Bestimme das Register: Herbal, Bio oder eines der drei getrennten Astro-Instrumente.
3	Lies zuerst die sechzehn gemeinsamen Stammfamilien.
4	Füge nur den Herbal-, Bio- oder Brückenzusatz hinzu, den die Karte verlangt.
5	Lies AR als Quelle, AL als Ziel, OL als Fortsetzung, OT als Folgeposten und OR als Bedingungsansatz.
6	Lies Y nur an lizenzierter Stelle als aktuellen Posten; spalte DY nicht als bloßes D+Y.
7	Lies E/EE/EEE als Grad I/II/III und CHD/CHED als kurze/lange Transferallographie.
8	Sprich CHO, CHK, DY und AIR erst im lokalen Register konkret als Zutat, Wärme, Schluss oder Wasserlauf aus.
9	Lerne die 23 Prosa- und 46 Astro-Ganzzeichen als Nomenklator.
10	Kopiere die 67 lokalen Schlüssel aus dem jeweiligen Diagrammexemplar; erfinde keinen globalen Namen.
11	Behalte Besitzer und laufenden Posten über physische Zeilenenden hinweg.
12	Schließe Prosa nur mit lizenzierter Festsetzkarte; Diagrammplätze bleiben lokale Nachschlageeinträge.
