unified_index	register	page	unit_or_locus	visible_owner	visible_surface	source_id	semantic_class	portable_reading_de	local_default_de	learning_mode
1	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey	E001	LEARNED_WHOLE_SIGN	Wurzel	Wurzel	MEMORIZE
2	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor	E002	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ + BEREIT	den Ansatz bereitstellen	COMPOSE
3	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	E003	PORTABLE_COMPOSITION	VON_QUELLE	davon	COMPOSE
4	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty	E004	PORTABLE_COMPOSITION	TEIL	Teil	COMPOSE
5	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	os	E005	PORTABLE_COMPOSITION	AUFNAHME	Aufnahmegefäß	COMPOSE
6	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chair	E006	PORTABLE_COMPOSITION	LAUF_BAHN + ZUGIESSEN	laufendes Medium zugießen	COMPOSE
7	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	E007	PORTABLE_COMPOSITION	FOLGEPOSTEN + FOLGETEIL	Folgeteil	COMPOSE
8	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	E008	PORTABLE_COMPOSITION	EINSETZEN + DIES_AKTUELLER_POSTEN	einsetzen	COMPOSE
9	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	E009	PORTABLE_COMPOSITION	SOLLWERT	Sollmaß	COMPOSE
10	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	etyd	E010	LEARNED_WHOLE_SIGN	kleiner Rest	kleiner Rest	MEMORIZE
11	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy	E011	PORTABLE_COMPOSITION	EINSETZEN + DIES_AKTUELLER_POSTEN	den laufenden Posten einsetzen und weiterbearbeiten	COMPOSE
12	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol	E012	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF + FOLGEPOSTEN	zum Folgegang wechseln	COMPOSE
13	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	E013	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF	weiter	COMPOSE
14	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthy	E014	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN + BEREIT	bereit	COMPOSE
15	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor	E015	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ + AUSZUG	aktueller Auszugsansatz	COMPOSE
16	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthy	E016	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN + BEREIT	bereit	COMPOSE
17	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	E017	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ	Ansatz	COMPOSE
18	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthaiin	E018	PORTABLE_COMPOSITION	SOLLWERT + BEREIT	die Sollvorbereitung setzen	COMPOSE
19	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qoctholy	E019	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN	danach mit diesem Posten weiter	COMPOSE
20	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dy	E020	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
21	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	E021	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
22	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	taiin	E022	PORTABLE_COMPOSITION	SOLLWERT	Sollmaß	COMPOSE
23	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	shy	E023	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
24	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor	E024	PORTABLE_COMPOSITION	FOLGEPOSTEN + BEDINGUNGSANSATZ	Folgeansatz	COMPOSE
25	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	E025	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ	Ansatz	COMPOSE
26	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otol	E026	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF + FOLGEPOSTEN	danach im selben Gang weiter	COMPOSE
27	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	E027	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF	weiter	COMPOSE
28	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cholor	E028	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ	derselbe Ansatz	COMPOSE
29	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	E029	PORTABLE_COMPOSITION	WEITER_GLEICHER_LAUF	weiter	COMPOSE
30	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	E030	PORTABLE_COMPOSITION	SOLLWERT	Sollmaß	COMPOSE
31	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dar	E031	PORTABLE_COMPOSITION	VON_QUELLE	davon	COMPOSE
32	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor	E032	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ + GEFAESS	Gefäß für den Ansatz	COMPOSE
33	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	shor	E033	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ	Ansatz	COMPOSE
34	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	E034	PORTABLE_COMPOSITION	BEDINGUNGSANSATZ	Ansatz	COMPOSE
35	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	E035	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
36	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	kaiiin	E036	PORTABLE_COMPOSITION	STUFE + ARGUMENTBINDER	die Arbeitsstufe setzen	COMPOSE
37	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dy	E037	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
38	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chodaiin	E038	PORTABLE_COMPOSITION	SOLLWERT + EINGABE	Zugabemaß	COMPOSE
39	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol	E039	LEARNED_WHOLE_SIGN	Kochgut	Kochgut	MEMORIZE
40	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	schoal	E040	LEARNED_WHOLE_SIGN	Sudansatz	Sudansatz	MEMORIZE
41	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	cfhy	E041	LEARNED_WHOLE_SIGN	auswringen	auswringen	MEMORIZE
42	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shfydaiin	E042	PORTABLE_COMPOSITION	SOLLWERT + STEHZEIT	eine vorgeschriebene Stehzeit einhalten	COMPOSE
43	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	cphy	E043	LEARNED_WHOLE_SIGN	nachseihen	nachseihen	MEMORIZE
44	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shey	E044	LEARNED_WHOLE_SIGN	Klarlauf	Klarlauf	MEMORIZE
45	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tchody	E045	LEARNED_WHOLE_SIGN	kalt stellen; Schluss	kalt stellen; Schluss	MEMORIZE
46	PROSE	f11r	H3-S002	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	E046	PORTABLE_COMPOSITION	FOLGETEIL	Zugabeteil	COMPOSE
47	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dchol	E047	PORTABLE_COMPOSITION	VORIGER	vom vorigen Arbeitsgang nehmen	COMPOSE
48	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	chy	E048	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
49	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	kchy	E049	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN + ARGUMENTBINDER	den laufenden Posten bearbeiten	COMPOSE
50	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dy	E050	PORTABLE_COMPOSITION	DIES_AKTUELLER_POSTEN	dies	COMPOSE
51	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	daiin	E051	PORTABLE_COMPOSITION	SOLLWERT	Sollmaß	COMPOSE
52	PROSE	f11r	H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy	E052	PORTABLE_COMPOSITION	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN	zum nächsten Posten wechseln	COMPOSE
